画像名,台番号,機種,実際の最大値,実際の最終値,抽出最大値,抽出最終値,最終値誤差,最終値絶対誤差,最終値誤差率(%),最終値精度(%),最大値誤差,最大値絶対誤差,最大値誤差率(%),最大値精度(%),目視予想,目視誤差
S__78209088,70,P大海物語5 MTE2,3340.0,3125.0,2994.0,2994.0,-131.0,131.0,4.2,99.6,-346.0,346.0,10.4,98.8,3000.0,125.0
S__78209128,81,P大海物語5 MTE2,11430.0,6771.0,11181.0,6660.0,-111.0,111.0,1.6,99.6,-249.0,249.0,2.2,99.2,8000.0,-1229.0
S__78209130,100,P大海物語5 MTE2,9060.0,-5997.0,8737.0,-6293.0,-296.0,296.0,4.9,99.0,-323.0,323.0,3.6,98.9,3000.0,-8997.0
S__78209132,104,P大海物語5 MTE2,36350.0,28935.0,30000.0,29022.0,87.0,87.0,0.3,99.7,-6350.0,6350.0,17.5,78.8,28000.0,935.0
S__78209136,98,P大海物語5 MTE2,3620.0,-10925.0,3483.0,-11059.0,-134.0,134.0,1.2,99.6,-137.0,137.0,3.8,99.5,-15000.0,4075.0
S__78209138,97,P大海物語5 MTE2,20340.0,19669.0,20224.0,19857.0,188.0,188.0,1.0,99.4,-116.0,116.0,0.6,99.6,20000.0,-331.0
S__78209156,2239,P大海物語5 MTE2,24560.0,22900.0,24379.0,23035.0,135.0,135.0,0.6,99.6,-181.0,181.0,0.7,99.4,22000.0,900.0
S__78209158,1147,e Re：ゼロから始める異世,3540.0,-19100.0,2994.0,-19491.0,-391.0,391.0,2.0,98.7,-546.0,546.0,15.4,98.2,-22000.0,2900.0
S__78209160,1105,e Re：ゼロから始める異世,7080.0,3010.0,6660.0,2994.0,-16.0,16.0,0.5,99.9,-420.0,420.0,5.9,98.6,16000.0,-12990.0
S__78209162,1104,e Re：ゼロから始める異世,12700.0,1700.0,12403.0,1527.0,-173.0,173.0,10.1,99.4,-297.0,297.0,2.3,99.0,4000.0,-2300.0
S__78209164,1146,e Re：ゼロから始める異世,21020.0,15450.0,20713.0,15703.0,253.0,253.0,1.6,99.2,-307.0,307.0,1.5,99.0,18000.0,-2550.0
S__78209166,2239,P大海物語5 MTE2,1360.0,-7813.0,916.0,-7637.0,176.0,176.0,2.2,99.4,-444.0,444.0,32.6,98.5,-8000.0,187.0
S__78209168,1146,e Re：ゼロから始める異世,5700.0,-24750.0,5316.0,-25112.0,-362.0,362.0,1.5,98.8,-384.0,384.0,6.7,98.7,-30000.0,5250.0
S__78209170,1105,e Re：ゼロから始める異世,390.0,195.0,-61.0,-672.0,-867.0,867.0,444.7,97.1,-451.0,451.0,115.7,98.5,22000.0,-21805.0
S__78209174,1112,e Re：ゼロから始める異世,18860.0,8000.0,18758.0,7882.0,-118.0,118.0,1.5,99.6,-102.0,102.0,0.5,99.7,12000.0,-4000.0
S__78209176,1104,e Re：ゼロから始める異世,,-19392.0,,,,,,,,,,,3000.0,-22392.0
