image,image_num,machine_num,method,actual_max,extracted_max,max_error,max_error_abs,extracted_final,actual_final,final_diff,final_diff_abs
S__78209088,16,70,Advanced,3340.0,2835.44,-504.55999999999995,504.55999999999995,2688.39,3125.0,-436.6100000000001,436.6100000000001
S__78209088,16,70,Ultra Precise,3340.0,3051.21,-288.78999999999996,288.78999999999996,2750.4,3125.0,-374.5999999999999,374.5999999999999
S__78209088,16,70,Unified,3340.0,30000.0,26660.0,26660.0,-10350.31,3125.0,-13475.31,13475.31
S__78209128,15,81,Advanced,11430.0,11019.22,-410.78000000000065,410.78000000000065,6527.49,6771.0,-243.51000000000022,243.51000000000022
S__78209128,15,81,Unified,11430.0,30000.0,18570.0,18570.0,-4949.08,6771.0,-11720.08,11720.08
S__78209130,14,100,Advanced,9060.0,8651.15,-408.85000000000036,408.85000000000036,-6272.91,-5997.0,-275.90999999999985,275.90999999999985
S__78209130,14,100,Unified,9060.0,30000.0,20940.0,20940.0,-6562.12,-5997.0,-565.1199999999999,565.1199999999999
S__78209136,12,98,Advanced,3620.0,3441.96,-178.03999999999996,178.03999999999996,-11028.51,-10925.0,-103.51000000000022,103.51000000000022
S__78209136,12,98,Unified,3620.0,30000.0,26380.0,26380.0,-6537.68,-10925.0,4387.32,4387.32
S__78209138,11,97,Advanced,20340.0,20169.36,-170.63999999999942,170.63999999999942,19674.13,19669.0,5.130000000001019,5.130000000001019
S__78209138,11,97,Unified,20340.0,30000.0,9660.0,9660.0,-10325.87,19669.0,-29994.870000000003,29994.870000000003
S__78209156,10,2239,Advanced,24560.0,24325.87,-234.13000000000102,234.13000000000102,22860.27,22900.0,-39.72999999999956,39.72999999999956
S__78209156,10,2239,Unified,24560.0,30000.0,5440.0,5440.0,-4924.64,22900.0,-27824.64,27824.64
S__78209158,9,1147,Advanced,3540.0,3120.16,-419.84000000000015,419.84000000000015,-19445.5,-19100.0,-345.5,345.5
S__78209158,9,1147,Unified,3540.0,30000.0,26460.0,26460.0,-10325.87,-19100.0,8774.13,8774.13
S__78209160,8,1105,Unified,7080.0,30000.0,22920.0,22920.0,-10325.87,3010.0,-13335.87,13335.87
S__78209162,7,1104,Unified,12700.0,30000.0,17300.0,17300.0,-4924.64,1700.0,-6624.64,6624.64
S__78209164,6,1146,Unified,21020.0,25231.22,4211.220000000001,4211.220000000001,-7979.63,15450.0,-23429.63,23429.63
S__78209166,5,2239,Advanced,1360.0,783.52,-576.48,576.48,-7538.36,-7813.0,274.6400000000003,274.6400000000003
S__78209166,5,2239,Ultra Precise,1360.0,855.4,-504.6,504.6,-7820.77,-7813.0,-7.770000000000437,7.770000000000437
S__78209166,5,2239,Unified,1360.0,30000.0,28640.0,28640.0,-4924.64,-7813.0,2888.3599999999997,2888.3599999999997
S__78209168,4,1146,Advanced,5700.0,5087.67,-612.3299999999999,612.3299999999999,-24896.81,-24750.0,-146.8100000000013,146.8100000000013
S__78209168,4,1146,Ultra Precise,5700.0,5315.68,-384.3199999999997,384.3199999999997,-25295.32,-24750.0,-545.3199999999997,545.3199999999997
S__78209168,4,1146,Unified,5700.0,30000.0,24300.0,24300.0,-4924.64,-24750.0,19825.36,19825.36
S__78209170,3,1105,Advanced,390.0,-41.64,-431.64,431.64,-183.3,195.0,-378.3,378.3
S__78209170,3,1105,Ultra Precise,390.0,0.0,-390.0,390.0,-672.1,195.0,-867.1,867.1
S__78209170,3,1105,Unified,390.0,30000.0,29610.0,29610.0,-4924.64,195.0,-5119.64,5119.64
S__78209174,2,1112,Advanced,18860.0,18742.36,-117.63999999999942,117.63999999999942,7595.17,8000.0,-404.8299999999999,404.8299999999999
S__78209174,2,1112,Unified,18860.0,30000.0,11140.0,11140.0,-4949.08,8000.0,-12949.08,12949.08
