Image,Machine,Reported Max,Extracted Max,Max Diff,Max Acc %,Reported Final,Extracted Final,Final Diff,Final Acc %
S__78209088,P大海物語5 MTE2,"3,340","3,163",-177,94.7%,"3,125","2,777",-348,88.9%
S__78209128,P大海物語5 MTE2,"11,430","11,248",-182,98.4%,"6,771","6,569",-202,97.0%
S__78209130,P大海物語5 MTE2,"9,060","8,909",-151,98.3%,"-5,997","-6,318",-321,94.6%
S__78209132,P大海物語5 MTE2,"36,350","30,000","-6,350",82.5%,"28,935","28,680",-255,99.1%
S__78209136,P大海物語5 MTE2,"3,620","3,763",+143,96.1%,"-10,925","-11,016",-91,99.2%
S__78209138,P大海物語5 MTE2,"20,340","20,288",-52,99.7%,"19,669","19,557",-112,99.4%
S__78209156,P大海物語5 MTE2,"24,560","24,394",-166,99.3%,"22,900","22,705",-195,99.1%
S__78209158,e Re：ゼロから始める異世,"3,540","3,445",-95,97.3%,"-19,100","-19,573",-473,97.5%
S__78209166,P大海物語5 MTE2,"1,360","1,136",-224,83.5%,"-7,813","-7,568",+245,96.9%
S__78209168,e Re：ゼロから始める異世,"5,700","5,388",-312,94.5%,"-24,750","-24,717",+33,99.9%
S__78209170,e Re：ゼロから始める異世,390,-175,-565,-44.8%,195,-302,-497,-154.8%
S__78209174,e Re：ゼロから始める異世,"18,860","18,878",+18,99.9%,"8,000","7,624",-376,95.3%
