file_name,color,max_value,min_value,final_value,data_points
S__78209088_optimal,pink,2833.7125398320845,-8798.977506929803,2762.0967741935497,432
S__78209128_optimal,pink,10936.2359946482,-9562.308430338695,6527.605459057071,430
S__78209130_optimal,pink,8598.632267562658,-8914.660577782439,-6399.443929564414,410
S__78209136_optimal,pink,3473.3753919436263,-14874.802150822357,-11204.819277108432,433
S__78209138_optimal,pink,19979.16248277411,-3848.914639577289,19588.133640553,417
S__78209156_optimal,pink,24115.154569892475,-1075.8859552175231,22500.0,394
S__78209158_optimal,pink,3040.245056967068,-19397.590361445786,-19397.590361445786,394
S__78209160_optimal,blue,6435.483870967742,-15421.68674698795,3145.161290322581,535
S__78209162_optimal,blue,12290.322580645161,-2939.759036144578,1088.7096774193549,560
S__78209164_optimal,blue,21169.354838709678,-3493.975903614458,15604.838709677419,409
S__78209166_optimal,purple,978.6866359447007,-10867.46987951807,-7469.879518072289,450
S__78209168_optimal,purple,5303.225806451613,-24742.570281124492,-24678.714859437747,460
S__78209170_optimal,purple,-47.21466511206133,-15822.635998539612,-843.3734939759036,579
S__78209174_optimal,purple,18602.726574500768,-10515.66265060241,7862.903225806452,561
