rotation,value,x,y
0.00,-244.40,36.00,276.50
85.62,-549.85,37.00,279.00
171.23,-610.99,38.00,279.50
256.85,-733.38,39.00,280.50
342.47,-855.98,40.00,281.50
428.08,-978.78,41.00,282.51
513.70,-1101.69,42.00,283.52
599.32,-1224.61,43.00,284.52
684.93,-1347.36,44.00,285.53
770.55,-1469.76,45.00,286.53
856.16,-1591.62,46.00,287.52
941.78,-1712.69,47.00,288.52
1027.40,-1832.78,48.00,289.50
1113.01,-1951.65,49.00,290.47
1198.63,-2532.15,50.00,295.22
1284.25,-2070.14,51.00,291.44
1369.86,-2128.36,52.00,291.92
1455.48,-2185.86,53.00,292.39
1541.10,-2298.47,54.00,293.31
1626.71,-2354.09,55.00,293.76
1712.33,-2191.12,56.00,292.43
1797.95,-2428.77,57.00,294.38
1883.56,-1881.32,58.00,289.90
1969.18,-1840.81,59.00,289.56
2054.79,-2672.33,60.00,296.37
2140.41,-2475.48,61.00,294.76
2226.03,-2099.28,62.00,291.68
2311.64,-2173.26,63.00,292.28
2397.26,-2295.06,64.00,293.28
2482.88,-2409.48,65.00,294.22
2568.49,-2509.91,66.00,295.04
2654.11,-2588.28,67.00,295.68
2739.73,-2989.17,68.00,298.96
2825.34,-2940.84,69.00,298.57
2910.96,-1784.03,70.00,289.10
2996.58,-2680.55,71.00,296.44
3082.19,9.01,72.00,274.43
3167.81,945.82,73.00,266.76
3253.42,-549.04,74.00,278.99
3339.04,2551.60,75.00,253.62
3424.66,1890.30,76.00,259.03
3510.27,4368.36,77.00,238.75
3595.89,5550.63,78.00,229.08
3681.51,4771.75,79.00,235.45
3767.12,8370.17,80.00,206.00
3852.74,7247.05,81.00,215.19
3938.36,10675.91,82.00,187.14
4023.97,9783.62,83.00,194.44
4109.59,11540.59,84.00,180.06
4195.21,13678.77,85.00,162.56
4280.82,14911.82,86.00,152.47
4366.44,14728.90,87.00,153.97
4452.05,16707.10,88.00,137.78
4537.67,16497.17,89.00,139.50
4623.29,17775.56,90.00,129.04
4708.90,17762.87,91.00,129.14
4794.52,18188.58,92.00,125.66
4880.14,18426.26,93.00,123.71
4965.75,18471.21,94.00,123.34
5051.37,18561.22,95.00,122.61
5136.99,18539.86,96.00,122.78
5222.60,18470.90,97.00,123.35
5308.22,18359.78,98.00,124.26
5393.84,18216.64,99.00,125.43
5479.45,18052.77,100.00,126.77
5565.07,17880.52,101.00,128.18
5650.68,17716.39,102.00,129.52
5736.30,17577.91,103.00,130.65
5821.92,17482.62,104.00,131.43
5907.53,17448.07,105.00,131.72
5993.15,17491.79,106.00,131.36
6078.77,17631.33,107.00,130.22
6164.38,17876.22,108.00,128.21
6250.00,18204.03,109.00,125.53
6335.62,18584.33,110.00,122.42
6421.23,18986.68,111.00,119.13
6506.85,19380.65,112.00,115.90
6592.47,19735.81,113.00,113.00
6678.08,20027.67,114.00,110.61
6763.70,20255.54,115.00,108.74
6849.32,20424.66,116.00,107.36
6934.93,20540.30,117.00,106.41
7020.55,20607.70,118.00,105.86
7106.16,20632.11,119.00,105.66
7191.78,20618.79,120.00,105.77
7277.40,20572.98,121.00,106.14
7363.01,20499.95,122.00,106.74
7448.63,20404.94,123.00,107.52
7534.25,20293.21,124.00,108.43
7619.86,20170.01,125.00,109.44
7705.48,20040.58,126.00,110.50
7791.10,19909.42,127.00,111.57
7876.71,19777.99,128.00,112.65
7962.33,19646.96,129.00,113.72
8047.95,19517.02,130.00,114.79
8133.56,19388.85,131.00,115.83
8219.18,19263.15,132.00,116.86
8304.79,19140.61,133.00,117.87
8390.41,19021.90,134.00,118.84
8476.03,18907.71,135.00,119.77
8561.64,18798.73,136.00,120.66
8647.26,18695.65,137.00,121.51
8732.88,18599.16,138.00,122.30
8818.49,18509.73,139.00,123.03
8904.11,18427.05,140.00,123.71
8989.73,18350.58,141.00,124.33
9075.34,18279.80,142.00,124.91
9160.96,18214.18,143.00,125.45
9246.58,18153.20,144.00,125.95
9332.19,18096.32,145.00,126.41
9417.81,18043.03,146.00,126.85
9503.42,17992.79,147.00,127.26
9589.04,17945.08,148.00,127.65
9674.66,17899.36,149.00,128.02
9760.27,17855.13,150.00,128.39
9845.89,17811.83,151.00,128.74
9931.51,17768.96,152.00,129.09
10017.12,17725.98,153.00,129.44
10102.74,17682.36,154.00,129.80
10188.36,17637.59,155.00,130.17
10273.97,17591.12,156.00,130.55
10359.59,17542.44,157.00,130.94
10445.21,17491.01,158.00,131.37
10530.82,17436.32,159.00,131.81
10616.44,17377.83,160.00,132.29
10702.05,17315.02,161.00,132.81
10787.67,17247.35,162.00,133.36
10873.29,17174.31,163.00,133.96
10958.90,17095.36,164.00,134.60
11044.52,17010.13,165.00,135.30
11130.14,16918.80,166.00,136.05
11215.75,16821.73,167.00,136.84
11301.37,16719.24,168.00,137.68
11386.99,16611.67,169.00,138.56
11472.60,16499.38,170.00,139.48
11558.22,16382.69,171.00,140.44
11643.84,16261.94,172.00,141.42
11729.45,16137.48,173.00,142.44
11815.07,16009.65,174.00,143.49
11900.68,15878.78,175.00,144.56
11986.30,15745.21,176.00,145.65
12071.92,15609.29,177.00,146.76
12157.53,15471.35,178.00,147.89
12243.15,15331.74,179.00,149.04
12328.77,15190.78,180.00,150.19
12414.38,15048.83,181.00,151.35
12500.00,14906.22,182.00,152.52
12585.62,14763.29,183.00,153.69
12671.23,14620.39,184.00,154.86
12756.85,14477.84,185.00,156.02
12842.47,14335.99,186.00,157.18
12928.08,14195.18,187.00,158.34
13013.70,14055.76,188.00,159.48
13099.32,13918.05,189.00,160.60
13184.93,13782.34,190.00,161.71
13270.55,13648.72,191.00,162.81
13356.16,13517.20,192.00,163.88
13441.78,13387.81,193.00,164.94
13527.40,13260.56,194.00,165.98
13613.01,13135.49,195.00,167.01
13698.63,13012.61,196.00,168.01
13784.25,12891.95,197.00,169.00
13869.86,12773.53,198.00,169.97
13955.48,12657.37,199.00,170.92
14041.10,12543.49,200.00,171.85
14126.71,12431.93,201.00,172.77
14212.33,12322.69,202.00,173.66
14297.95,12215.80,203.00,174.53
14383.56,12111.29,204.00,175.39
14469.18,12009.18,205.00,176.22
14554.79,11909.49,206.00,177.04
14640.41,11812.24,207.00,177.84
14726.03,11717.46,208.00,178.61
14811.64,11625.17,209.00,179.37
14897.26,11535.39,210.00,180.10
14982.88,11448.14,211.00,180.82
15068.49,11363.44,212.00,181.51
15154.11,11281.33,213.00,182.18
15239.73,11201.82,214.00,182.83
15325.34,11124.93,215.00,183.46
15410.96,11059.36,216.00,184.00
15496.58,11048.47,217.00,184.09
15582.19,11144.28,218.00,183.30
15667.81,11398.84,219.00,181.22
15753.42,11836.87,220.00,177.63
15839.04,12373.91,221.00,173.24
15924.66,12898.18,222.00,168.95
16010.27,13318.76,223.00,165.51
16095.89,13628.14,224.00,162.98
16181.51,13839.62,225.00,161.25
16267.12,13966.54,226.00,160.21
