rotation,value,x,y,is_max,is_min
0.00,-427.70,36.00,278.00,False,False
85.62,-715.74,37.00,280.36,False,False
171.23,-993.84,38.00,282.63,False,False
256.85,-797.21,39.00,281.02,False,False
342.47,-692.68,40.00,280.17,False,False
428.08,-307.68,41.00,277.02,False,False
513.70,-205.33,42.00,276.18,False,False
599.32,-59.70,43.00,274.99,False,False
684.93,-262.37,44.00,276.65,False,False
770.55,-0.02,45.00,274.50,False,False
856.16,205.03,46.00,272.82,False,False
941.78,264.88,47.00,272.33,False,False
1027.40,155.10,48.00,273.23,False,False
1113.01,-87.68,49.00,275.22,False,False
1198.63,-335.66,50.00,277.25,False,False
1284.25,-532.95,51.00,278.86,False,False
1369.86,-785.57,52.00,280.93,False,False
1455.48,-644.03,53.00,279.77,False,False
1541.10,-471.34,54.00,278.36,False,False
1626.71,-648.20,55.00,279.80,False,False
1712.33,-857.19,56.00,281.51,False,False
1797.95,-1312.04,57.00,285.24,False,False
1883.56,-1318.78,58.00,285.29,False,False
1969.18,-1452.45,59.00,286.39,False,False
2054.79,-1597.22,60.00,287.57,False,False
2140.41,-1556.77,61.00,287.24,False,False
2226.03,-1751.28,62.00,288.83,False,False
2311.64,-1888.09,63.00,289.95,False,False
2397.26,-1874.07,64.00,289.84,False,False
2482.88,-1896.05,65.00,290.02,False,False
2568.49,-1945.69,66.00,290.42,False,False
2654.11,-1905.73,67.00,290.10,False,False
2739.73,-1976.95,68.00,290.68,False,False
2825.34,-2075.86,69.00,291.49,False,False
2910.96,-2231.25,70.00,292.76,False,False
2996.58,-2464.31,71.00,294.67,False,False
3082.19,-2621.34,72.00,295.95,False,False
3167.81,-2748.72,73.00,296.99,False,False
3253.42,-2971.11,74.00,298.81,False,False
3339.04,-2715.55,75.00,296.72,False,False
3424.66,-2982.83,76.00,298.91,False,False
3510.27,-3115.10,77.00,299.99,False,False
3595.89,-3340.23,78.00,301.83,False,False
3681.51,-3557.29,79.00,303.61,False,False
3767.12,-3706.68,80.00,304.83,False,False
3852.74,-3756.11,81.00,305.24,False,False
3938.36,-3960.48,82.00,306.91,False,False
4023.97,-3464.09,83.00,302.85,False,False
4109.59,-3884.69,84.00,306.29,False,False
4195.21,-4054.09,85.00,307.68,False,False
4280.82,-4281.00,86.00,309.53,False,False
4366.44,-4521.38,87.00,311.50,False,False
4452.05,-4374.31,88.00,310.30,False,False
4537.67,-4131.39,89.00,308.31,False,False
4623.29,-4461.71,90.00,311.01,False,False
4708.90,-4561.35,91.00,311.83,False,False
4794.52,-4669.74,92.00,312.71,False,False
4880.14,-4732.11,93.00,313.22,False,False
4965.75,-4803.17,94.00,313.81,False,False
5051.37,-4843.90,95.00,314.14,False,False
5136.99,-5071.89,96.00,316.00,False,False
5222.60,-4684.32,97.00,312.83,False,False
5308.22,-5040.35,98.00,315.75,False,False
5393.84,-5031.35,99.00,315.67,False,False
5479.45,-5191.80,100.00,316.99,False,False
5565.07,-5405.64,101.00,318.74,False,False
5650.68,-6099.35,102.00,324.41,False,False
5736.30,-5898.49,103.00,322.77,False,False
5821.92,-5934.33,104.00,323.06,False,False
5907.53,-5771.52,105.00,321.73,False,False
5993.15,-5989.05,106.00,323.51,False,False
6078.77,-6421.98,107.00,327.05,False,False
6164.38,-5696.20,108.00,321.11,False,False
6250.00,-5485.60,109.00,319.39,False,False
6335.62,-5484.08,110.00,319.38,False,False
