rotation,value,x,y,is_max,is_min
0.00,-751.78,36.00,280.73,False,False
85.62,-764.59,37.00,280.83,False,False
171.23,-906.90,38.00,282.01,False,False
256.85,-1078.75,39.00,283.44,False,False
342.47,-1240.39,40.00,284.77,False,False
428.08,-1365.13,41.00,285.81,False,False
513.70,-1454.30,42.00,286.55,False,False
599.32,-1525.57,43.00,287.14,False,False
684.93,-1569.85,44.00,287.50,False,False
770.55,-1607.36,45.00,287.81,False,False
856.16,-1657.98,46.00,288.23,False,False
941.78,-1698.76,47.00,288.57,False,False
1027.40,-1696.18,48.00,288.55,False,False
1113.01,-1794.87,49.00,289.37,False,False
1198.63,-1888.47,50.00,290.14,False,False
1284.25,-1947.06,51.00,290.63,False,False
1369.86,-2097.15,52.00,291.87,False,False
1455.48,-2030.36,53.00,291.32,False,False
1541.10,-2292.74,54.00,293.49,False,False
1626.71,-2428.21,55.00,294.61,False,False
1712.33,-2558.52,56.00,295.69,False,False
1797.95,-2698.19,57.00,296.85,False,False
1883.56,-2641.73,58.00,296.38,False,False
1969.18,-2944.01,59.00,298.89,False,False
2054.79,-3056.81,60.00,299.82,False,False
2140.41,-3161.57,61.00,300.69,False,False
2226.03,-3229.73,62.00,301.25,False,False
2311.64,-3297.55,63.00,301.81,False,False
2397.26,-3371.28,64.00,302.43,False,False
2482.88,-3455.45,65.00,303.12,False,False
2568.49,-3542.23,66.00,303.84,False,False
2654.11,-3613.51,67.00,304.43,False,False
2739.73,-3759.70,68.00,305.64,False,False
2825.34,-3757.55,69.00,305.62,False,False
2910.96,-4020.84,70.00,305.81,False,True
2996.58,-3766.10,71.00,305.70,False,False
3082.19,-3697.99,72.00,305.13,False,False
3167.81,-3515.90,73.00,303.62,False,False
3253.42,-3057.55,74.00,299.83,False,False
3339.04,-2626.27,75.00,296.25,False,False
3424.66,-1963.81,76.00,290.77,False,False
3510.27,-1406.43,77.00,286.15,False,False
3595.89,-724.37,78.00,280.50,False,False
3681.51,16.67,79.00,274.36,False,False
3767.12,452.70,80.00,270.75,False,False
3852.74,789.33,81.00,267.96,False,False
3938.36,904.16,82.00,267.01,False,False
4023.97,1034.78,83.00,265.93,False,False
4109.59,957.94,84.00,266.57,False,False
4195.21,914.32,85.00,266.93,False,False
4280.82,845.07,86.00,267.50,False,False
4366.44,1055.80,87.00,265.75,False,False
4452.05,1363.88,88.00,263.20,False,False
4537.67,2058.06,89.00,257.45,False,False
4623.29,1918.86,90.00,258.61,False,False
4708.90,1958.42,91.00,258.28,False,False
4794.52,2022.10,92.00,257.75,False,False
4880.14,2101.54,93.00,257.09,False,False
4965.75,2313.20,94.00,255.34,False,False
5051.37,2583.31,95.00,253.10,False,False
5136.99,2987.36,96.00,249.75,False,False
5222.60,3389.35,97.00,246.42,False,False
5308.22,3726.50,98.00,243.63,False,False
5393.84,4139.64,99.00,240.21,False,False
5479.45,4362.53,100.00,238.36,False,False
5565.07,4515.09,101.00,237.10,False,False
5650.68,4474.27,102.00,237.44,False,False
5736.30,4406.20,103.00,238.00,False,False
5821.92,4282.91,104.00,239.02,False,False
5907.53,4082.68,105.00,240.68,False,False
5993.15,4134.81,106.00,240.25,False,False
6078.77,3966.89,107.00,241.64,False,False
6164.38,3844.25,108.00,242.66,False,False
6250.00,3773.73,109.00,243.24,False,False
6335.62,3731.24,110.00,243.59,False,False
6421.23,3706.91,111.00,243.79,False,False
6506.85,3608.32,112.00,244.61,False,False
6592.47,3655.26,113.00,244.22,False,False
6678.08,3375.23,114.00,246.54,False,False
6763.70,3191.93,115.00,248.06,False,False
6849.32,3062.22,116.00,249.13,False,False
6934.93,2984.04,117.00,249.78,False,False
7020.55,2897.36,118.00,250.50,False,False
7106.16,2811.76,119.00,251.21,False,False
7191.78,2740.69,120.00,251.80,False,False
7277.40,2655.17,121.00,252.51,False,False
7363.01,2561.85,122.00,253.28,False,False
7448.63,2444.09,123.00,254.25,False,False
7534.25,2296.81,124.00,255.47,False,False
7619.86,2169.35,125.00,256.53,False,False
7705.48,2057.05,126.00,257.46,False,False
7791.10,1932.57,127.00,258.49,False,False
7876.71,1809.05,128.00,259.52,False,False
7962.33,1715.14,129.00,260.29,False,False
8047.95,1627.72,130.00,261.02,False,False
8133.56,1557.38,131.00,261.60,False,False
8219.18,1453.43,132.00,262.46,False,False
8304.79,1345.72,133.00,263.35,False,False
8390.41,1218.26,134.00,264.41,False,False
8476.03,1110.75,135.00,265.30,False,False
8561.64,1021.94,136.00,266.03,False,False
8647.26,949.24,137.00,266.64,False,False
8732.88,854.00,138.00,267.43,False,False
8818.49,766.67,139.00,268.15,False,False
8904.11,673.07,140.00,268.92,False,False
8989.73,593.85,141.00,269.58,False,False
9075.34,510.18,142.00,270.27,False,False
9160.96,448.05,143.00,270.79,False,False
9246.58,374.84,144.00,271.40,False,False
9332.19,309.14,145.00,271.94,False,False
9417.81,220.90,146.00,272.67,False,False
9503.42,251.11,147.00,272.42,False,False
9589.04,-202.83,148.00,276.18,False,False
9674.66,-377.28,149.00,277.63,False,False
9760.27,-493.62,150.00,278.59,False,False
9845.89,-526.27,151.00,278.86,False,False
9931.51,-541.14,152.00,278.98,False,False
10017.12,-534.21,153.00,278.93,False,False
10102.74,-225.41,154.00,276.37,False,False
10188.36,307.85,155.00,271.95,False,False
10273.97,870.09,156.00,267.29,False,False
10359.59,1172.75,157.00,264.79,False,False
10445.21,1545.28,158.00,261.70,False,False
10530.82,1751.23,159.00,259.99,False,False
10616.44,1936.42,160.00,258.46,False,False
10702.05,1926.82,161.00,258.54,False,False
10787.67,1943.29,162.00,258.40,False,False
10873.29,1918.18,163.00,258.61,False,False
10958.90,1872.41,164.00,258.99,False,False
11044.52,1760.65,165.00,259.92,False,False
11130.14,1565.95,166.00,261.53,False,False
11215.75,1412.39,167.00,262.80,False,False
11301.37,1271.70,168.00,263.97,False,False
11386.99,1172.07,169.00,264.79,False,False
11472.60,1065.42,170.00,265.67,False,False
11558.22,960.61,171.00,266.54,False,False
11643.84,832.58,172.00,267.60,False,False
11729.45,845.07,173.00,267.50,False,False
11815.07,720.94,174.00,268.53,False,False
11900.68,625.70,175.00,269.32,False,False
11986.30,512.37,176.00,270.26,False,False
12071.92,443.94,177.00,270.82,False,False
12157.53,371.26,178.00,271.42,False,False
12243.15,314.04,179.00,271.90,False,False
12328.77,239.44,180.00,272.52,False,False
12414.38,244.80,181.00,272.47,False,False
12500.00,-18.97,182.00,274.66,False,False
12585.62,-211.70,183.00,276.25,False,False
12671.23,-349.48,184.00,277.39,False,False
12756.85,-435.63,185.00,278.11,False,False
12842.47,-501.33,186.00,278.65,False,False
12928.08,-583.50,187.00,279.33,False,False
13013.70,-565.21,188.00,279.18,False,False
13099.32,-731.55,189.00,280.56,False,False
13184.93,-838.52,190.00,281.45,False,False
13270.55,-933.82,191.00,282.24,False,False
13356.16,-998.00,192.00,282.77,False,False
13441.78,-1071.53,193.00,283.38,False,False
13527.40,-1143.20,194.00,283.97,False,False
13613.01,-1206.66,195.00,284.50,False,False
13698.63,-1340.68,196.00,285.61,False,False
13784.25,-1316.47,197.00,285.40,False,False
13869.86,-1524.73,198.00,287.13,False,False
13955.48,-1577.60,199.00,287.57,False,False
14041.10,-1636.63,200.00,288.06,False,False
14126.71,-1553.84,201.00,287.37,False,False
14212.33,-1670.02,202.00,288.33,False,False
14297.95,-788.31,203.00,281.03,False,False
14383.56,-143.95,204.00,275.69,False,False
14469.18,879.09,205.00,267.22,False,False
14554.79,1605.27,206.00,261.20,False,False
14640.41,2267.42,207.00,255.72,False,False
14726.03,3117.21,208.00,248.68,False,False
14811.64,3696.58,209.00,243.88,False,False
14897.26,4309.86,210.00,238.80,False,False
14982.88,4726.76,211.00,235.35,False,False
15068.49,5209.75,212.00,231.35,False,False
15154.11,6519.11,213.00,220.50,False,False
15239.73,6475.82,214.00,220.86,False,False
15325.34,7039.22,215.00,216.19,False,False
15410.96,7511.17,216.00,212.28,False,False
15496.58,7978.32,217.00,208.41,False,False
15582.19,8604.61,218.00,203.23,False,False
15667.81,9362.84,219.00,196.94,False,False
15753.42,9261.28,220.00,197.79,False,False
15839.04,9827.70,221.00,193.09,False,False
15924.66,10214.53,222.00,189.89,False,False
16010.27,10780.24,223.00,185.20,False,False
16095.89,12110.16,224.00,174.19,False,False
16181.51,12048.29,225.00,174.70,False,False
16267.12,12805.92,226.00,168.42,False,False
16352.74,13014.18,227.00,166.70,False,False
16438.36,13111.50,228.00,165.89,False,False
16523.97,13056.77,229.00,166.35,False,False
16609.59,13048.73,230.00,166.41,False,False
16695.21,12932.42,231.00,167.38,False,False
16780.82,12796.78,232.00,168.50,False,False
16866.44,12765.85,233.00,168.76,False,False
16952.05,12655.94,234.00,169.67,False,False
17037.67,12574.24,235.00,170.34,False,False
17123.29,12483.49,236.00,171.10,False,False
17208.90,12574.11,237.00,170.34,False,False
17294.52,12266.93,238.00,172.89,False,False
17380.14,12266.53,239.00,172.89,False,False
17465.75,12135.51,240.00,173.98,False,False
