rotation,value,x,y
0.00,-1038.70,36.00,283.00
85.62,-1007.42,37.00,282.74
171.23,-802.65,38.00,281.07
256.85,-921.48,39.00,282.04
342.47,-1034.82,40.00,282.97
428.08,-1033.41,41.00,282.96
513.70,-1085.84,42.00,283.39
599.32,-1085.49,43.00,283.38
684.93,-838.29,44.00,281.36
770.55,-838.97,45.00,281.37
856.16,-966.33,46.00,282.41
941.78,-862.72,47.00,281.56
1027.40,-678.82,48.00,280.06
1113.01,151.50,49.00,273.26
1198.63,684.35,50.00,268.90
1284.25,1313.34,51.00,263.75
1369.86,1741.08,52.00,260.25
1455.48,2189.23,53.00,256.58
1541.10,2632.33,54.00,252.96
1626.71,3305.00,55.00,247.45
1712.33,3979.64,56.00,241.93
1797.95,4549.29,57.00,237.27
1883.56,4798.96,58.00,235.23
1969.18,4863.06,59.00,234.70
2054.79,4886.33,60.00,234.51
2140.41,4859.55,61.00,234.73
2226.03,4829.06,62.00,234.98
2311.64,4832.74,63.00,234.95
2397.26,4849.60,64.00,234.81
2482.88,4860.02,65.00,234.73
2568.49,4902.46,66.00,234.38
2654.11,4896.97,67.00,234.43
2739.73,4837.19,68.00,234.92
2825.34,4789.08,69.00,235.31
2910.96,4735.11,70.00,235.75
2996.58,4677.16,71.00,236.23
3082.19,4605.89,72.00,236.81
3167.81,4570.23,73.00,237.10
3253.42,4507.74,74.00,237.61
3339.04,4431.18,75.00,238.24
3424.66,4363.77,76.00,238.79
3510.27,4278.64,77.00,239.49
3595.89,4172.47,78.00,240.36
3681.51,4069.86,79.00,241.20
3767.12,3963.31,80.00,242.07
3852.74,3857.51,81.00,242.93
3938.36,3764.69,82.00,243.69
4023.97,3674.39,83.00,244.43
4109.59,3586.09,84.00,245.15
4195.21,3510.60,85.00,245.77
4280.82,3445.80,86.00,246.30
4366.44,3371.46,87.00,246.91
4452.05,3300.67,88.00,247.49
4537.67,3223.33,89.00,248.12
4623.29,3153.83,90.00,248.69
4708.90,3098.71,91.00,249.14
4794.52,3034.91,92.00,249.66
4880.14,2974.09,93.00,250.16
4965.75,2906.16,94.00,250.72
5051.37,2828.82,95.00,251.35
5136.99,2761.60,96.00,251.90
5222.60,2681.41,97.00,252.56
5308.22,2612.91,98.00,253.12
5393.84,2524.18,99.00,253.84
5479.45,2452.82,100.00,254.43
5565.07,2385.03,101.00,254.98
5650.68,2312.11,102.00,255.58
5736.30,2247.16,103.00,256.11
5821.92,2163.42,104.00,256.80
5907.53,2085.51,105.00,257.43
5993.15,2021.42,106.00,257.96
6078.77,1945.79,107.00,258.58
6164.38,1868.03,108.00,259.21
6250.00,1784.57,109.00,259.90
6335.62,1699.69,110.00,260.59
6421.23,1612.52,111.00,261.30
6506.85,1525.93,112.00,262.01
6592.47,1459.42,113.00,262.56
6678.08,1389.91,114.00,263.13
6763.70,1336.93,115.00,263.56
6849.32,1285.23,116.00,263.98
6934.93,1228.40,117.00,264.45
7020.55,1176.71,118.00,264.87
7106.16,1113.47,119.00,265.39
7191.78,1043.82,120.00,265.96
7277.40,972.90,121.00,266.54
7363.01,896.98,122.00,267.16
7448.63,835.60,123.00,267.66
7534.25,756.84,124.00,268.31
7619.86,680.22,125.00,268.93
7705.48,602.03,126.00,269.57
7791.10,535.23,127.00,270.12
7876.71,479.83,128.00,270.57
7962.33,422.86,129.00,271.04
8047.95,389.04,130.00,271.32
8133.56,349.49,131.00,271.64
8219.18,303.91,132.00,272.01
8304.79,232.09,133.00,272.60
8390.41,126.76,134.00,273.46
8476.03,10.27,135.00,274.42
8561.64,-121.91,136.00,275.50
8647.26,-239.62,137.00,276.46
8732.88,-337.14,138.00,277.26
8818.49,-425.44,139.00,277.98
8904.11,-480.74,140.00,278.43
8989.73,-529.25,141.00,278.83
9075.34,-571.40,142.00,279.18
9160.96,-634.50,143.00,279.69
9246.58,-711.98,144.00,280.33
9332.19,-785.75,145.00,280.93
9417.81,-867.36,146.00,281.60
