x,y_pixel,y_value
123,291,-418.11846689895475
124,291,-418.11846689895475
125,291,-418.11846689895475
126,291,-418.11846689895475
127,292,-522.6480836236934
128,293,-627.1777003484322
129,294,-731.7073170731708
130,295,-836.2369337979095
131,296,-940.7665505226481
132,296,-940.7665505226481
133,297,-1045.2961672473868
134,298,-1149.8257839721255
135,298,-1149.8257839721255
136,299,-1254.3554006968643
137,299,-1254.3554006968643
138,300,-1358.885017421603
139,300,-1358.885017421603
140,301,-1463.4146341463415
141,301,-1463.4146341463415
142,302,-1567.9442508710802
143,302,-1567.9442508710802
144,303,-1672.473867595819
145,304,-1777.0034843205576
146,305,-1881.5331010452962
147,305,-1881.5331010452962
148,306,-1986.062717770035
149,306,-1986.062717770035
150,307,-2090.5923344947737
151,307,-2090.5923344947737
152,308,-2195.1219512195125
153,308,-2195.1219512195125
154,309,-2299.651567944251
155,310,-2404.1811846689898
156,311,-2508.7108013937286
157,311,-2508.7108013937286
158,311,-2508.7108013937286
159,312,-2613.240418118467
160,313,-2717.770034843206
161,314,-2822.2996515679442
162,315,-2926.829268292683
163,315,-2926.829268292683
164,315,-2926.829268292683
165,316,-3031.358885017422
166,317,-3135.8885017421603
167,318,-3240.418118466899
168,318,-3240.418118466899
169,319,-3344.947735191638
170,319,-3344.947735191638
171,319,-3344.947735191638
172,319,-3344.947735191638
173,319,-3344.947735191638
174,316,-3031.358885017422
175,307,-2090.5923344947737
176,303,-1672.473867595819
177,299,-1254.3554006968643
178,296,-940.7665505226481
179,291,-418.11846689895475
180,286,104.52961672473869
181,285,209.05923344947738
182,282,522.6480836236934
183,282,522.6480836236934
184,282,522.6480836236934
185,284,313.5888501742161
186,285,209.05923344947738
187,285,209.05923344947738
188,285,209.05923344947738
189,285,209.05923344947738
190,285,209.05923344947738
191,285,209.05923344947738
192,285,209.05923344947738
193,285,209.05923344947738
197,289,-209.05923344947738
198,290,-313.5888501742161
199,291,-418.11846689895475
200,291,-418.11846689895475
201,292,-522.6480836236934
202,293,-627.1777003484322
203,294,-731.7073170731708
204,294,-731.7073170731708
205,295,-836.2369337979095
206,295,-836.2369337979095
207,296,-940.7665505226481
208,297,-1045.2961672473868
209,298,-1149.8257839721255
210,298,-1149.8257839721255
211,299,-1254.3554006968643
212,299,-1254.3554006968643
213,300,-1358.885017421603
214,300,-1358.885017421603
215,301,-1463.4146341463415
216,301,-1463.4146341463415
217,302,-1567.9442508710802
218,303,-1672.473867595819
219,303,-1672.473867595819
220,304,-1777.0034843205576
221,305,-1881.5331010452962
222,305,-1881.5331010452962
223,306,-1986.062717770035
224,306,-1986.062717770035
225,306,-1986.062717770035
226,307,-2090.5923344947737
227,307,-2090.5923344947737
228,307,-2090.5923344947737
229,308,-2195.1219512195125
230,309,-2299.651567944251
231,310,-2404.1811846689898
232,311,-2508.7108013937286
233,312,-2613.240418118467
234,313,-2717.770034843206
235,314,-2822.2996515679442
236,315,-2926.829268292683
237,315,-2926.829268292683
238,316,-3031.358885017422
239,316,-3031.358885017422
240,316,-3031.358885017422
241,317,-3135.8885017421603
242,317,-3135.8885017421603
243,317,-3135.8885017421603
244,317,-3135.8885017421603
245,318,-3240.418118466899
246,319,-3344.947735191638
247,319,-3344.947735191638
248,320,-3449.4773519163764
249,321,-3554.0069686411152
250,321,-3554.0069686411152
251,321,-3554.0069686411152
252,322,-3658.536585365854
253,323,-3763.0662020905925
254,323,-3763.0662020905925
255,323,-3763.0662020905925
256,325,-3972.12543554007
257,325,-3972.12543554007
258,326,-4076.6550522648085
259,327,-4181.184668989547
260,328,-4285.714285714286
261,329,-4390.243902439025
