rotation,value,x,y
0,-672.0977596741359,36,280
85,-672.0977596741359,37,280
171,-672.0977596741359,38,280
256,-549.8981670061112,39,279
342,-549.8981670061112,40,279
428,-427.6985743380865,41,278
513,-305.49898167006177,42,277
599,-183.29938900203706,43,276
684,-61.09979633401235,44,275
770,61.09979633401235,45,274
856,183.29938900203706,46,273
941,183.29938900203706,47,273
1027,61.09979633401235,48,274
1113,-61.09979633401235,49,275
1198,-183.29938900203706,50,276
1284,-305.49898167006177,51,277
1369,-427.6985743380865,52,278
1455,-427.6985743380865,53,278
1541,-549.8981670061112,54,279
1626,-672.0977596741359,55,280
1712,-794.2973523421606,56,281
1797,-916.4969450101817,57,282
1883,-1038.6965376782064,58,283
1969,-1283.0957230142558,59,285
2054,-1283.0957230142558,60,285
2140,-1405.2953156822805,61,286
2226,-1527.4949083503052,62,287
2311,-1649.69450101833,63,288
2397,-1649.69450101833,64,288
2482,-1771.8940936863546,65,289
2568,-1894.0936863543793,66,290
2654,-1894.0936863543793,67,290
2739,-2016.293279022404,68,291
2825,-2138.4928716904287,69,292
2910,-2382.892057026478,70,294
2996,-2505.091649694499,71,295
3082,-2627.291242362524,72,296
3167,-2749.4908350305486,73,297
3253,-2871.6904276985733,74,298
3339,-2993.890020366598,75,299
3424,-2993.890020366598,76,299
3510,-3116.0896130346227,77,300
3595,-3238.2892057026475,78,301
3681,-3238.2892057026475,79,301
3767,-3360.488798370672,80,302
3852,-3482.688391038697,81,303
3938,-3604.8879837067216,82,304
4023,-3604.8879837067216,83,304
4109,-3727.0875763747463,84,305
4195,-3849.287169042771,85,306
4280,-3971.4867617107957,86,307
4366,-4093.6863543788204,87,308
4452,-4215.885947046845,88,309
4537,-4338.08553971487,89,310
4623,-4338.08553971487,90,310
4708,-4460.2851323828945,91,311
4794,-4582.484725050919,92,312
4880,-4704.684317718944,93,313
4965,-4826.883910386969,94,314
5051,-4826.883910386969,95,314
5136,-4949.083503054993,96,315
5222,-5071.283095723011,97,316
5308,-5193.4826883910355,98,317
5393,-5193.4826883910355,99,317
5479,-5315.68228105906,100,318
5565,-5437.881873727085,101,319
5650,-5560.08146639511,102,320
5736,-5682.281059063134,103,321
5821,-5804.480651731159,104,322
5907,-5804.480651731159,105,322
5993,-5804.480651731159,106,322
6078,-5682.281059063134,107,321
6164,-5682.281059063134,108,321
6250,-5560.08146639511,109,320
6335,-5315.68228105906,110,318
6421,-4949.083503054993,111,315
6506,-4582.484725050919,112,312
6592,-4215.885947046845,113,309
6678,-3727.0875763747463,114,305
6763,-3238.2892057026475,115,301
6849,-2749.4908350305486,116,297
6934,-2382.892057026478,117,294
7020,-1894.0936863543793,118,290
7106,-1405.2953156822805,119,286
7191,-1038.6965376782064,120,283
7277,-549.8981670061112,121,279
7363,-183.29938900203706,122,276
7448,183.29938900203706,123,273
7534,427.6985743380865,124,271
7619,549.8981670061112,125,270
7705,672.0977596741359,126,269
7791,672.0977596741359,127,269
7876,672.0977596741359,128,269
7962,549.8981670061112,129,270
8047,427.6985743380865,130,271
8133,427.6985743380865,131,271
8219,427.6985743380865,132,271
8304,305.49898167006177,133,272
8390,183.29938900203706,134,273
8476,61.09979633401235,135,274
8561,-61.09979633401235,136,275
8647,-305.49898167006177,137,277
8732,-427.6985743380865,138,278
8818,-549.8981670061112,139,279
8904,-549.8981670061112,140,279
8989,-672.0977596741359,141,280
9075,-794.2973523421606,142,281
9160,-916.4969450101817,143,282
9246,-1038.6965376782064,144,283
9332,-1160.896130346231,145,284
9417,-1283.0957230142558,146,285
9503,-1283.0957230142558,147,285
9589,-1405.2953156822805,148,286
9674,-1527.4949083503052,149,287
9760,-1527.4949083503052,150,287
9845,-1649.69450101833,151,288
9931,-1771.8940936863546,152,289
10017,-1894.0936863543793,153,290
10102,-2016.293279022404,154,291
10188,-2016.293279022404,155,291
10273,-2138.4928716904287,156,292
10359,-2260.6924643584534,157,293
10445,-2382.892057026478,158,294
10530,-2382.892057026478,159,294
