rotation,value,x,y
0.000,-891.519,36.000,281.796
85.616,-956.994,37.000,282.331
171.233,-1024.648,38.000,282.885
256.849,-1094.542,39.000,283.457
342.466,-1166.733,40.000,284.048
428.082,-1241.280,41.000,284.658
513.699,-1318.243,42.000,285.288
599.315,-1397.680,43.000,285.938
684.932,-1479.648,44.000,286.608
770.548,-1564.209,45.000,287.300
856.164,-1651.419,46.000,288.014
941.781,-1741.338,47.000,288.750
1027.397,-1834.027,48.000,289.508
1113.014,-1928.721,49.000,290.283
1198.630,-2040.075,50.000,291.195
1284.247,-2177.621,51.000,292.320
1369.863,-2294.781,52.000,293.279
1455.479,-2385.330,53.000,294.020
1541.096,-2442.535,54.000,294.488
1626.712,-2519.238,55.000,295.116
1712.329,-2617.720,56.000,295.922
1797.945,-2725.476,57.000,296.803
1883.562,-2849.719,58.000,297.820
1969.178,-2986.162,59.000,298.937
2054.795,-3118.237,60.000,300.018
2140.411,-3232.188,61.000,300.950
2226.027,-3332.450,62.000,301.771
2311.644,-3428.492,63.000,302.556
2397.260,-3519.395,64.000,303.300
2482.877,-3605.769,65.000,304.007
2568.493,-3691.234,66.000,304.707
2654.110,-3780.963,67.000,305.441
2739.726,-3880.257,68.000,306.253
2825.342,-3993.150,69.000,307.177
2910.959,-4121.365,70.000,308.226
2996.575,-4263.108,71.000,309.386
3082.192,-4411.053,72.000,310.597
3167.808,-4554.718,73.000,311.773
3253.425,-4680.128,74.000,312.799
3339.041,-4781.330,75.000,313.627
3424.658,-4831.712,76.000,314.040
3510.274,-4852.270,77.000,314.208
3595.890,-4899.620,78.000,314.595
3681.507,-4969.619,79.000,315.168
3767.123,-5012.337,80.000,315.518
3852.740,-5035.721,81.000,315.709
3938.356,-5041.909,82.000,315.760
4023.973,-5018.016,83.000,315.564
4109.589,-4952.011,84.000,315.024
4195.205,-4849.596,85.000,314.186
4280.822,-4732.976,86.000,313.232
4366.438,-4614.694,87.000,312.264
4452.055,-4475.815,88.000,311.127
4537.671,-4311.543,89.000,309.783
4623.288,-4149.714,90.000,308.458
4708.904,-4008.694,91.000,307.304
4794.521,-3893.270,92.000,306.360
4880.137,-3798.462,93.000,305.584
4965.753,-3735.221,94.000,305.067
5051.370,-3713.422,95.000,304.888
5136.986,-3699.455,96.000,304.774
5222.603,-3684.380,97.000,304.651
5308.219,-3668.697,98.000,304.522
5393.836,-3661.178,99.000,304.461
5479.452,-3682.604,100.000,304.636
5565.068,-3729.167,101.000,305.017
5650.685,-3806.917,102.000,305.653
5736.301,-3908.378,103.000,306.484
5821.918,-3987.593,104.000,307.132
5907.534,-4067.665,105.000,307.787
5993.151,-4167.793,106.000,308.606
6078.767,-4274.825,107.000,309.482
6164.384,-4380.461,108.000,310.347
6250.000,-4485.794,109.000,311.209
6335.616,-4592.196,110.000,312.079
6421.233,-4693.691,111.000,312.910
6506.849,-4777.046,112.000,313.592
6592.466,-4842.534,113.000,314.128
6678.082,-4914.422,114.000,314.716
6763.699,-5000.484,115.000,315.421
6849.315,-5096.536,116.000,316.207
6934.932,-5206.873,117.000,317.110
7020.548,-5335.056,118.000,318.159
7106.164,-5472.216,119.000,319.281
7191.781,-5581.028,120.000,320.171
7277.397,-5673.131,121.000,320.925
7363.014,-5785.276,122.000,321.843
7448.630,-5921.993,123.000,322.962
7534.247,-6069.162,124.000,324.166
7619.863,-6205.473,125.000,325.281
7705.479,-6315.123,126.000,326.179
7791.096,-6421.305,127.000,327.048
7876.712,-6531.912,128.000,327.953
7962.329,-6605.855,129.000,328.558
8047.945,-6696.262,130.000,329.298
8133.562,-6759.654,131.000,329.817
8219.178,-6756.286,132.000,329.789
8304.795,-6743.861,133.000,329.687
8390.411,-6655.640,134.000,328.965
8476.027,-6519.156,135.000,327.848
8561.644,-6268.580,136.000,325.798
8647.260,-5949.007,137.000,323.183
8732.877,-5690.538,138.000,321.068
8818.493,-5374.860,139.000,318.484
8904.110,-5037.692,140.000,315.725
8989.726,-4712.186,141.000,313.061
9075.342,-4322.646,142.000,309.874
9160.959,-3857.864,143.000,306.070
9246.575,-3375.539,144.000,302.123
9332.192,-2920.745,145.000,298.401
9417.808,-2484.496,146.000,294.831
9503.425,-2062.980,147.000,291.382
9589.041,-1637.369,148.000,287.899
9674.658,-1200.795,149.000,284.327
9760.274,-765.256,150.000,280.762
9845.890,-356.296,151.000,277.416
9931.507,5.559,152.000,274.455
10017.123,355.633,153.000,271.590
10102.740,651.369,154.000,269.170
10188.356,897.866,155.000,267.152
10273.973,1146.662,156.000,265.116
10359.589,1315.477,157.000,263.735
10445.205,1469.083,158.000,262.478
10530.822,1607.618,159.000,261.344
10616.438,1728.393,160.000,260.356
10702.055,1807.800,161.000,259.706
10787.671,1736.299,162.000,260.291
10873.288,1668.953,163.000,260.842
10958.904,1624.568,164.000,261.206
11044.521,1539.061,165.000,261.905
11130.137,1476.988,166.000,262.413
11215.753,1412.927,167.000,262.938
11301.370,1295.243,168.000,263.901
11386.986,1142.763,169.000,265.148
11472.603,1016.312,170.000,266.183
11558.219,905.790,171.000,267.088
11643.836,791.837,172.000,268.020
11729.452,681.576,173.000,268.922
11815.068,576.260,174.000,269.784
11900.685,474.805,175.000,270.615
11986.301,374.906,176.000,271.432
12071.918,274.013,177.000,272.258
12157.534,169.968,178.000,273.109
12243.151,49.371,179.000,274.096
12328.767,-95.743,180.000,275.283
12414.384,-238.231,181.000,276.450
12500.000,-364.658,182.000,277.484
12585.616,-474.584,183.000,278.384
12671.233,-574.453,184.000,279.201
12756.849,-677.627,185.000,280.045
12842.466,-777.522,186.000,280.863
12928.082,-860.464,187.000,281.541
13013.699,-926.533,188.000,282.082
13099.315,-992.032,189.000,282.618
13184.932,-1074.942,190.000,283.297
13270.548,-1181.935,191.000,284.172
13356.164,-1302.588,192.000,285.160
13441.781,-1419.033,193.000,286.112
13527.397,-1523.245,194.000,286.965
13613.014,-1625.683,195.000,287.804
13698.630,-1735.502,196.000,288.702
13784.247,-1846.933,197.000,289.614
13869.863,-1960.706,198.000,290.545
13955.479,-2082.467,199.000,291.542
14041.096,-2209.517,200.000,292.581
14126.712,-2332.791,201.000,293.590
14212.329,-2445.375,202.000,294.511
14297.945,-2552.095,203.000,295.385
14383.562,-2661.569,204.000,296.281
14469.178,-2750.730,205.000,297.010
14554.795,-2799.417,206.000,297.409
14640.411,-2829.759,207.000,297.657
14726.027,-2871.850,208.000,298.001
14811.644,-2898.309,209.000,298.218
14897.260,-2897.177,210.000,298.209
14982.877,-2880.400,211.000,298.071
15068.493,-2864.743,212.000,297.943
15154.110,-2851.132,213.000,297.832
15239.726,-2826.673,214.000,297.632
15325.342,-2783.833,215.000,297.281
15410.959,-2741.956,216.000,296.938
15496.575,-2711.971,217.000,296.693
