rotation,value,x,y,is_max
0.00,-611.00,36.00,279.50,False
85.62,-672.10,37.00,280.00,False
171.23,-748.47,38.00,280.62,False
256.85,-840.12,39.00,281.38,False
342.47,-931.77,40.00,282.12,False
428.08,-1008.15,41.00,282.75,False
513.70,-1069.25,42.00,283.25,False
599.32,-1160.90,43.00,284.00,False
684.93,-1252.55,44.00,284.75,False
770.55,-1313.65,45.00,285.25,False
856.16,-1405.30,46.00,286.00,False
941.78,-1527.49,47.00,287.00,False
1027.40,-1619.14,48.00,287.75,False
1113.01,-1680.24,49.00,288.25,False
1198.63,-1741.34,50.00,288.75,False
1284.25,-1787.17,51.00,289.12,False
1369.86,-1848.27,52.00,289.62,False
1455.48,-1939.92,53.00,290.38,False
1541.10,-2016.29,54.00,291.00,False
1626.71,-2077.39,55.00,291.50,False
1712.33,-2153.77,56.00,292.12,False
1797.95,-2245.42,57.00,292.88,False
1883.56,-2306.52,58.00,293.38,False
1969.18,-2306.52,59.00,293.38,False
2054.79,-2230.14,60.00,292.75,False
2140.41,-2092.67,61.00,291.62,False
2226.03,-1970.47,62.00,290.62,False
2311.64,-1894.09,63.00,290.00,False
2397.26,-1832.99,64.00,289.50,False
2482.88,-1726.07,65.00,288.62,False
2568.49,-1542.77,66.00,287.12,False
2654.11,-1374.75,67.00,285.75,False
2739.73,-1328.92,68.00,285.38,False
2825.34,-1390.02,69.00,285.88,False
2910.96,-1481.67,70.00,286.62,False
2996.58,-1573.32,71.00,287.38,False
3082.19,-1664.97,72.00,288.12,False
3167.81,-1741.34,73.00,288.75,False
3253.42,-1787.17,74.00,289.12,False
3339.04,-1848.27,75.00,289.62,False
3424.66,-1924.64,76.00,290.25,False
3510.27,-1985.74,77.00,290.75,False
3595.89,-2062.12,78.00,291.38,False
3681.51,-2138.49,79.00,292.00,False
3767.12,-2199.59,80.00,292.50,False
3852.74,-2260.69,81.00,293.00,False
3938.36,-2337.07,82.00,293.62,False
4023.97,-2413.44,83.00,294.25,False
4109.59,-2459.27,84.00,294.62,False
4195.21,-2520.37,85.00,295.12,False
4280.82,-2627.29,86.00,296.00,False
4366.44,-2734.22,87.00,296.88,False
4452.05,-2810.59,88.00,297.50,False
4537.67,-2871.69,89.00,298.00,False
4623.29,-2963.34,90.00,298.75,False
4708.90,-3085.54,91.00,299.75,False
4794.52,-3192.46,92.00,300.62,False
4880.14,-3299.39,93.00,301.50,False
4965.75,-3406.31,94.00,302.38,False
5051.37,-3497.96,95.00,303.12,False
5136.99,-3604.89,96.00,304.00,False
5222.60,-3711.81,97.00,304.88,False
5308.22,-3788.19,98.00,305.50,False
5393.84,-3849.29,99.00,306.00,False
5479.45,-3910.39,100.00,306.50,False
5565.07,-3986.76,101.00,307.12,False
5650.68,-4093.69,102.00,308.00,False
5736.30,-4185.34,103.00,308.75,False
5821.92,-4231.16,104.00,309.12,False
5907.53,-4276.99,105.00,309.50,False
5993.15,-4338.09,106.00,310.00,False
6078.77,-4383.91,107.00,310.38,False
6164.38,-4414.46,108.00,310.62,False
6250.00,-4429.74,109.00,310.75,False
6335.62,-4383.91,110.00,310.38,False
6421.23,-4292.26,111.00,309.62,False
6506.85,-4215.89,112.00,309.00,False
6592.47,-4139.51,113.00,308.38,False
6678.08,-4047.86,114.00,307.62,False
6763.70,-3956.21,115.00,306.88,False
6849.32,-3864.56,116.00,306.12,False
6934.93,-3803.46,117.00,305.62,False
7020.55,-3788.19,118.00,305.50,False
7106.16,-3818.74,119.00,305.75,False
7191.78,-3895.11,120.00,306.38,False
7277.40,-3971.49,121.00,307.00,False
7363.01,-4032.59,122.00,307.50,False
7448.63,-4108.96,123.00,308.12,False
7534.25,-4200.61,124.00,308.88,False
7619.86,-4276.99,125.00,309.50,False
7705.48,-4353.36,126.00,310.12,False
7791.10,-4445.01,127.00,310.88,False
7876.71,-4521.38,128.00,311.50,False
7962.33,-4582.48,129.00,312.00,False
8047.95,-4628.31,130.00,312.38,False
8133.56,-4674.13,131.00,312.75,False
8219.18,-4735.23,132.00,313.25,False
8304.79,-4796.33,133.00,313.75,False
8390.41,-4857.43,134.00,314.25,False
8476.03,-4918.53,135.00,314.75,False
8561.64,-4994.91,136.00,315.38,False
8647.26,-5086.56,137.00,316.12,False
8732.88,-5162.93,138.00,316.75,False
8818.49,-5224.03,139.00,317.25,False
8904.11,-5285.13,140.00,317.75,False
8989.73,-5346.23,141.00,318.25,False
9075.34,-5437.88,142.00,319.00,False
9160.96,-5544.81,143.00,319.88,False
9246.58,-5621.18,144.00,320.50,False
9332.19,-5697.56,145.00,321.12,False
9417.81,-5789.21,146.00,321.88,False
9503.42,-5865.58,147.00,322.50,False
9589.04,-5926.68,148.00,323.00,False
9674.66,-6003.05,149.00,323.62,False
9760.27,-6094.70,150.00,324.38,False
9845.89,-6186.35,151.00,325.12,False
9931.51,-6278.00,152.00,325.88,False
10017.12,-6339.10,153.00,326.38,False
10102.74,-6384.93,154.00,326.75,False
10188.36,-6461.30,155.00,327.38,False
10273.97,-6522.40,156.00,327.88,False
10359.59,-6522.40,157.00,327.88,False
10445.21,-6400.20,158.00,326.88,False
10530.82,-6186.35,159.00,325.12,False
10616.44,-6048.88,160.00,324.00,False
10702.05,-5987.78,161.00,323.50,False
10787.67,-5911.41,162.00,322.88,False
10873.29,-5804.48,163.00,322.00,False
10958.90,-5697.56,164.00,321.12,False
11044.52,-5651.73,165.00,320.75,False
11130.14,-5682.28,166.00,321.00,False
11215.75,-5758.66,167.00,321.62,False
11301.37,-5835.03,168.00,322.25,False
11386.99,-5896.13,169.00,322.75,False
11472.60,-5987.78,170.00,323.50,False
11558.22,-6094.70,171.00,324.38,False
11643.84,-6186.35,172.00,325.12,False
11729.45,-6278.00,173.00,325.88,False
11815.07,-6369.65,174.00,326.62,False
11900.68,-6446.03,175.00,327.25,False
11986.30,-6507.13,176.00,327.75,False
12071.92,-6568.23,177.00,328.25,False
12157.53,-6614.05,178.00,328.62,False
12243.15,-6659.88,179.00,329.00,False
12328.77,-6705.70,180.00,329.38,False
12414.38,-6751.53,181.00,329.75,False
12500.00,-6843.18,182.00,330.50,False
12585.62,-6934.83,183.00,331.25,False
12671.23,-6980.65,184.00,331.62,False
12756.85,-7026.48,185.00,332.00,False
12842.47,-7102.85,186.00,332.62,False
12928.08,-7179.23,187.00,333.25,False
13013.70,-7225.05,188.00,333.62,False
13099.32,-7286.15,189.00,334.12,False
13184.93,-7362.53,190.00,334.75,False
13270.55,-7347.25,191.00,334.62,False
13356.16,-7225.05,192.00,333.62,False
13441.78,-7072.30,193.00,332.38,False
13527.40,-6919.55,194.00,331.12,False
13613.01,-6797.35,195.00,330.12,False
13698.63,-6659.88,196.00,329.00,False
13784.25,-6430.75,197.00,327.12,False
13869.86,-6125.25,198.00,324.62,False
13955.48,-5804.48,199.00,322.00,False
14041.10,-5575.36,200.00,320.12,False
14126.71,-5453.16,201.00,319.12,False
14212.33,-5376.78,202.00,318.50,False
14297.95,-5346.23,203.00,318.25,False
14383.56,-5376.78,204.00,318.50,False
14469.18,-5437.88,205.00,319.00,False
14554.79,-5483.71,206.00,319.38,False
14640.41,-5529.53,207.00,319.75,False
14726.03,-5605.91,208.00,320.38,False
14811.64,-5667.01,209.00,320.88,False
14897.26,-5697.56,210.00,321.12,False
14982.88,-5743.38,211.00,321.50,False
15068.49,-5804.48,212.00,322.00,False
15154.11,-5880.86,213.00,322.62,False
15239.73,-5972.51,214.00,323.38,False
15325.34,-6048.88,215.00,324.00,False
15410.96,-6094.70,216.00,324.38,False
15496.58,-6125.25,217.00,324.62,False
15582.19,-6186.35,218.00,325.12,False
15667.81,-6262.73,219.00,325.75,False
15753.42,-6323.83,220.00,326.25,False
15839.04,-6415.48,221.00,327.00,False
15924.66,-6522.40,222.00,327.88,False
16010.27,-6614.05,223.00,328.62,False
16095.89,-6720.98,224.00,329.50,False
16181.51,-6827.90,225.00,330.38,False
16267.12,-6919.55,226.00,331.12,False
16352.74,-7026.48,227.00,332.00,False
16438.36,-7118.13,228.00,332.75,False
16523.97,-7179.23,229.00,333.25,False
16609.59,-7255.60,230.00,333.88,False
16695.21,-7331.98,231.00,334.50,False
16780.82,-7393.08,232.00,335.00,False
16866.44,-7454.18,233.00,335.50,False
16952.05,-7515.27,234.00,336.00,False
17037.67,-7576.37,235.00,336.50,False
17123.29,-7637.47,236.00,337.00,False
17208.90,-7698.57,237.00,337.50,False
17294.52,-7759.67,238.00,338.00,False
17380.14,-7820.77,239.00,338.50,False
17465.75,-7881.87,240.00,339.00,False
17551.37,-7942.97,241.00,339.50,False
17636.99,-8004.07,242.00,340.00,False
17722.60,-8065.17,243.00,340.50,False
17808.22,-8126.27,244.00,341.00,False
17893.84,-8187.37,245.00,341.50,False
17979.45,-8263.75,246.00,342.12,False
18065.07,-8370.67,247.00,343.00,False
18150.68,-8477.60,248.00,343.88,False
18236.30,-8569.25,249.00,344.62,False
18321.92,-8660.90,250.00,345.38,False
18407.53,-8752.55,251.00,346.12,False
18493.15,-8844.20,252.00,346.88,False
18578.77,-8935.85,253.00,347.62,False
18664.38,-9027.49,254.00,348.38,False
18750.00,-9103.87,255.00,349.00,False
18835.62,-9164.97,256.00,349.50,False
18921.23,-9226.07,257.00,350.00,False
19006.85,-9287.17,258.00,350.50,False
19092.47,-9348.27,259.00,351.00,False
19178.08,-9409.37,260.00,351.50,False
19263.70,-9470.47,261.00,352.00,False
