rotation,value,x,y
0.00,-701.13,36.00,280.31
85.62,-548.24,37.00,279.04
171.23,-406.89,38.00,277.87
256.85,-277.08,39.00,276.80
342.47,-158.80,40.00,275.82
428.08,-52.06,41.00,274.93
513.70,24.06,42.00,274.30
599.32,95.96,43.00,273.71
684.93,159.42,44.00,273.18
770.55,214.29,45.00,272.72
856.16,215.00,46.00,272.72
941.78,261.29,47.00,272.34
1027.40,314.61,48.00,271.89
1113.01,177.29,49.00,273.03
1198.63,2400.14,50.00,254.62
1284.25,-3299.94,51.00,301.83
1369.86,-227.19,52.00,276.38
1455.48,-5167.79,53.00,317.31
1541.10,-1339.12,54.00,285.59
1626.71,-2861.40,55.00,298.20
1712.33,-3807.40,56.00,306.04
1797.95,-4075.12,57.00,308.26
1883.56,-3835.78,58.00,306.27
1969.18,-2878.47,59.00,298.34
2054.79,-1247.38,60.00,284.83
2140.41,-5145.08,61.00,317.12
2226.03,2202.78,62.00,256.25
2311.64,-6551.84,63.00,328.77
2397.26,-2668.82,64.00,296.61
2482.88,-1135.62,65.00,283.91
2568.49,-416.34,66.00,277.95
2654.11,2596.70,67.00,252.99
2739.73,9746.45,68.00,193.77
2825.34,12391.60,69.00,171.86
2910.96,16147.09,70.00,140.75
2996.58,20226.67,71.00,106.96
3082.19,23936.39,72.00,76.23
3167.81,25246.87,73.00,65.37
3253.42,21909.64,74.00,93.02
3339.04,21228.68,75.00,98.66
3424.66,17003.56,76.00,133.65
3510.27,17252.89,77.00,131.59
3595.89,19525.26,78.00,112.77
3681.51,17652.96,79.00,128.27
3767.12,19687.38,80.00,111.42
3852.74,25663.00,81.00,61.92
3938.36,29819.55,82.00,27.49
4023.97,30000.00,83.00,3.01
4109.59,22993.98,84.00,84.03
4195.21,16690.99,85.00,136.24
4280.82,12694.24,86.00,169.35
4366.44,1190.01,87.00,264.64
4452.05,-5317.47,88.00,318.55
4537.67,-6812.88,89.00,330.93
4623.29,-3414.16,90.00,302.78
4708.90,5063.67,91.00,232.56
4794.52,11875.03,92.00,176.14
4880.14,18914.75,93.00,117.82
4965.75,25523.21,94.00,63.08
5051.37,30000.00,95.00,20.12
5136.99,30000.00,96.00,-10.28
5222.60,30000.00,97.00,-10.27
5308.22,30000.00,98.00,20.54
5393.84,25206.20,99.00,65.71
5479.45,18713.54,100.00,119.49
5565.07,14444.29,101.00,154.85
5650.68,2397.88,102.00,254.64
5736.30,-4742.02,103.00,313.78
5821.92,-7112.61,104.00,333.42
5907.53,-4731.89,105.00,313.70
5993.15,4887.51,106.00,234.02
6078.77,16260.50,107.00,139.81
6164.38,15035.25,108.00,149.96
6250.00,22358.35,109.00,89.30
6335.62,21633.30,110.00,95.30
6421.23,15736.66,111.00,144.15
6506.85,9637.55,112.00,194.67
6592.47,3381.69,113.00,246.49
6678.08,-157.45,114.00,275.80
6763.70,-2471.89,115.00,294.98
6849.32,-2577.14,116.00,295.85
6934.93,-5484.52,117.00,319.93
7020.55,-8729.58,118.00,346.81
7106.16,-5739.47,119.00,322.04
7191.78,-10589.13,120.00,362.21
7277.40,-13385.86,121.00,385.38
7363.01,-9116.52,122.00,350.02
7448.63,-11917.10,123.00,373.21
7534.25,-10904.54,124.00,364.83
7619.86,-10891.78,125.00,364.72
7705.48,-10670.17,126.00,362.88
7791.10,-10127.57,127.00,358.39
7876.71,-8217.70,128.00,342.57
7962.33,-10101.73,129.00,358.18
8047.95,-12337.80,130.00,376.70
8133.56,-13352.84,131.00,385.11
8219.18,-12401.68,132.00,377.23
8304.79,-11225.68,133.00,367.49
8390.41,-10162.79,134.00,358.68
8476.03,-9158.17,135.00,350.36
