x,y,relative_y,value
0,255,5,600
1,255,5,600
2,254,6,720
3,254,6,720
4,255,5,600
5,255,5,600
6,255,5,600
7,254,6,720
8,253,7,840
9,252,8,960
10,251,9,1080
11,250,10,1200
12,249,11,1320
13,249,11,1320
14,249,11,1320
15,250,10,1200
16,251,9,1080
17,252,8,960
18,253,7,840
19,253,7,840
20,254,6,720
21,254,6,720
22,255,5,600
23,255,5,600
24,255,5,600
25,256,4,480
26,257,3,360
27,258,2,240
28,259,1,120
29,259,1,120
30,261,-1,-120
31,262,-2,-240
32,263,-3,-360
33,264,-4,-480
34,265,-5,-600
35,266,-6,-720
36,266,-6,-720
37,267,-7,-840
38,268,-8,-960
39,270,-10,-1200
40,270,-10,-1200
41,270,-10,-1200
42,271,-11,-1320
43,272,-12,-1440
44,272,-12,-1440
45,273,-13,-1560
46,274,-14,-1680
47,275,-15,-1800
48,276,-16,-1920
49,277,-17,-2040
50,278,-18,-2160
51,278,-18,-2160
52,279,-19,-2280
53,280,-20,-2400
54,281,-21,-2520
55,282,-22,-2640
56,282,-22,-2640
57,283,-23,-2760
58,284,-24,-2880
59,284,-24,-2880
60,285,-25,-3000
61,287,-27,-3240
62,287,-27,-3240
63,289,-29,-3480
64,289,-29,-3480
65,291,-31,-3720
66,292,-32,-3840
67,293,-33,-3960
68,293,-33,-3960
69,294,-34,-4080
70,295,-35,-4200
71,296,-36,-4320
72,297,-37,-4440
73,297,-37,-4440
74,298,-38,-4560
75,299,-39,-4680
76,300,-40,-4800
77,301,-41,-4920
78,301,-41,-4920
79,302,-42,-5040
80,302,-42,-5040
81,303,-43,-5160
82,304,-44,-5280
83,305,-45,-5400
84,305,-45,-5400
85,306,-46,-5520
86,308,-48,-5760
87,308,-48,-5760
88,309,-49,-5880
89,310,-50,-6000
90,311,-51,-6120
91,312,-52,-6240
92,313,-53,-6360
93,313,-53,-6360
94,314,-54,-6480
95,315,-55,-6600
96,316,-56,-6720
97,317,-57,-6840
98,318,-58,-6960
99,320,-60,-7200
100,320,-60,-7200
101,320,-60,-7200
102,322,-62,-7440
103,324,-64,-7680
104,324,-64,-7680
105,325,-65,-7800
106,325,-65,-7800
107,326,-66,-7920
108,327,-67,-8040
109,327,-67,-8040
110,328,-68,-8160
111,329,-69,-8280
112,329,-69,-8280
113,329,-69,-8280
114,328,-68,-8160
115,323,-63,-7560
116,323,-63,-7560
117,320,-60,-7200
118,316,-56,-6720
119,314,-54,-6480
120,308,-48,-5760
121,302,-42,-5040
122,298,-38,-4560
123,289,-29,-3480
124,287,-27,-3240
125,283,-23,-2760
126,280,-20,-2400
127,278,-18,-2160
128,272,-12,-1440
129,270,-10,-1200
130,268,-8,-960
131,263,-3,-360
132,262,-2,-240
133,259,1,120
134,255,5,600
135,253,7,840
136,252,8,960
137,252,8,960
138,249,11,1320
139,248,12,1440
140,245,15,1800
141,245,15,1800
142,245,15,1800
143,246,14,1680
144,246,14,1680
145,246,14,1680
146,246,14,1680
147,248,12,1440
148,249,11,1320
149,250,10,1200
150,252,8,960
151,253,7,840
152,254,6,720
153,254,6,720
154,254,6,720
155,255,5,600
156,255,5,600
157,256,4,480
158,258,2,240
159,258,2,240
160,259,1,120
161,259,1,120
162,260,0,0
163,261,-1,-120
164,262,-2,-240
165,262,-2,-240
166,263,-3,-360
167,264,-4,-480
168,265,-5,-600
169,265,-5,-600
170,266,-6,-720
171,267,-7,-840
172,268,-8,-960
173,269,-9,-1080
174,270,-10,-1200
175,272,-12,-1440
176,272,-12,-1440
177,273,-13,-1560
178,274,-14,-1680
179,275,-15,-1800
180,276,-16,-1920
181,277,-17,-2040
182,278,-18,-2160
183,279,-19,-2280
184,279,-19,-2280
185,280,-20,-2400
186,281,-21,-2520
187,282,-22,-2640
188,282,-22,-2640
189,282,-22,-2640
190,276,-16,-1920
191,275,-15,-1800
192,267,-7,-840
193,265,-5,-600
194,263,-3,-360
195,257,3,360
196,254,6,720
197,250,10,1200
198,239,21,2520
199,235,25,3000
200,230,30,3600
201,221,39,4680
202,217,43,5160
203,214,46,5520
204,210,50,6000
205,207,53,6360
206,202,58,6960
207,200,60,7200
208,197,63,7560
209,195,65,7800
210,195,65,7800
211,195,65,7800
212,196,64,7680
213,197,63,7560
214,197,63,7560
215,198,62,7440
216,200,60,7200
217,200,60,7200
218,202,58,6960
219,203,57,6840
220,204,56,6720
221,204,56,6720
222,205,55,6600
223,206,54,6480
224,207,53,6360
225,208,52,6240
226,209,51,6120
227,209,51,6120
228,210,50,6000
229,210,50,6000
230,212,48,5760
231,212,48,5760
232,213,47,5640
233,214,46,5520
234,215,45,5400
235,216,44,5280
236,217,43,5160
237,218,42,5040
238,219,41,4920
239,220,40,4800
240,221,39,4680
241,222,38,4560
242,223,37,4440
243,224,36,4320
244,224,36,4320
245,225,35,4200
246,226,34,4080
247,227,33,3960
248,227,33,3960
249,228,32,3840
250,229,31,3720
251,230,30,3600
252,231,29,3480
253,231,29,3480
254,232,28,3360
255,232,28,3360
256,233,27,3240
257,234,26,3120
258,235,25,3000
259,236,24,2880
260,236,24,2880
261,237,23,2760
262,238,22,2640
263,240,20,2400
264,240,20,2400
265,241,19,2280
266,243,17,2040
267,243,17,2040
268,244,16,1920
269,245,15,1800
270,246,14,1680
271,247,13,1560
272,248,12,1440
273,248,12,1440
274,250,10,1200
275,251,9,1080
276,251,9,1080
277,252,8,960
278,250,10,1200
279,247,13,1560
280,242,18,2160
281,240,20,2400
282,236,24,2880
283,233,27,3240
284,229,31,3720
285,227,33,3960
286,222,38,4560
287,220,40,4800
288,216,44,5280
289,211,49,5880
290,211,49,5880
291,210,50,6000
292,210,50,6000
293,209,51,6120
294,207,53,6360
295,205,55,6600
296,203,57,6840
297,201,59,7080
298,199,61,7320
299,197,63,7560
300,194,66,7920
301,186,74,8880
302,183,77,9240
303,180,80,9600
304,178,82,9840
305,177,83,9960
306,175,85,10200
307,173,87,10440
308,171,89,10680
309,169,91,10920
310,169,91,10920
311,169,91,10920
312,169,91,10920
313,169,91,10920
314,170,90,10800
315,169,91,10920
316,168,92,11040
317,167,93,11160
318,166,94,11280
319,166,94,11280
320,165,95,11400
321,164,96,11520
322,163,97,11640
323,163,97,11640
324,163,97,11640
325,163,97,11640
326,163,97,11640
327,162,98,11760
328,161,99,11880
329,160,100,12000
330,160,100,12000
331,159,101,12120
332,158,102,12240
333,158,102,12240
334,159,101,12120
335,159,101,12120
336,160,100,12000
337,161,99,11880
338,161,99,11880
339,162,98,11760
340,162,98,11760
341,163,97,11640
342,165,95,11400
343,165,95,11400
344,166,94,11280
345,167,93,11160
346,168,92,11040
347,169,91,10920
348,170,90,10800
349,171,89,10680
350,172,88,10560
351,173,87,10440
352,174,86,10320
353,174,86,10320
354,175,85,10200
355,176,84,10080
356,177,83,9960
357,177,83,9960
358,178,82,9840
359,179,81,9720
360,180,80,9600
361,181,79,9480
362,181,79,9480
363,182,78,9360
364,182,78,9360
365,183,77,9240
366,184,76,9120
367,186,74,8880
368,187,73,8760
369,188,72,8640
370,188,72,8640
371,189,71,8520
372,190,70,8400
373,191,69,8280
374,193,67,8040
375,194,66,7920
376,195,65,7800
377,196,64,7680
378,196,64,7680
379,196,64,7680
380,197,63,7560
381,198,62,7440
382,198,62,7440
383,199,61,7320
384,200,60,7200
385,201,59,7080
386,202,58,6960
387,203,57,6840
388,203,57,6840
389,204,56,6720
390,206,54,6480
391,207,53,6360
392,207,53,6360
393,208,52,6240
394,209,51,6120
395,210,50,6000
396,211,49,5880
397,211,49,5880
398,212,48,5760
399,213,47,5640
400,214,46,5520
401,214,46,5520
402,215,45,5400
403,215,45,5400
404,216,44,5280
405,215,45,5400
406,215,45,5400
407,214,46,5520
408,213,47,5640
409,213,47,5640
410,213,47,5640
411,212,48,5760
412,210,50,6000
413,210,50,6000
414,210,50,6000
415,210,50,6000
416,210,50,6000
417,201,59,7080
418,201,59,7080
419,200,60,7200
420,200,60,7200
421,200,60,7200
422,200,60,7200
423,192,68,8160
424,192,68,8160
425,192,68,8160
426,192,68,8160
427,193,67,8040
428,193,67,8040
429,193,67,8040
430,194,66,7920
431,195,65,7800
432,195,65,7800
433,196,64,7680
