x,y,relative_y,value
0,1532,-1272,-152640
1,1532,-1272,-152640
2,1532,-1272,-152640
3,1532,-1272,-152640
4,1532,-1272,-152640
5,1532,-1272,-152640
6,1532,-1272,-152640
7,1532,-1272,-152640
8,1532,-1272,-152640
9,1532,-1272,-152640
10,1532,-1272,-152640
11,1532,-1272,-152640
12,1532,-1272,-152640
13,1532,-1272,-152640
14,1532,-1272,-152640
15,1532,-1272,-152640
16,1532,-1272,-152640
17,1532,-1272,-152640
18,1532,-1272,-152640
19,1532,-1272,-152640
20,1532,-1272,-152640
21,1532,-1272,-152640
22,1532,-1272,-152640
23,1532,-1272,-152640
24,1532,-1272,-152640
25,1532,-1272,-152640
26,1532,-1272,-152640
27,1532,-1272,-152640
28,1532,-1272,-152640
29,1532,-1272,-152640
30,1532,-1272,-152640
31,1532,-1272,-152640
32,1532,-1272,-152640
33,1532,-1272,-152640
34,1532,-1272,-152640
35,1532,-1272,-152640
36,1530,-1270,-152400
37,1530,-1270,-152400
38,1530,-1270,-152400
39,1532,-1272,-152640
40,1532,-1272,-152640
41,1532,-1272,-152640
42,1532,-1272,-152640
43,1532,-1272,-152640
44,1532,-1272,-152640
45,1532,-1272,-152640
46,1532,-1272,-152640
47,1532,-1272,-152640
48,1532,-1272,-152640
49,1532,-1272,-152640
50,1532,-1272,-152640
51,1532,-1272,-152640
52,1532,-1272,-152640
53,1534,-1274,-152880
54,1535,-1275,-153000
55,1536,-1276,-153120
56,1537,-1277,-153240
57,1538,-1278,-153360
58,1537,-1277,-153240
59,1538,-1278,-153360
60,1537,-1277,-153240
61,1537,-1277,-153240
62,1537,-1277,-153240
63,1537,-1277,-153240
64,1537,-1277,-153240
65,1537,-1277,-153240
66,1537,-1277,-153240
67,1537,-1277,-153240
68,1538,-1278,-153360
69,1539,-1279,-153480
70,1539,-1279,-153480
71,1540,-1280,-153600
72,1548,-1288,-154560
73,1548,-1288,-154560
74,1545,-1285,-154200
75,1546,-1286,-154320
76,1546,-1286,-154320
77,1547,-1287,-154440
78,1547,-1287,-154440
79,1547,-1287,-154440
80,1548,-1288,-154560
81,1548,-1288,-154560
82,1549,-1289,-154680
83,1544,-1284,-154080
84,1544,-1284,-154080
85,1545,-1285,-154200
86,1544,-1284,-154080
87,1544,-1284,-154080
88,1544,-1284,-154080
89,1545,-1285,-154200
90,1544,-1284,-154080
91,1549,-1289,-154680
92,1549,-1289,-154680
93,1548,-1288,-154560
94,1548,-1288,-154560
95,1547,-1287,-154440
96,1547,-1287,-154440
97,1546,-1286,-154320
98,1546,-1286,-154320
99,1544,-1284,-154080
100,1543,-1283,-153960
101,1543,-1283,-153960
102,1534,-1274,-152880
103,1533,-1273,-152760
104,1532,-1272,-152640
105,1532,-1272,-152640
106,1530,-1270,-152400
107,1530,-1270,-152400
108,1530,-1270,-152400
109,1530,-1270,-152400
110,1530,-1270,-152400
111,1532,-1272,-152640
112,1532,-1272,-152640
113,1528,-1268,-152160
114,1528,-1268,-152160
115,1528,-1268,-152160
116,1532,-1272,-152640
117,1532,-1272,-152640
118,1532,-1272,-152640
119,1532,-1272,-152640
120,1532,-1272,-152640
121,1532,-1272,-152640
122,1532,-1272,-152640
123,1532,-1272,-152640
124,1532,-1272,-152640
125,1532,-1272,-152640
126,1532,-1272,-152640
127,1530,-1270,-152400
128,1530,-1270,-152400
129,1530,-1270,-152400
130,1532,-1272,-152640
131,1532,-1272,-152640
132,1532,-1272,-152640
133,1530,-1270,-152400
134,1529,-1269,-152280
135,1529,-1269,-152280
136,1530,-1270,-152400
137,1530,-1270,-152400
138,1530,-1270,-152400
139,1532,-1272,-152640
140,1532,-1272,-152640
141,1532,-1272,-152640
142,1532,-1272,-152640
143,1532,-1272,-152640
144,1532,-1272,-152640
145,1532,-1272,-152640
146,1532,-1272,-152640
147,1532,-1272,-152640
148,1532,-1272,-152640
149,1532,-1272,-152640
150,1532,-1272,-152640
151,1532,-1272,-152640
152,1532,-1272,-152640
153,1532,-1272,-152640
154,1532,-1272,-152640
155,1532,-1272,-152640
156,1532,-1272,-152640
157,1532,-1272,-152640
158,1531,-1271,-152520
159,1529,-1269,-152280
160,1526,-1266,-151920
161,1525,-1265,-151800
162,1525,-1265,-151800
163,1524,-1264,-151680
164,1527,-1267,-152040
165,1527,-1267,-152040
166,1527,-1267,-152040
167,1527,-1267,-152040
168,1527,-1267,-152040
169,1524,-1264,-151680
170,1525,-1265,-151800
171,1526,-1266,-151920
172,1529,-1269,-152280
173,1532,-1272,-152640
174,1532,-1272,-152640
175,1532,-1272,-152640
176,1532,-1272,-152640
177,1532,-1272,-152640
178,1532,-1272,-152640
179,1532,-1272,-152640
180,1532,-1272,-152640
181,1532,-1272,-152640
182,1532,-1272,-152640
183,1532,-1272,-152640
184,1532,-1272,-152640
185,1532,-1272,-152640
186,1521,-1261,-151320
187,1521,-1261,-151320
188,1521,-1261,-151320
189,1521,-1261,-151320
190,1528,-1268,-152160
191,1528,-1268,-152160
192,1528,-1268,-152160
193,1528,-1268,-152160
194,1528,-1268,-152160
195,1527,-1267,-152040
196,1526,-1266,-151920
197,1525,-1265,-151800
198,1524,-1264,-151680
199,1521,-1261,-151320
200,1523,-1263,-151560
201,1524,-1264,-151680
202,1526,-1266,-151920
203,1530,-1270,-152400
204,1532,-1272,-152640
205,1532,-1272,-152640
206,1532,-1272,-152640
207,1529,-1269,-152280
208,1526,-1266,-151920
209,1525,-1265,-151800
210,1525,-1265,-151800
211,1524,-1264,-151680
212,1527,-1267,-152040
213,1527,-1267,-152040
214,1527,-1267,-152040
215,1527,-1267,-152040
216,1525,-1265,-151800
217,1524,-1264,-151680
218,1524,-1264,-151680
219,1525,-1265,-151800
220,1529,-1269,-152280
221,1531,-1271,-152520
222,1531,-1271,-152520
223,1531,-1271,-152520
224,1531,-1271,-152520
225,1531,-1271,-152520
226,1531,-1271,-152520
227,1530,-1270,-152400
228,1530,-1270,-152400
229,1530,-1270,-152400
230,1531,-1271,-152520
231,1531,-1271,-152520
232,1532,-1272,-152640
233,1532,-1272,-152640
234,1532,-1272,-152640
235,1532,-1272,-152640
236,1529,-1269,-152280
237,1528,-1268,-152160
238,1528,-1268,-152160
239,1528,-1268,-152160
240,1531,-1271,-152520
241,1531,-1271,-152520
242,1537,-1277,-153240
243,1541,-1281,-153720
244,1543,-1283,-153960
245,1546,-1286,-154320
246,1549,-1289,-154680
247,1550,-1290,-154800
248,1551,-1291,-154920
249,1552,-1292,-155040
250,1553,-1293,-155160
251,1553,-1293,-155160
252,1554,-1294,-155280
253,1552,-1292,-155040
254,1553,-1293,-155160
255,1554,-1294,-155280
256,1554,-1294,-155280
257,1554,-1294,-155280
258,1555,-1295,-155400
259,1551,-1291,-154920
260,1549,-1289,-154680
261,1548,-1288,-154560
262,1538,-1278,-153360
263,1539,-1279,-153480
264,1536,-1276,-153120
265,1516,-1256,-150720
266,1545,-1285,-154200
267,1547,-1287,-154440
268,1547,-1287,-154440
269,1547,-1287,-154440
270,1546,-1286,-154320
271,1545,-1285,-154200
272,1543,-1283,-153960
273,1542,-1282,-153840
274,1540,-1280,-153600
275,1539,-1279,-153480
276,1537,-1277,-153240
277,1534,-1274,-152880
278,1533,-1273,-152760
279,1532,-1272,-152640
280,1530,-1270,-152400
281,1530,-1270,-152400
282,1530,-1270,-152400
283,1532,-1272,-152640
284,1532,-1272,-152640
285,1532,-1272,-152640
286,1532,-1272,-152640
287,1532,-1272,-152640
288,1530,-1270,-152400
289,1517,-1257,-150840
290,1517,-1257,-150840
291,1518,-1258,-150960
292,1526,-1266,-151920
293,1529,-1269,-152280
294,1529,-1269,-152280
295,1529,-1269,-152280
296,1529,-1269,-152280
297,1530,-1270,-152400
298,1528,-1268,-152160
299,1525,-1265,-151800
300,1525,-1265,-151800
301,1528,-1268,-152160
302,1530,-1270,-152400
303,1530,-1270,-152400
304,1529,-1269,-152280
305,1528,-1268,-152160
306,1528,-1268,-152160
307,1527,-1267,-152040
308,1520,-1260,-151200
309,1520,-1260,-151200
310,1520,-1260,-151200
311,1531,-1271,-152520
312,1531,-1271,-152520
313,1531,-1271,-152520
314,1531,-1271,-152520
315,1531,-1271,-152520
316,1531,-1271,-152520
317,1531,-1271,-152520
318,1528,-1268,-152160
319,1528,-1268,-152160
320,1526,-1266,-151920
321,1526,-1266,-151920
322,1526,-1266,-151920
323,1524,-1264,-151680
324,1525,-1265,-151800
325,1525,-1265,-151800
326,1525,-1265,-151800
327,1526,-1266,-151920
328,1529,-1269,-152280
329,1529,-1269,-152280
330,1528,-1268,-152160
331,1527,-1267,-152040
332,1523,-1263,-151560
333,1523,-1263,-151560
334,1525,-1265,-151800
335,1532,-1272,-152640
336,1532,-1272,-152640
337,1532,-1272,-152640
338,1530,-1270,-152400
339,1530,-1270,-152400
340,1529,-1269,-152280
341,1528,-1268,-152160
342,1528,-1268,-152160
343,1529,-1269,-152280
344,1530,-1270,-152400
345,1532,-1272,-152640
346,1532,-1272,-152640
347,1532,-1272,-152640
348,1532,-1272,-152640
349,1532,-1272,-152640
350,1532,-1272,-152640
351,1532,-1272,-152640
352,1527,-1267,-152040
353,1526,-1266,-151920
354,1526,-1266,-151920
355,1525,-1265,-151800
356,1528,-1268,-152160
357,1528,-1268,-152160
358,1528,-1268,-152160
359,1526,-1266,-151920
360,1526,-1266,-151920
361,1526,-1266,-151920
362,1528,-1268,-152160
363,1528,-1268,-152160
364,1528,-1268,-152160
365,1528,-1268,-152160
366,1526,-1266,-151920
367,1526,-1266,-151920
368,1527,-1267,-152040
369,1526,-1266,-151920
370,1527,-1267,-152040
371,1528,-1268,-152160
372,1529,-1269,-152280
373,1532,-1272,-152640
374,1532,-1272,-152640
375,1532,-1272,-152640
376,1532,-1272,-152640
377,1532,-1272,-152640
378,1532,-1272,-152640
379,1532,-1272,-152640
380,1529,-1269,-152280
381,1525,-1265,-151800
382,1524,-1264,-151680
383,1520,-1260,-151200
384,1522,-1262,-151440
385,1522,-1262,-151440
386,1524,-1264,-151680
387,1523,-1263,-151560
388,1525,-1265,-151800
389,1527,-1267,-152040
390,1528,-1268,-152160
391,1528,-1268,-152160
392,1524,-1264,-151680
393,1523,-1263,-151560
394,1522,-1262,-151440
395,1522,-1262,-151440
396,1526,-1266,-151920
397,1527,-1267,-152040
398,1529,-1269,-152280
399,1529,-1269,-152280
400,1527,-1267,-152040
401,1526,-1266,-151920
402,1522,-1262,-151440
403,1522,-1262,-151440
404,1523,-1263,-151560
405,1530,-1270,-152400
406,1532,-1272,-152640
407,1532,-1272,-152640
408,1532,-1272,-152640
409,1532,-1272,-152640
410,1532,-1272,-152640
411,1528,-1268,-152160
412,1527,-1267,-152040
413,1527,-1267,-152040
414,1548,-1288,-154560
415,1548,-1288,-154560
416,1550,-1290,-154800
417,1536,-1276,-153120
418,1538,-1278,-153360
419,1535,-1275,-153000
420,1536,-1276,-153120
421,1535,-1275,-153000
422,1535,-1275,-153000
423,1534,-1274,-152880
424,1532,-1272,-152640
425,1532,-1272,-152640
426,1534,-1274,-152880
427,1533,-1273,-152760
428,1533,-1273,-152760
429,1533,-1273,-152760
430,1537,-1277,-153240
431,1538,-1278,-153360
432,1537,-1277,-153240
433,1549,-1289,-154680
434,1549,-1289,-154680
435,1551,-1291,-154920
436,1540,-1280,-153600
437,1540,-1280,-153600
438,1536,-1276,-153120
439,1537,-1277,-153240
440,1538,-1278,-153360
441,1543,-1283,-153960
442,1548,-1288,-154560
443,1548,-1288,-154560
444,1545,-1285,-154200
445,1543,-1283,-153960
446,1540,-1280,-153600
447,1536,-1276,-153120
448,1521,-1261,-151320
449,1521,-1261,-151320
450,1522,-1262,-151440
451,1528,-1268,-152160
452,1544,-1284,-154080
453,1542,-1282,-153840
454,1538,-1278,-153360
455,1521,-1261,-151320
456,1525,-1265,-151800
457,1525,-1265,-151800
458,1525,-1265,-151800
459,1526,-1266,-151920
460,1527,-1267,-152040
461,1528,-1268,-152160
462,1528,-1268,-152160
463,1526,-1266,-151920
464,1527,-1267,-152040
465,1528,-1268,-152160
466,1532,-1272,-152640
467,1531,-1271,-152520
468,1529,-1269,-152280
469,1528,-1268,-152160
470,1528,-1268,-152160
471,1530,-1270,-152400
472,1530,-1270,-152400
473,1530,-1270,-152400
474,1526,-1266,-151920
475,1519,-1259,-151080
476,1518,-1258,-150960
477,1518,-1258,-150960
478,1518,-1258,-150960
479,1521,-1261,-151320
480,1522,-1262,-151440
481,1522,-1262,-151440
482,1521,-1261,-151320
483,1521,-1261,-151320
484,1521,-1261,-151320
485,1521,-1261,-151320
486,1521,-1261,-151320
487,1521,-1261,-151320
488,1521,-1261,-151320
489,1522,-1262,-151440
490,1522,-1262,-151440
491,1522,-1262,-151440
492,1521,-1261,-151320
493,1519,-1259,-151080
494,1519,-1259,-151080
495,1520,-1260,-151200
496,1520,-1260,-151200
497,1526,-1266,-151920
498,1530,-1270,-152400
499,1532,-1272,-152640
500,1532,-1272,-152640
501,1532,-1272,-152640
502,1532,-1272,-152640
503,1530,-1270,-152400
504,1530,-1270,-152400
505,1530,-1270,-152400
506,1518,-1258,-150960
507,1518,-1258,-150960
508,1518,-1258,-150960
509,1525,-1265,-151800
510,1529,-1269,-152280
511,1529,-1269,-152280
512,1529,-1269,-152280
513,1529,-1269,-152280
514,1528,-1268,-152160
515,1521,-1261,-151320
516,1521,-1261,-151320
517,1521,-1261,-151320
518,1527,-1267,-152040
519,1527,-1267,-152040
520,1527,-1267,-152040
521,1527,-1267,-152040
522,1527,-1267,-152040
523,1521,-1261,-151320
524,1521,-1261,-151320
525,1521,-1261,-151320
526,1528,-1268,-152160
527,1529,-1269,-152280
528,1529,-1269,-152280
529,1530,-1270,-152400
530,1532,-1272,-152640
531,1531,-1271,-152520
532,1531,-1271,-152520
533,1531,-1271,-152520
534,1531,-1271,-152520
535,1530,-1270,-152400
536,1530,-1270,-152400
537,1530,-1270,-152400
538,1530,-1270,-152400
539,1532,-1272,-152640
540,1532,-1272,-152640
541,1532,-1272,-152640
542,1532,-1272,-152640
543,1532,-1272,-152640
544,1532,-1272,-152640
545,1532,-1272,-152640
546,1530,-1270,-152400
547,1530,-1270,-152400
548,1530,-1270,-152400
549,1530,-1270,-152400
550,1532,-1272,-152640
551,1532,-1272,-152640
552,1532,-1272,-152640
553,1532,-1272,-152640
554,1532,-1272,-152640
555,1532,-1272,-152640
556,1530,-1270,-152400
557,1530,-1270,-152400
558,1530,-1270,-152400
559,1530,-1270,-152400
560,1532,-1272,-152640
561,1532,-1272,-152640
562,1532,-1272,-152640
563,1532,-1272,-152640
564,1532,-1272,-152640
565,1532,-1272,-152640
566,1532,-1272,-152640
567,1532,-1272,-152640
568,1532,-1272,-152640
569,1532,-1272,-152640
570,1532,-1272,-152640
571,1532,-1272,-152640
572,1532,-1272,-152640
573,1532,-1272,-152640
574,1532,-1272,-152640
575,1532,-1272,-152640
576,1532,-1272,-152640
577,1532,-1272,-152640
578,1532,-1272,-152640
579,1532,-1272,-152640
580,1530,-1270,-152400
581,1530,-1270,-152400
582,1530,-1270,-152400
583,1530,-1270,-152400
584,1532,-1272,-152640
585,1532,-1272,-152640
586,1539,-1279,-153480
587,1541,-1281,-153720
588,1542,-1282,-153840
589,1542,-1282,-153840
590,1542,-1282,-153840
591,1542,-1282,-153840
592,1545,-1285,-154200
593,1550,-1290,-154800
594,1550,-1290,-154800
595,1550,-1290,-154800
596,1543,-1283,-153960
597,1544,-1284,-154080
598,1545,-1285,-154200
599,1545,-1285,-154200
600,1545,-1285,-154200
601,1544,-1284,-154080
602,1545,-1285,-154200
603,1545,-1285,-154200
604,1545,-1285,-154200
605,1545,-1285,-154200
606,1542,-1282,-153840
607,1542,-1282,-153840
608,1542,-1282,-153840
609,1541,-1281,-153720
610,1545,-1285,-154200
611,1545,-1285,-154200
612,1546,-1286,-154320
613,1545,-1285,-154200
614,1549,-1289,-154680
615,1551,-1291,-154920
616,1553,-1293,-155160
617,1568,-1308,-156960
618,1568,-1308,-156960
619,1567,-1307,-156840
620,1552,-1292,-155040
621,1549,-1289,-154680
622,1549,-1289,-154680
623,1548,-1288,-154560
624,1547,-1287,-154440
625,1544,-1284,-154080
626,1541,-1281,-153720
627,1542,-1282,-153840
628,1542,-1282,-153840
629,1541,-1281,-153720
630,1535,-1275,-153000
631,1535,-1275,-153000
632,1535,-1275,-153000
633,1535,-1275,-153000
634,1535,-1275,-153000
635,1534,-1274,-152880
636,1535,-1275,-153000
637,1535,-1275,-153000
638,1535,-1275,-153000
639,1536,-1276,-153120
640,1536,-1276,-153120
641,1549,-1289,-154680
642,1549,-1289,-154680
643,1549,-1289,-154680
644,1547,-1287,-154440
645,1531,-1271,-152520
646,1531,-1271,-152520
647,1531,-1271,-152520
648,1531,-1271,-152520
649,1531,-1271,-152520
650,1531,-1271,-152520
651,1531,-1271,-152520
652,1531,-1271,-152520
653,1531,-1271,-152520
654,1531,-1271,-152520
655,1531,-1271,-152520
656,1532,-1272,-152640
657,1532,-1272,-152640
658,1532,-1272,-152640
659,1532,-1272,-152640
660,1532,-1272,-152640
661,1532,-1272,-152640
662,1532,-1272,-152640
663,1532,-1272,-152640
664,1531,-1271,-152520
665,1531,-1271,-152520
666,1531,-1271,-152520
667,1531,-1271,-152520
668,1531,-1271,-152520
