x,y,relative_y,value
103,648,-388,-46560
104,648,-388,-46560
105,648,-388,-46560
106,648,-388,-46560
107,648,-388,-46560
108,648,-388,-46560
109,648,-388,-46560
110,648,-388,-46560
111,648,-388,-46560
112,648,-388,-46560
113,648,-388,-46560
114,648,-388,-46560
115,648,-388,-46560
116,648,-388,-46560
117,648,-388,-46560
118,648,-388,-46560
119,648,-388,-46560
120,648,-388,-46560
121,648,-388,-46560
122,648,-388,-46560
123,648,-388,-46560
124,648,-388,-46560
125,648,-388,-46560
126,648,-388,-46560
127,648,-388,-46560
128,648,-388,-46560
129,648,-388,-46560
130,648,-388,-46560
131,648,-388,-46560
132,648,-388,-46560
133,648,-388,-46560
134,648,-388,-46560
135,648,-388,-46560
136,648,-388,-46560
137,648,-388,-46560
138,648,-388,-46560
139,648,-388,-46560
140,648,-388,-46560
141,648,-388,-46560
142,648,-388,-46560
143,648,-388,-46560
144,648,-388,-46560
145,648,-388,-46560
146,648,-388,-46560
147,648,-388,-46560
148,648,-388,-46560
149,648,-388,-46560
150,650,-390,-46800
151,653,-393,-47160
152,654,-394,-47280
153,654,-394,-47280
154,655,-395,-47400
155,650,-390,-46800
156,650,-390,-46800
157,650,-390,-46800
158,650,-390,-46800
159,650,-390,-46800
160,650,-390,-46800
161,650,-390,-46800
162,650,-390,-46800
163,650,-390,-46800
164,650,-390,-46800
165,650,-390,-46800
166,650,-390,-46800
167,650,-390,-46800
168,650,-390,-46800
169,650,-390,-46800
170,650,-390,-46800
171,650,-390,-46800
172,650,-390,-46800
173,650,-390,-46800
174,650,-390,-46800
175,650,-390,-46800
176,650,-390,-46800
177,650,-390,-46800
178,650,-390,-46800
179,650,-390,-46800
180,650,-390,-46800
181,650,-390,-46800
182,650,-390,-46800
183,650,-390,-46800
184,650,-390,-46800
185,650,-390,-46800
186,650,-390,-46800
187,650,-390,-46800
188,650,-390,-46800
189,650,-390,-46800
190,650,-390,-46800
191,650,-390,-46800
192,650,-390,-46800
193,650,-390,-46800
194,650,-390,-46800
195,650,-390,-46800
196,650,-390,-46800
197,650,-390,-46800
198,650,-390,-46800
199,650,-390,-46800
200,650,-390,-46800
201,650,-390,-46800
202,650,-390,-46800
203,650,-390,-46800
204,650,-390,-46800
205,650,-390,-46800
206,650,-390,-46800
