rotation,value,x,y
0.00,-488.80,36.00,278.50
85.62,-550.50,37.00,279.00
171.23,-672.32,38.00,280.00
256.85,-850.35,39.00,281.46
342.47,-861.37,40.00,281.55
428.08,-1039.87,41.00,283.01
513.70,-1218.42,42.00,284.47
599.32,-1346.32,43.00,285.52
684.93,-1525.74,44.00,286.99
770.55,-1660.11,45.00,288.09
856.16,-1883.69,46.00,289.91
941.78,-2008.66,47.00,290.94
1027.40,-2137.05,48.00,291.99
1113.01,-2263.78,49.00,293.03
1198.63,-2387.19,50.00,294.04
1284.25,-2464.31,51.00,294.67
1369.86,-2659.12,52.00,296.26
1455.48,-2742.60,53.00,296.94
1541.10,-2830.31,54.00,297.66
1626.71,-2948.89,55.00,298.63
1712.33,-3097.17,56.00,299.85
1797.95,-3168.75,57.00,300.43
1883.56,-3282.68,58.00,301.36
1969.18,-3374.10,59.00,302.11
2054.79,-3491.19,60.00,303.07
2140.41,-3588.62,61.00,303.87
2226.03,-3761.51,62.00,305.28
2311.64,-3888.00,63.00,306.32
2397.26,-4023.59,64.00,307.43
2482.88,-4162.31,65.00,308.56
2568.49,-4297.25,66.00,309.67
2654.11,-4416.51,67.00,310.64
2739.73,-4552.57,68.00,311.76
2825.34,-4678.17,69.00,312.78
2910.96,-4788.13,70.00,313.68
2996.58,-4904.86,71.00,314.64
3082.19,-5014.13,72.00,315.53
3167.81,-5107.12,73.00,316.29
3253.42,-5192.79,74.00,316.99
3339.04,-5292.75,75.00,317.81
3424.66,-5385.47,76.00,318.57
3510.27,-5475.20,77.00,319.31
3595.89,-5577.74,78.00,320.14
3681.51,-5701.08,79.00,321.15
3767.12,-5823.57,80.00,322.16
3852.74,-5953.17,81.00,323.22
3938.36,-6079.79,82.00,324.25
4023.97,-6202.13,83.00,325.25
4109.59,-6313.79,84.00,326.17
4195.21,-6429.15,85.00,327.11
4280.82,-6532.98,86.00,327.96
4366.44,-6626.69,87.00,328.73
4452.05,-6736.22,88.00,329.62
4537.67,-6862.97,89.00,330.66
4623.29,-7045.42,90.00,332.16
4708.90,-7161.92,91.00,333.11
4794.52,-7218.18,92.00,333.57
4880.14,-7186.85,93.00,333.31
4965.75,-7167.62,94.00,333.16
5051.37,-7142.84,95.00,332.95
5136.99,-7216.19,96.00,333.55
5222.60,-7152.52,97.00,333.03
5308.22,-6955.55,98.00,331.42
5393.84,-6630.82,99.00,328.76
5479.45,-6184.32,100.00,325.11
5565.07,-5617.05,101.00,320.47
5650.68,-4814.64,102.00,313.90
5736.30,-3903.69,103.00,306.45
5821.92,-3005.43,104.00,299.09
5907.53,-2032.81,105.00,291.14
5993.15,-1198.07,106.00,284.30
6078.77,-250.95,107.00,276.55
6164.38,722.80,108.00,268.59
6250.00,1512.97,109.00,262.12
6335.62,2067.57,110.00,257.58
6421.23,2267.96,111.00,255.94
6506.85,2445.42,112.00,254.49
6592.47,2478.46,113.00,254.22
6678.08,2475.33,114.00,254.24
6763.70,2496.97,115.00,254.07
6849.32,2455.10,116.00,254.41
6934.93,2463.36,117.00,254.34
7020.55,2525.89,118.00,253.83
7106.16,2476.04,119.00,254.24
7191.78,2366.80,120.00,255.13
7277.40,2180.94,121.00,256.65
7363.01,2054.46,122.00,257.69
7448.63,1928.56,123.00,258.72
7534.25,1814.76,124.00,259.65
7619.86,1698.69,125.00,260.60
7705.48,1577.49,126.00,261.59
7791.10,1459.84,127.00,262.55
7876.71,1362.28,128.00,263.35
7962.33,1271.70,129.00,264.09
8047.95,1194.08,130.00,264.73
8133.56,1095.52,131.00,265.53
8219.18,978.17,132.00,266.50
8304.79,887.73,133.00,267.24
8390.41,795.44,134.00,267.99
8476.03,678.08,135.00,268.95
8561.64,547.19,136.00,270.02
8647.26,419.44,137.00,271.07
8732.88,288.41,138.00,272.14
8818.49,145.41,139.00,273.31
8904.11,-14.10,140.00,274.62
8989.73,-190.99,141.00,276.06
9075.34,-347.66,142.00,277.34
9160.96,-466.87,143.00,278.32
9246.58,-612.42,144.00,279.51
9332.19,-749.43,145.00,280.63
9417.81,-876.48,146.00,281.67
9503.42,-994.55,147.00,282.64
9589.04,-1092.11,148.00,283.44
9674.66,-1192.80,149.00,284.26
9760.27,-1292.07,150.00,285.07
9845.89,-1377.52,151.00,285.77
9931.51,-1462.26,152.00,286.47
10017.12,-1549.14,153.00,287.18
10102.74,-1661.80,154.00,288.10
10188.36,-1768.33,155.00,288.97
10273.97,-1899.79,156.00,290.05
10359.59,-2051.04,157.00,291.28
10445.21,-2199.88,158.00,292.50
10530.82,-2352.27,159.00,293.75
10616.44,-2509.08,160.00,295.03
10702.05,-2654.49,161.00,296.22
10787.67,-2803.75,162.00,297.44
10873.29,-2930.94,163.00,298.48
10958.90,-3041.17,164.00,299.39
11044.52,-3135.89,165.00,300.16
11130.14,-3217.92,166.00,300.83
11215.75,-3299.39,167.00,301.50
11301.37,-3380.86,168.00,302.17
11386.99,-3468.02,169.00,302.88
11472.60,-3566.58,170.00,303.69
11558.22,-3669.26,171.00,304.53
11643.84,-3785.48,172.00,305.48
11729.45,-3901.41,173.00,306.43
11815.07,-4028.74,174.00,307.47
11900.68,-4166.18,175.00,308.59
11986.30,-4290.66,176.00,309.61
12071.92,-4403.60,177.00,310.54
12157.53,-4517.97,178.00,311.47
12243.15,-4638.88,179.00,312.46
12328.77,-4759.94,180.00,313.45
12414.38,-4865.91,181.00,314.32
12500.00,-4976.29,182.00,315.22
12585.62,-5147.62,183.00,316.62
12671.23,-5256.01,184.00,317.51
12756.85,-5293.32,185.00,317.82
12842.47,-5237.49,186.00,317.36
12928.08,-5205.16,187.00,317.10
13013.70,-5171.69,188.00,316.82
13099.32,-5072.85,189.00,316.01
