rotation,value,x,y
0,-549.8981670061112,36,279
85,-794.2973523421606,37,281
171,-916.4969450101817,38,282
256,-1038.6965376782064,39,283
342,-1038.6965376782064,40,283
428,-1160.896130346231,41,284
513,-1283.0957230142558,42,285
599,-1283.0957230142558,43,285
684,-1283.0957230142558,44,285
770,-1160.896130346231,45,284
856,-1038.6965376782064,46,283
941,-916.4969450101817,47,282
1027,-794.2973523421606,48,281
1113,794.2973523421606,49,268
1198,2016.293279022404,50,258
1284,2138.4928716904287,51,257
1369,2505.091649694499,52,254
1455,3971.4867617107957,53,242
1541,4215.8859470468415,54,240
1626,4460.285132382891,55,238
1712,4704.68431771894,56,236
1797,4949.08350305499,57,234
1883,5071.283095723014,58,233
1969,5193.482688391039,59,232
2054,5193.482688391039,60,232
2140,5071.283095723014,61,233
2226,4949.08350305499,62,234
2311,4949.08350305499,63,234
2397,4826.883910386965,64,235
2482,4704.68431771894,65,236
2568,4582.484725050916,66,237
2654,4460.285132382891,67,238
2739,4338.085539714866,68,239
2825,4215.8859470468415,69,240
2910,4215.8859470468415,70,240
2996,4093.6863543788204,71,241
3082,3971.4867617107957,72,242
3167,3971.4867617107957,73,242
3253,3849.287169042771,74,243
3339,3727.0875763747463,75,244
3424,3604.8879837067216,76,245
3510,3482.688391038697,77,246
3595,3360.488798370672,78,247
3681,3238.2892057026475,79,248
3767,3116.0896130346227,80,249
3852,2993.890020366598,81,250
3938,2871.6904276985733,82,251
4023,2749.4908350305486,83,252
4109,2627.291242362524,84,253
4195,2505.091649694499,85,254
4280,2382.892057026478,86,255
4366,2382.892057026478,87,255
4452,2260.6924643584534,88,256
4537,2260.6924643584534,89,256
4623,2138.4928716904287,90,257
4708,2138.4928716904287,91,257
4794,2016.293279022404,92,258
4880,1894.0936863543793,93,259
4965,1771.8940936863546,94,260
5051,1649.69450101833,95,261
5136,1527.4949083503052,96,262
5222,1405.2953156822805,97,263
5308,1283.0957230142558,98,264
5393,1160.896130346231,99,265
5479,1038.6965376782064,100,266
5565,916.4969450101817,101,267
5650,794.2973523421606,102,268
5736,672.0977596741359,103,269
5821,672.0977596741359,104,269
5907,549.8981670061112,105,270
5993,549.8981670061112,106,270
6078,549.8981670061112,107,270
6164,427.6985743380865,108,271
6250,427.6985743380865,109,271
6335,305.49898167006177,110,272
6421,-305.49898167006177,111,277
6506,-427.6985743380865,112,278
6592,-427.6985743380865,113,278
6678,-549.8981670061112,114,279
6763,-549.8981670061112,115,279
6849,-549.8981670061112,116,279
6934,-672.0977596741359,117,280
7020,-794.2973523421606,118,281
7106,-794.2973523421606,119,281
7191,-916.4969450101817,120,282
7277,-1038.6965376782064,121,283
7363,-1038.6965376782064,122,283
7448,-1160.896130346231,123,284
7534,-1283.0957230142558,124,285
7619,-1405.2953156822805,125,286
7705,-1527.4949083503052,126,287
7791,-1405.2953156822805,127,286
7876,-1405.2953156822805,128,286
7962,-1283.0957230142558,129,285
8047,-1038.6965376782064,130,283
8133,-672.0977596741359,131,280
8219,-672.0977596741359,132,280
8304,-549.8981670061112,133,279
8390,-549.8981670061112,134,279
8476,794.2973523421606,135,268
8561,1038.6965376782064,136,266
8647,1283.0957230142558,137,264
8732,1649.69450101833,138,261
8818,2138.4928716904287,139,257
8904,2749.4908350305486,140,252
8989,3360.488798370672,141,247
9075,3849.287169042771,142,243
9160,4338.085539714866,143,239
9246,4949.08350305499,144,234
9332,5437.8818737270885,145,230
9417,6048.879837067208,146,225
9503,6415.478615071283,147,222
9589,6904.276985743381,148,218
9674,7393.07535641548,149,214
9760,7759.674134419551,150,211
9845,8126.272912423625,151,208
9931,8370.672097759674,152,206
10017,8615.071283095724,153,204
10102,8981.670061099798,154,201
10188,8981.670061099798,155,201
10273,8981.670061099798,156,201
10359,8859.470468431773,157,202
10445,8737.270875763748,158,203
10530,8615.071283095724,159,204
10616,8492.871690427699,160,205
10702,8370.672097759674,161,206
10787,8248.47250509165,162,207
10873,8126.272912423625,163,208
10958,8126.272912423625,164,208
11044,8004.0733197556,165,209
11130,8004.0733197556,166,209
11215,7881.873727087575,167,210
11301,7759.674134419551,168,211
11386,7637.474541751526,169,212
11472,7515.274949083501,170,213
11558,7393.07535641548,171,214
11643,7270.8757637474555,172,215
11729,7270.8757637474555,173,215
11815,7881.873727087575,174,210
11900,8126.272912423625,175,208
11986,8615.071283095724,176,204
12071,9103.869653767822,177,200
12157,9592.668024439918,178,196
12243,10325.865580448066,179,190
12328,11059.06313645621,180,184
12414,11547.86150712831,181,180
12500,12158.859470468433,182,175
12585,12525.458248472503,183,172
12671,13136.456211812627,184,167
12756,13869.653767820773,185,161
12842,14358.452138492872,186,157
12928,15336.048879837068,187,149
13013,15947.04684317719,188,144
13099,16802.44399185336,189,137
13184,17780.04073319756,190,129
13270,18391.03869653768,191,124
13356,19490.835030549897,192,115
13441,20468.431771894095,193,107
13527,20957.230142566194,194,103
13613,21690.427698574338,195,97
13698,22301.425661914458,196,92
13784,22912.42362525458,197,87
13869,23767.820773930755,198,80
13955,24134.41955193483,199,77
14041,24623.217922606924,200,73
14126,24989.816700610998,201,70
14212,25356.415478615072,202,67
14297,25723.014256619143,203,64
14383,26089.613034623217,204,61
14469,26822.810590631365,205,55
14554,27311.608961303464,206,51
14640,27800.40733197556,207,47
14726,28167.006109979633,208,44
14811,28778.004073319757,209,39
14897,29266.80244399185,210,35
14982,29755.60081466395,211,31
15068,29877.800407331975,212,30
15154,30000.0,213,29
15667,30000.0,219,29
15753,30000.0,220,29
15839,30000.0,221,29
15924,29877.800407331975,222,30
16010,29877.800407331975,223,30
16095,29877.800407331975,224,30
16181,29877.800407331975,225,30
16267,29755.60081466395,226,31
16352,29755.60081466395,227,31
16438,29633.401221995926,228,32
16523,29511.2016293279,229,33
16609,29389.002036659876,230,34
16695,29266.80244399185,231,35
16780,29144.602851323827,232,36
16866,29022.403258655806,233,37
16952,28900.20366598778,234,38
17037,28900.20366598778,235,38
17123,28778.004073319757,236,39
17208,28778.004073319757,237,39
17294,28655.804480651732,238,40
17380,28778.004073319757,239,39
17465,28900.20366598778,240,38
17551,29022.403258655806,241,37
17636,29266.80244399185,242,35
17722,29511.2016293279,243,33
17808,29633.401221995926,244,32
17893,29633.401221995926,245,32
17979,29633.401221995926,246,32
18065,29633.401221995926,247,32
18150,29511.2016293279,248,33
18236,29389.002036659876,249,34
18321,29266.80244399185,250,35
18407,29144.602851323827,251,36
18493,29022.403258655806,252,37
18578,29022.403258655806,253,37
18664,28900.20366598778,254,38
18750,28778.004073319757,255,39
18835,28778.004073319757,256,39
18921,28778.004073319757,257,39
19006,28900.20366598778,258,38
19092,29022.403258655806,259,37
19178,29266.80244399185,260,35
19263,29389.002036659876,261,34
19349,29633.401221995926,262,32
19434,29755.60081466395,263,31
19520,29633.401221995926,264,32
19606,29633.401221995926,265,32
19691,29511.2016293279,266,33
19777,29389.002036659876,267,34
19863,29144.602851323827,268,36
19948,29022.403258655806,269,37
20034,28900.20366598778,270,38
20119,28778.004073319757,271,39
20205,28655.804480651732,272,40
20291,28533.604887983707,273,41
20376,28411.405295315682,274,42
20462,28289.205702647658,275,43
20547,28289.205702647658,276,43
20633,28289.205702647658,277,43
20719,28411.405295315682,278,42
20804,28655.804480651732,279,40
20890,28778.004073319757,280,39
20976,29022.403258655806,281,37
21061,29144.602851323827,282,36
21147,29266.80244399185,283,35
21232,29266.80244399185,284,35
21318,29266.80244399185,285,35
21404,29144.602851323827,286,36
21489,29022.403258655806,287,37
21575,29022.403258655806,288,37
21660,28900.20366598778,289,38
21746,28778.004073319757,290,39
21832,28778.004073319757,291,39
