x,y,relative_y,value
0,255,5,601.1999999999999
1,255,5,601.1999999999999
2,254,6,721.4399999999999
3,254,6,721.4399999999999
4,255,5,601.1999999999999
5,255,5,601.1999999999999
6,255,5,601.1999999999999
7,254,6,721.4399999999999
8,253,7,841.68
9,252,8,961.92
10,251,9,1082.1599999999999
11,250,10,1202.3999999999999
12,249,11,1322.6399999999999
13,249,11,1322.6399999999999
14,249,11,1322.6399999999999
15,250,10,1202.3999999999999
16,251,9,1082.1599999999999
17,252,8,961.92
18,253,7,841.68
19,253,7,841.68
20,254,6,721.4399999999999
21,254,6,721.4399999999999
22,255,5,601.1999999999999
23,255,5,601.1999999999999
24,255,5,601.1999999999999
25,256,4,480.96
26,257,3,360.71999999999997
27,258,2,240.48
28,259,1,120.24
29,259,1,120.24
30,261,-1,-120.24
31,262,-2,-240.48
32,263,-3,-360.71999999999997
33,264,-4,-480.96
34,265,-5,-601.1999999999999
35,266,-6,-721.4399999999999
36,266,-6,-721.4399999999999
37,267,-7,-841.68
38,268,-8,-961.92
39,270,-10,-1202.3999999999999
40,270,-10,-1202.3999999999999
41,270,-10,-1202.3999999999999
42,271,-11,-1322.6399999999999
43,272,-12,-1442.8799999999999
44,272,-12,-1442.8799999999999
45,273,-13,-1563.12
46,274,-14,-1683.36
47,275,-15,-1803.6
48,276,-16,-1923.84
49,277,-17,-2044.08
50,278,-18,-2164.3199999999997
51,278,-18,-2164.3199999999997
52,279,-19,-2284.56
53,280,-20,-2404.7999999999997
54,281,-21,-2525.04
55,282,-22,-2645.2799999999997
56,282,-22,-2645.2799999999997
57,283,-23,-2765.52
58,284,-24,-2885.7599999999998
59,284,-24,-2885.7599999999998
60,285,-25,-3006.0
61,287,-27,-3246.48
62,287,-27,-3246.48
63,289,-29,-3486.96
64,289,-29,-3486.96
65,291,-31,-3727.44
66,292,-32,-3847.68
67,293,-33,-3967.9199999999996
68,293,-33,-3967.9199999999996
69,294,-34,-4088.16
70,295,-35,-4208.4
71,296,-36,-4328.639999999999
72,297,-37,-4448.88
73,297,-37,-4448.88
74,298,-38,-4569.12
75,299,-39,-4689.36
76,300,-40,-4809.599999999999
77,301,-41,-4929.84
78,301,-41,-4929.84
79,302,-42,-5050.08
80,302,-42,-5050.08
81,303,-43,-5170.32
82,304,-44,-5290.5599999999995
83,305,-45,-5410.8
84,305,-45,-5410.8
85,306,-46,-5531.04
86,308,-48,-5771.5199999999995
87,308,-48,-5771.5199999999995
88,309,-49,-5891.759999999999
89,310,-50,-6012.0
90,311,-51,-6132.24
91,312,-52,-6252.48
92,313,-53,-6372.719999999999
93,313,-53,-6372.719999999999
94,314,-54,-6492.96
95,315,-55,-6613.2
96,316,-56,-6733.44
97,317,-57,-6853.679999999999
98,318,-58,-6973.92
99,320,-60,-7214.4
100,320,-60,-7214.4
101,320,-60,-7214.4
102,322,-62,-7454.88
103,324,-64,-7695.36
104,324,-64,-7695.36
105,325,-65,-7815.599999999999
106,325,-65,-7815.599999999999
107,326,-66,-7935.839999999999
108,327,-67,-8056.08
109,327,-67,-8056.08
110,328,-68,-8176.32
111,329,-69,-8296.56
