rotation,value,x,y
0,-672.0977596741359,36,280
85,-672.0977596741359,37,280
171,-794.2973523421606,38,281
256,-794.2973523421606,39,281
342,-916.4969450101817,40,282
428,-916.4969450101817,41,282
513,-1038.6965376782064,42,283
599,-1038.6965376782064,43,283
684,-1038.6965376782064,44,283
770,-1038.6965376782064,45,283
856,-916.4969450101817,46,282
941,-672.0977596741359,47,280
1027,-305.49898167006177,48,277
1113,183.29938900203706,49,273
1198,672.0977596741359,50,269
1284,1283.0957230142558,51,264
1369,1771.8940936863546,52,260
1455,2260.6924643584534,53,256
1541,2749.4908350305486,54,252
1626,3360.488798370672,55,247
1712,3971.4867617107957,56,242
1797,4460.285132382891,57,238
1883,4949.08350305499,58,234
1969,5193.482688391039,59,232
2054,5315.682281059064,60,231
2140,5315.682281059064,61,231
2226,5315.682281059064,62,231
2311,5315.682281059064,63,231
2397,5193.482688391039,64,232
2482,5193.482688391039,65,232
2568,5071.283095723014,66,233
2654,4949.08350305499,67,234
2739,4949.08350305499,68,234
2825,4826.883910386965,69,235
2910,4826.883910386965,70,235
2996,4704.68431771894,71,236
3082,4704.68431771894,72,236
3167,4582.484725050916,73,237
3253,4582.484725050916,74,237
3339,4582.484725050916,75,237
3424,4460.285132382891,76,238
3510,4338.085539714866,77,239
3595,4215.8859470468415,78,240
3681,4093.6863543788204,79,241
3767,3971.4867617107957,80,242
3852,3971.4867617107957,81,242
3938,3849.287169042771,82,243
4023,3727.0875763747463,83,244
4109,3727.0875763747463,84,244
4195,3604.8879837067216,85,245
4280,3482.688391038697,86,246
4366,3482.688391038697,87,246
4452,3360.488798370672,88,247
4537,3360.488798370672,89,247
4623,3238.2892057026475,90,248
4708,3238.2892057026475,91,248
4794,3116.0896130346227,92,249
4880,3116.0896130346227,93,249
4965,2993.890020366598,94,250
5051,2871.6904276985733,95,251
5136,2871.6904276985733,96,251
5222,2749.4908350305486,97,252
5308,2627.291242362524,98,253
5393,2627.291242362524,99,253
5479,2505.091649694499,100,254
5565,2505.091649694499,101,254
5650,2382.892057026478,102,255
5736,2382.892057026478,103,255
5821,2260.6924643584534,104,256
5907,2138.4928716904287,105,257
5993,2138.4928716904287,106,257
6078,2016.293279022404,107,258
6164,2016.293279022404,108,258
6250,1894.0936863543793,109,259
6335,1771.8940936863546,110,260
6421,1771.8940936863546,111,260
6506,1649.69450101833,112,261
6592,1527.4949083503052,113,262
6678,1527.4949083503052,114,262
6763,1405.2953156822805,115,263
6849,1405.2953156822805,116,263
6934,1283.0957230142558,117,264
7020,1283.0957230142558,118,264
7106,1160.896130346231,119,265
7191,1160.896130346231,120,265
7277,1038.6965376782064,121,266
7363,916.4969450101817,122,267
7448,916.4969450101817,123,267
7534,794.2973523421606,124,268
7619,794.2973523421606,125,268
7705,672.0977596741359,126,269
7791,549.8981670061112,127,270
7876,549.8981670061112,128,270
7962,549.8981670061112,129,270
8047,427.6985743380865,130,271
8133,427.6985743380865,131,271
8219,427.6985743380865,132,271
8304,305.49898167006177,133,272
8390,183.29938900203706,134,273
8476,61.09979633401235,135,274
8561,-61.09979633401235,136,275
8647,-183.29938900203706,137,276
8732,-305.49898167006177,138,277
8818,-305.49898167006177,139,277
8904,-427.6985743380865,140,278
8989,-427.6985743380865,141,278
9075,-549.8981670061112,142,279
9160,-549.8981670061112,143,279
9246,-672.0977596741359,144,280
9332,-672.0977596741359,145,280
9417,-794.2973523421606,146,281
9503,-916.4969450101817,147,282
9589,-916.4969450101817,148,282
9674,-1038.6965376782064,149,283
9760,-1038.6965376782064,150,283
9845,-1160.896130346231,151,284
9931,-1283.0957230142558,152,285
10017,-1283.0957230142558,153,285
10102,-1405.2953156822805,154,286
10188,-1405.2953156822805,155,286
10273,-1405.2953156822805,156,286
10359,-1527.4949083503052,157,287
10445,-1649.69450101833,158,288
10530,-1649.69450101833,159,288
10616,-1771.8940936863546,160,289
10702,-1894.0936863543793,161,290
10787,-2016.293279022404,162,291
10873,-2016.293279022404,163,291
