x,y,relative_y,value
0,183,77,9240
1,183,77,9240
2,183,77,9240
3,183,77,9240
4,183,77,9240
5,183,77,9240
6,183,77,9240
7,183,77,9240
8,183,77,9240
9,183,77,9240
10,183,77,9240
11,183,77,9240
12,183,77,9240
13,183,77,9240
14,183,77,9240
15,183,77,9240
16,183,77,9240
17,183,77,9240
18,183,77,9240
19,183,77,9240
20,183,77,9240
21,183,77,9240
22,183,77,9240
23,183,77,9240
24,183,77,9240
25,183,77,9240
26,183,77,9240
27,183,77,9240
28,183,77,9240
29,183,77,9240
30,183,77,9240
31,183,77,9240
32,183,77,9240
33,183,77,9240
34,183,77,9240
35,183,77,9240
36,183,77,9240
37,183,77,9240
38,183,77,9240
39,183,77,9240
40,183,77,9240
41,183,77,9240
42,183,77,9240
43,183,77,9240
44,183,77,9240
45,183,77,9240
46,183,77,9240
47,183,77,9240
48,183,77,9240
49,183,77,9240
50,183,77,9240
51,183,77,9240
52,183,77,9240
53,183,77,9240
54,183,77,9240
55,183,77,9240
56,183,77,9240
57,183,77,9240
58,183,77,9240
59,183,77,9240
60,183,77,9240
61,183,77,9240
62,183,77,9240
63,183,77,9240
64,183,77,9240
65,183,77,9240
66,183,77,9240
67,183,77,9240
68,183,77,9240
69,183,77,9240
70,183,77,9240
71,183,77,9240
72,183,77,9240
73,183,77,9240
74,183,77,9240
75,183,77,9240
76,183,77,9240
77,183,77,9240
78,183,77,9240
79,183,77,9240
80,183,77,9240
81,183,77,9240
82,183,77,9240
83,183,77,9240
84,183,77,9240
85,183,77,9240
86,183,77,9240
87,183,77,9240
88,183,77,9240
89,183,77,9240
90,183,77,9240
91,183,77,9240
92,183,77,9240
93,183,77,9240
94,183,77,9240
95,183,77,9240
96,183,77,9240
97,183,77,9240
98,183,77,9240
99,183,77,9240
100,183,77,9240
101,183,77,9240
102,183,77,9240
103,183,77,9240
104,183,77,9240
105,183,77,9240
106,183,77,9240
107,183,77,9240
108,183,77,9240
109,183,77,9240
110,183,77,9240
111,183,77,9240
112,183,77,9240
113,183,77,9240
114,183,77,9240
115,183,77,9240
116,183,77,9240
117,183,77,9240
118,183,77,9240
119,183,77,9240
120,183,77,9240
121,183,77,9240
122,183,77,9240
123,183,77,9240
124,183,77,9240
125,183,77,9240
126,183,77,9240
127,183,77,9240
128,183,77,9240
129,183,77,9240
130,183,77,9240
131,183,77,9240
132,183,77,9240
133,183,77,9240
134,183,77,9240
135,183,77,9240
136,183,77,9240
137,183,77,9240
138,183,77,9240
139,183,77,9240
140,183,77,9240
141,183,77,9240
142,183,77,9240
143,183,77,9240
144,183,77,9240
145,183,77,9240
146,183,77,9240
147,183,77,9240
148,183,77,9240
149,183,77,9240
150,183,77,9240
151,193,67,8040
152,194,66,7920
153,194,66,7920
154,194,66,7920
155,194,66,7920
156,187,73,8760
157,187,73,8760
158,187,73,8760
159,187,73,8760
160,187,73,8760
161,187,73,8760
162,188,72,8640
163,189,71,8520
164,189,71,8520
165,188,72,8640
166,188,72,8640
167,186,74,8880
168,183,77,9240
169,183,77,9240
170,183,77,9240
171,183,77,9240
172,189,71,8520
173,192,68,8160
174,194,66,7920
175,194,66,7920
176,194,66,7920
177,196,64,7680
178,196,64,7680
179,196,64,7680
180,194,66,7920
181,193,67,8040
182,193,67,8040
183,191,69,8280
184,194,66,7920
185,194,66,7920
186,194,66,7920
187,195,65,7800
188,193,67,8040
189,190,70,8400
190,187,73,8760
