x,y,relative_y,value
0,255,5,601.1999999999999
1,255,5,601.1999999999999
2,255,5,601.1999999999999
3,255,5,601.1999999999999
4,255,5,601.1999999999999
5,256,4,480.96
6,257,3,360.71999999999997
7,258,2,240.48
8,259,1,120.24
9,259,1,120.24
10,261,-1,-120.24
11,261,-1,-120.24
12,262,-2,-240.48
13,263,-3,-360.71999999999997
14,263,-3,-360.71999999999997
15,263,-3,-360.71999999999997
16,264,-4,-480.96
17,264,-4,-480.96
18,265,-5,-601.1999999999999
19,265,-5,-601.1999999999999
20,266,-6,-721.4399999999999
21,267,-7,-841.68
22,268,-8,-961.92
23,269,-9,-1082.1599999999999
24,270,-10,-1202.3999999999999
25,271,-11,-1322.6399999999999
26,272,-12,-1442.8799999999999
27,273,-13,-1563.12
28,274,-14,-1683.36
29,275,-15,-1803.6
30,276,-16,-1923.84
31,277,-17,-2044.08
32,277,-17,-2044.08
33,278,-18,-2164.3199999999997
34,279,-19,-2284.56
35,280,-20,-2404.7999999999997
36,280,-20,-2404.7999999999997
37,280,-20,-2404.7999999999997
38,281,-21,-2525.04
39,279,-19,-2284.56
40,276,-16,-1923.84
41,275,-15,-1803.6
42,272,-12,-1442.8799999999999
43,266,-6,-721.4399999999999
44,265,-5,-601.1999999999999
45,259,1,120.24
46,256,4,480.96
47,253,7,841.68
48,250,10,1202.3999999999999
49,248,12,1442.8799999999999
50,245,15,1803.6
51,242,18,2164.3199999999997
52,242,18,2164.3199999999997
53,242,18,2164.3199999999997
54,240,20,2404.7999999999997
55,239,21,2525.04
56,238,22,2645.2799999999997
57,238,22,2645.2799999999997
58,237,23,2765.52
59,235,25,3006.0
60,233,27,3246.48
61,230,30,3607.2
62,229,31,3727.44
63,227,33,3967.9199999999996
64,224,36,4328.639999999999
65,221,39,4689.36
66,218,42,5050.08
67,217,43,5170.32
68,216,44,5290.5599999999995
69,214,46,5531.04
70,213,47,5651.28
71,213,47,5651.28
72,214,46,5531.04
73,214,46,5531.04
74,216,44,5290.5599999999995
75,216,44,5290.5599999999995
76,217,43,5170.32
77,217,43,5170.32
78,218,42,5050.08
79,220,40,4809.599999999999
80,221,39,4689.36
81,221,39,4689.36
82,221,39,4689.36
83,222,38,4569.12
84,222,38,4569.12
85,223,37,4448.88
86,225,35,4208.4
87,226,34,4088.16
88,227,33,3967.9199999999996
89,227,33,3967.9199999999996
90,229,31,3727.44
91,229,31,3727.44
92,230,30,3607.2
93,231,29,3486.96
94,232,28,3366.72
95,233,27,3246.48
96,235,25,3006.0
97,235,25,3006.0
98,236,24,2885.7599999999998
99,237,23,2765.52
100,238,22,2645.2799999999997
101,238,22,2645.2799999999997
102,239,21,2525.04
103,240,20,2404.7999999999997
104,240,20,2404.7999999999997
105,242,18,2164.3199999999997
106,242,18,2164.3199999999997
107,243,17,2044.08
108,244,16,1923.84
109,245,15,1803.6
110,245,15,1803.6
111,246,14,1683.36
112,246,14,1683.36
113,247,13,1563.12
114,249,11,1322.6399999999999
115,250,10,1202.3999999999999
116,250,10,1202.3999999999999
117,252,8,961.92
118,252,8,961.92
119,252,8,961.92
120,249,11,1322.6399999999999
