x,y_pixel,y_value
340,231,-29677.41935483871
341,231,-29677.41935483871
342,231,-29677.41935483871
343,231,-29677.41935483871
344,231,-29677.41935483871
345,225,-27741.935483870966
346,221,-26451.612903225807
347,216,-24838.709677419352
348,213,-23870.96774193548
349,207,-21935.483870967742
350,206,-21612.90322580645
351,203,-20645.16129032258
352,203,-20645.16129032258
353,203,-20645.16129032258
354,203,-20645.16129032258
355,204,-20967.74193548387
356,205,-21290.32258064516
357,206,-21612.90322580645
358,206,-21612.90322580645
359,206,-21612.90322580645
360,207,-21935.483870967742
361,207,-21935.483870967742
362,208,-22258.06451612903
363,209,-22580.645161290322
364,209,-22580.645161290322
365,210,-22903.22580645161
366,211,-23225.8064516129
367,212,-23548.387096774193
368,212,-23548.387096774193
369,213,-23870.96774193548
370,214,-24193.548387096773
371,215,-24516.129032258064
372,216,-24838.709677419352
373,216,-24838.709677419352
374,217,-25161.290322580644
375,217,-25161.290322580644
376,218,-25483.870967741936
377,218,-25483.870967741936
378,219,-25806.451612903224
379,219,-25806.451612903224
380,220,-26129.032258064515
381,220,-26129.032258064515
382,221,-26451.612903225807
383,221,-26451.612903225807
384,222,-26774.193548387095
385,222,-26774.193548387095
386,222,-26774.193548387095
387,223,-27096.774193548386
388,223,-27096.774193548386
389,224,-27419.354838709674
390,225,-27741.935483870966
391,225,-27741.935483870966
392,226,-28064.516129032258
393,226,-28064.516129032258
394,226,-28064.516129032258
395,227,-28387.096774193546
396,228,-28709.677419354837
397,228,-28709.677419354837
398,229,-29032.25806451613
399,231,-29677.41935483871
400,231,-29677.41935483871
401,231,-29677.41935483871
402,231,-29677.41935483871
403,231,-29677.41935483871
404,231,-29677.41935483871
405,231,-29677.41935483871
406,231,-29677.41935483871
407,231,-29677.41935483871
417,231,-29677.41935483871
418,231,-29677.41935483871
419,231,-29677.41935483871
420,231,-29677.41935483871
421,231,-29677.41935483871
422,231,-29677.41935483871
423,226,-28064.516129032258
424,219,-25806.451612903224
425,214,-24193.548387096773
426,210,-22903.22580645161
427,207,-21935.483870967742
428,206,-21612.90322580645
429,206,-21612.90322580645
430,206,-21612.90322580645
431,206,-21612.90322580645
432,207,-21935.483870967742
433,207,-21935.483870967742
434,208,-22258.06451612903
435,208,-22258.06451612903
436,209,-22580.645161290322
437,210,-22903.22580645161
438,210,-22903.22580645161
439,211,-23225.8064516129
440,212,-23548.387096774193
441,212,-23548.387096774193
442,213,-23870.96774193548
443,214,-24193.548387096773
444,214,-24193.548387096773
445,215,-24516.129032258064
446,215,-24516.129032258064
447,216,-24838.709677419352
448,217,-25161.290322580644
449,218,-25483.870967741936
450,218,-25483.870967741936
451,219,-25806.451612903224
452,219,-25806.451612903224
453,220,-26129.032258064515
454,220,-26129.032258064515
455,221,-26451.612903225807
456,221,-26451.612903225807
457,222,-26774.193548387095
458,222,-26774.193548387095
459,223,-27096.774193548386
460,224,-27419.354838709674
461,225,-27741.935483870966
462,225,-27741.935483870966
463,226,-28064.516129032258
464,227,-28387.096774193546
465,227,-28387.096774193546
466,228,-28709.677419354837
467,229,-29032.25806451613
468,229,-29032.25806451613
469,231,-29677.41935483871
470,231,-29677.41935483871
471,231,-29677.41935483871
472,231,-29677.41935483871
473,231,-29677.41935483871
474,231,-29677.41935483871
475,231,-29677.41935483871
476,231,-29677.41935483871
477,231,-29677.41935483871
478,231,-29677.41935483871
479,231,-29677.41935483871
