x,y_pixel,y_value
122,293,-627.1777003484322
123,295,-836.2369337979095
124,295,-836.2369337979095
125,295,-836.2369337979095
126,295,-836.2369337979095
127,295,-836.2369337979095
128,296,-940.7665505226481
129,297,-1045.2961672473868
130,298,-1149.8257839721255
131,301,-1463.4146341463415
132,301,-1463.4146341463415
133,301,-1463.4146341463415
134,302,-1567.9442508710802
135,302,-1567.9442508710802
136,304,-1777.0034843205576
137,305,-1881.5331010452962
138,305,-1881.5331010452962
139,306,-1986.062717770035
140,306,-1986.062717770035
141,306,-1986.062717770035
142,306,-1986.062717770035
143,309,-2299.651567944251
144,309,-2299.651567944251
145,311,-2508.7108013937286
146,312,-2613.240418118467
147,314,-2822.2996515679442
148,315,-2926.829268292683
149,316,-3031.358885017422
150,317,-3135.8885017421603
151,318,-3240.418118466899
152,318,-3240.418118466899
153,319,-3344.947735191638
154,320,-3449.4773519163764
155,321,-3554.0069686411152
156,321,-3554.0069686411152
157,322,-3658.536585365854
158,322,-3658.536585365854
159,324,-3867.5958188153313
160,326,-4076.6550522648085
161,327,-4181.184668989547
162,327,-4181.184668989547
163,328,-4285.714285714286
164,328,-4285.714285714286
165,329,-4390.243902439025
166,329,-4390.243902439025
167,330,-4494.773519163763
168,331,-4599.303135888502
169,332,-4703.832752613241
170,333,-4808.3623693379795
171,334,-4912.891986062718
172,335,-5017.421602787457
173,336,-5121.951219512195
174,336,-5121.951219512195
175,337,-5226.480836236934
176,337,-5226.480836236934
177,338,-5331.010452961673
178,338,-5331.010452961673
179,339,-5435.540069686412
180,340,-5540.0696864111505
181,340,-5540.0696864111505
182,340,-5540.0696864111505
183,340,-5540.0696864111505
184,340,-5540.0696864111505
185,339,-5435.540069686412
186,338,-5331.010452961673
187,337,-5226.480836236934
188,335,-5017.421602787457
189,335,-5017.421602787457
190,335,-5017.421602787457
191,335,-5017.421602787457
192,335,-5017.421602787457
193,335,-5017.421602787457
194,335,-5017.421602787457
195,335,-5017.421602787457
196,334,-4912.891986062718
197,332,-4703.832752613241
198,330,-4494.773519163763
199,326,-4076.6550522648085
200,324,-3867.5958188153313
201,316,-3031.358885017422
202,316,-3031.358885017422
203,316,-3031.358885017422
204,317,-3135.8885017421603
205,317,-3135.8885017421603
206,317,-3135.8885017421603
207,317,-3135.8885017421603
208,316,-3031.358885017422
209,314,-2822.2996515679442
210,312,-2613.240418118467
211,308,-2195.1219512195125
212,302,-1567.9442508710802
213,297,-1045.2961672473868
214,284,313.5888501742161
215,281,627.1777003484322
216,280,731.7073170731708
217,278,940.7665505226481
218,276,1149.8257839721255
219,273,1463.4146341463415
220,266,2195.1219512195125
221,263,2508.7108013937286
222,247,4181.184668989547
223,245,4390.243902439025
224,238,5121.951219512195
225,237,5226.480836236934
226,235,5435.540069686412
227,233,5644.5993031358885
228,232,5749.128919860627
229,225,6480.836236933798
230,219,7108.0139372822305
231,219,7108.0139372822305
232,219,7108.0139372822305
233,220,7003.484320557492
234,221,6898.954703832753
235,221,6898.954703832753
236,222,6794.425087108014
237,222,6794.425087108014
238,223,6689.895470383276
239,224,6585.365853658537
240,226,6376.3066202090595
241,227,6271.777003484321
242,229,6062.717770034844
243,230,5958.188153310105
244,230,5958.188153310105
245,231,5853.658536585366
246,231,5853.658536585366
247,232,5749.128919860627
248,233,5644.5993031358885
