rotation,value,x,y
0,-672.0977596741359,36,280
85,-549.8981670061112,37,279
171,-549.8981670061112,38,279
256,-427.6985743380865,39,278
342,-427.6985743380865,40,278
428,-305.49898167006177,41,277
513,-183.29938900203706,42,276
599,-61.09979633401235,43,275
684,61.09979633401235,44,274
770,61.09979633401235,45,274
856,61.09979633401235,46,274
941,-61.09979633401235,47,275
1027,-183.29938900203706,48,276
1113,-183.29938900203706,49,276
1198,-305.49898167006177,50,277
1284,-427.6985743380865,51,278
1369,-427.6985743380865,52,278
1455,-549.8981670061112,53,279
1541,-549.8981670061112,54,279
1626,-672.0977596741359,55,280
1712,-672.0977596741359,56,280
1797,-794.2973523421606,57,281
1883,-916.4969450101817,58,282
1969,-916.4969450101817,59,282
2054,-1038.6965376782064,60,283
2140,-1160.896130346231,61,284
2226,-1283.0957230142558,62,285
2311,-1405.2953156822805,63,286
2397,-1649.69450101833,64,288
2482,-1771.8940936863546,65,289
2568,-1771.8940936863546,66,289
2654,-1894.0936863543793,67,290
2739,-2016.293279022404,68,291
2825,-2138.4928716904287,69,292
2910,-2260.6924643584534,70,293
2996,-2382.892057026478,71,294
3082,-2382.892057026478,72,294
3167,-2505.091649694499,73,295
3253,-2627.291242362524,74,296
3339,-2627.291242362524,75,296
3424,-2749.4908350305486,76,297
3510,-2871.6904276985733,77,298
3595,-2993.890020366598,78,299
3681,-3116.0896130346227,79,300
3767,-3238.2892057026475,80,301
3852,-3238.2892057026475,81,301
3938,-3360.488798370672,82,302
4023,-3482.688391038697,83,303
4109,-3604.8879837067216,84,304
4195,-3727.0875763747463,85,305
4280,-3727.0875763747463,86,305
4366,-3849.287169042771,87,306
4452,-3971.4867617107957,88,307
4537,-4093.6863543788204,89,308
4623,-4093.6863543788204,90,308
4708,-4215.885947046845,91,309
4794,-4338.08553971487,92,310
4880,-4460.2851323828945,93,311
4965,-4582.484725050919,94,312
5051,-4704.684317718944,95,313
5136,-4826.883910386969,96,314
5222,-4949.083503054993,97,315
5308,-5071.283095723011,98,316
5393,-5193.4826883910355,99,317
5479,-5315.68228105906,100,318
5565,-5437.881873727085,101,319
5650,-5560.08146639511,102,320
5736,-5560.08146639511,103,320
5821,-5682.281059063134,104,321
5907,-5804.480651731159,105,322
5993,-5926.680244399184,106,323
6078,-6048.879837067208,107,324
6164,-6048.879837067208,108,324
6250,-6171.079429735233,109,325
6335,-6293.279022403258,110,326
6421,-6293.279022403258,111,326
6506,-6415.478615071283,112,327
6592,-6537.678207739307,113,328
6678,-6537.678207739307,114,328
6763,-6659.877800407332,115,329
6849,-6782.077393075357,116,330
6934,-6904.276985743381,117,331
7020,-7026.476578411406,118,332
7106,-7148.676171079431,119,333
7191,-7270.8757637474555,120,334
7277,-7393.07535641548,121,335
7363,-7515.274949083505,122,336
7448,-7515.274949083505,123,336
7534,-7637.47454175153,124,337
7619,-7759.674134419554,125,338
7705,-7881.873727087579,126,339
7791,-8004.073319755604,127,340
7876,-8126.272912423628,128,341
7962,-8248.472505091653,129,342
8047,-8370.67209775967,130,343
8133,-8492.871690427695,131,344
8219,-8615.07128309572,132,345
8304,-8737.270875763745,133,346
8390,-8859.47046843177,134,347
8476,-8981.670061099794,135,348
8561,-9103.869653767819,136,349
8647,-9103.869653767819,137,349
8732,-9226.069246435844,138,350
8818,-9348.268839103868,139,351
8904,-9348.268839103868,140,351
8989,-9470.468431771893,141,352
9075,-9592.668024439918,142,353
9160,-9592.668024439918,143,353
9246,-9714.867617107942,144,354
9332,-9592.668024439918,145,353
9417,-9470.468431771893,146,352
9503,-9226.069246435844,147,350
9589,-8859.47046843177,148,347
9674,-8492.871690427695,149,344
9760,-8126.272912423628,150,341
9845,-7637.47454175153,151,337
9931,-7026.476578411406,152,332
10017,-6415.478615071283,153,327
10102,-5682.281059063134,154,321
10188,-5071.283095723011,155,316
10273,-4582.484725050919,156,312
10359,-4093.6863543788204,157,308
10445,-3727.0875763747463,158,305
10530,-3238.2892057026475,159,301
10616,-2871.6904276985733,160,298
10702,-2505.091649694499,161,295
10787,-2138.4928716904287,162,292
10873,-1771.8940936863546,163,289
10958,-1405.2953156822805,164,286
11044,-1038.6965376782064,165,283
11130,-794.2973523421606,166,281
11215,-549.8981670061112,167,279
11301,-305.49898167006177,168,277
11386,-61.09979633401235,169,275
11472,61.09979633401235,170,274
11558,305.49898167006177,171,272
11643,427.6985743380865,172,271
11729,549.8981670061112,173,270
11815,549.8981670061112,174,270
11900,549.8981670061112,175,270
11986,549.8981670061112,176,270
12071,427.6985743380865,177,271
12157,305.49898167006177,178,272
12243,305.49898167006177,179,272
12328,61.09979633401235,180,274
12414,-61.09979633401235,181,275
12500,-183.29938900203706,182,276
12585,-305.49898167006177,183,277
12671,-427.6985743380865,184,278
12756,-549.8981670061112,185,279
12842,-549.8981670061112,186,279
12928,-549.8981670061112,187,279
13013,-672.0977596741359,188,280
13099,-794.2973523421606,189,281
13184,-916.4969450101817,190,282
13270,-1038.6965376782064,191,283
13356,-1038.6965376782064,192,283
