rotation,value,x,y
0.000,-618.618,36.000,279.562
85.616,-486.114,37.000,278.478
171.233,-371.554,38.000,277.541
256.849,-274.192,39.000,276.744
342.466,-193.286,40.000,276.082
428.082,-128.090,41.000,275.548
513.699,-77.862,42.000,275.137
599.315,-41.855,43.000,274.843
684.932,-19.328,44.000,274.658
770.548,-9.535,45.000,274.578
856.164,-11.732,46.000,274.596
941.781,-25.174,47.000,274.706
1027.397,-49.112,48.000,274.902
1113.014,-86.013,49.000,275.204
1198.630,-136.088,50.000,275.614
1284.247,-184.147,51.000,276.007
1369.863,-225.442,52.000,276.345
1455.479,-266.982,53.000,276.685
1541.096,-323.565,54.000,277.148
1626.712,-412.334,55.000,277.874
1712.329,-533.374,56.000,278.865
1797.945,-656.407,57.000,279.872
1883.562,-753.180,58.000,280.664
1969.178,-825.819,59.000,281.258
2054.795,-889.234,60.000,281.777
2140.411,-952.297,61.000,282.293
2226.027,-1016.784,62.000,282.821
2311.644,-1081.506,63.000,283.350
2397.260,-1147.721,64.000,283.892
2482.877,-1217.969,65.000,284.467
2568.493,-1292.468,66.000,285.077
2654.110,-1370.319,67.000,285.714
2739.726,-1450.331,68.000,286.369
2825.342,-1525.601,69.000,286.984
2910.959,-1585.976,70.000,287.479
2996.575,-1647.066,71.000,287.978
3082.192,-1729.068,72.000,288.650
3167.808,-1827.483,73.000,289.455
3253.425,-1927.724,74.000,290.275
3339.041,-2017.415,75.000,291.009
3424.658,-2089.167,76.000,291.596
3510.274,-2146.234,77.000,292.063
3595.890,-2196.899,78.000,292.478
3681.507,-2245.626,79.000,292.877
3767.123,-2291.779,80.000,293.254
3852.740,-2329.450,81.000,293.563
3938.356,-2352.215,82.000,293.749
4023.973,-2360.769,83.000,293.819
4109.589,-2358.409,84.000,293.800
4195.205,-2343.599,85.000,293.678
4280.822,-2316.015,86.000,293.453
4366.438,-2280.399,87.000,293.161
4452.055,-2244.586,88.000,292.868
4537.671,-2212.809,89.000,292.608
4623.288,-2181.543,90.000,292.352
4708.904,-2147.879,91.000,292.077
4794.521,-2117.892,92.000,291.831
4880.137,-2101.786,93.000,291.700
4965.753,-2105.958,94.000,291.734
5051.370,-2131.385,95.000,291.942
5136.986,-2174.771,96.000,292.297
5222.603,-2227.273,97.000,292.727
5308.219,-2279.209,98.000,293.152
5393.836,-2324.693,99.000,293.524
5479.452,-2365.991,100.000,293.862
5565.068,-2415.036,101.000,294.263
5650.685,-2481.477,102.000,294.807
5736.301,-2563.769,103.000,295.480
5821.918,-2654.641,104.000,296.224
5907.534,-2745.860,105.000,296.970
5993.151,-2829.275,106.000,297.653
6078.767,-2900.701,107.000,298.237
6164.384,-2962.615,108.000,298.744
