rotation,value,x,y,is_max
0.00,-672.10,36.00,280.00,False
85.62,-733.20,37.00,280.50,False
171.23,-809.57,38.00,281.12,False
256.85,-901.22,39.00,281.88,False
342.47,-992.87,40.00,282.62,False
428.08,-1069.25,41.00,283.25,False
513.70,-1115.07,42.00,283.62,False
599.32,-1160.90,43.00,284.00,False
684.93,-1206.72,44.00,284.38,False
770.55,-1191.45,45.00,284.25,False
856.16,-1099.80,46.00,283.50,False
941.78,-977.60,47.00,282.50,False
1027.40,-672.10,48.00,280.00,False
1113.01,-76.37,49.00,275.12,False
1198.63,534.62,50.00,270.12,False
1284.25,1053.97,51.00,265.88,False
1369.86,1588.59,52.00,261.50,False
1455.48,1832.99,53.00,259.50,False
1541.10,2382.89,54.00,255.00,False
1626.71,2810.59,55.00,251.50,False
1712.33,3360.49,56.00,247.00,False
1797.95,4276.99,57.00,239.50,False
1883.56,4704.68,58.00,236.00,False
1969.18,4826.88,59.00,235.00,False
2054.79,5071.28,60.00,233.00,False
2140.41,5254.58,61.00,231.50,False
2226.03,5315.68,62.00,231.00,True
2311.64,5254.58,63.00,231.50,False
2397.26,5132.38,64.00,232.50,False
2482.88,5071.28,65.00,233.00,False
2568.49,5010.18,66.00,233.50,False
2654.11,4887.98,67.00,234.50,False
2739.73,4887.98,68.00,234.50,False
2825.34,4704.68,69.00,236.00,False
2910.96,4643.58,70.00,236.50,False
2996.58,4643.58,71.00,236.50,False
3082.19,4582.48,72.00,237.00,False
3167.81,4521.38,73.00,237.50,False
3253.42,4490.84,74.00,237.75,False
3339.04,4414.46,75.00,238.38,False
3424.66,4322.81,76.00,239.12,False
3510.27,4231.16,77.00,239.88,False
3595.89,4139.51,78.00,240.62,False
3681.51,4047.86,79.00,241.38,False
3767.12,3971.49,80.00,242.00,False
3852.74,3895.11,81.00,242.62,False
3938.36,3788.19,82.00,243.50,False
4023.97,3681.26,83.00,244.38,False
4109.59,3589.61,84.00,245.12,False
4195.21,3497.96,85.00,245.88,False
4280.82,3406.31,86.00,246.62,False
4366.44,3314.66,87.00,247.38,False
4452.05,3238.29,88.00,248.00,False
4537.67,3177.19,89.00,248.50,False
4623.29,3131.36,90.00,248.88,False
4708.90,3085.54,91.00,249.25,False
4794.52,3009.16,92.00,249.88,False
4880.14,2932.79,93.00,250.50,False
4965.75,2871.69,94.00,251.00,False
5051.37,2795.32,95.00,251.62,False
5136.99,2703.67,96.00,252.38,False
5222.60,2627.29,97.00,253.00,False
5308.22,2550.92,98.00,253.62,False
5393.84,2474.54,99.00,254.25,False
5479.45,2428.72,100.00,254.62,False
5565.07,2367.62,101.00,255.12,False
5650.68,2275.97,102.00,255.88,False
5736.30,2199.59,103.00,256.50,False
5821.92,2153.77,104.00,256.88,False
5907.53,2107.94,105.00,257.25,False
5993.15,2016.29,106.00,258.00,False
6078.77,1924.64,107.00,258.75,False
6164.38,1863.54,108.00,259.25,False
6250.00,1771.89,109.00,260.00,False
6335.62,1664.97,110.00,260.88,False
6421.23,1588.59,111.00,261.50,False
6506.85,1512.22,112.00,262.12,False
6592.47,1420.57,113.00,262.88,False
6678.08,1344.20,114.00,263.50,False
6763.70,1283.10,115.00,264.00,False
6849.32,1237.27,116.00,264.38,False
6934.93,1191.45,117.00,264.75,False
7020.55,1130.35,118.00,265.25,False
7106.16,1069.25,119.00,265.75,False
7191.78,1008.15,120.00,266.25,False
7277.40,962.32,121.00,266.62,False
7363.01,901.22,122.00,267.12,False
7448.63,809.57,123.00,267.88,False
7534.25,733.20,124.00,268.50,False
7619.86,672.10,125.00,269.00,False
7705.48,595.72,126.00,269.62,False
7791.10,488.80,127.00,270.50,False
7876.71,397.15,128.00,271.25,False
7962.33,351.32,129.00,271.62,False
8047.95,320.77,130.00,271.88,False
8133.56,290.22,131.00,272.12,False
8219.18,259.67,132.00,272.38,False
8304.79,229.12,133.00,272.62,False
8390.41,168.02,134.00,273.12,False
8476.03,30.55,135.00,274.25,False
8561.64,-152.75,136.00,275.75,False
8647.26,-305.50,137.00,277.00,False
8732.88,-427.70,138.00,278.00,False
8818.49,-519.35,139.00,278.75,False
8904.11,-565.17,140.00,279.12,False
8989.73,-611.00,141.00,279.50,False
9075.34,-656.82,142.00,279.88,False
9160.96,-687.37,143.00,280.12,False
9246.58,-733.20,144.00,280.50,False
9332.19,-809.57,145.00,281.12,False
9417.81,-901.22,146.00,281.88,False
9503.42,-977.60,147.00,282.50,False
9589.04,-1038.70,148.00,283.00,False
9674.66,-1115.07,149.00,283.62,False
9760.27,-1206.72,150.00,284.38,False
9845.89,-1283.10,151.00,285.00,False
9931.51,-1344.20,152.00,285.50,False
10017.12,-1420.57,153.00,286.12,False
10102.74,-1496.95,154.00,286.75,False
10188.36,-1542.77,155.00,287.12,False
10273.97,-1588.59,156.00,287.50,False
10359.59,-1664.97,157.00,288.12,False
10445.21,-1756.62,158.00,288.88,False
10530.82,-1817.72,159.00,289.38,False
10616.44,-1863.54,160.00,289.75,False
10702.05,-1955.19,161.00,290.50,False
10787.67,-2062.12,162.00,291.38,False
10873.29,-2138.49,163.00,292.00,False
10958.90,-2214.87,164.00,292.62,False
11044.52,-2306.52,165.00,293.38,False
11130.14,-2413.44,166.00,294.25,False
11215.75,-2550.92,167.00,295.38,False
11301.37,-2673.12,168.00,296.38,False
11386.99,-2749.49,169.00,297.00,False
11472.60,-2810.59,170.00,297.50,False
11558.22,-2871.69,171.00,298.00,False
11643.84,-2948.07,172.00,298.62,False
11729.45,-3024.44,173.00,299.25,False
11815.07,-3070.26,174.00,299.62,False
11900.68,-3116.09,175.00,300.00,False
11986.30,-3177.19,176.00,300.50,False
12071.92,-3253.56,177.00,301.12,False
12157.53,-3360.49,178.00,302.00,False
12243.15,-3452.14,179.00,302.75,False
12328.77,-3497.96,180.00,303.12,False
12414.38,-3559.06,181.00,303.62,False
12500.00,-3650.71,182.00,304.38,False
12585.62,-3742.36,183.00,305.12,False
12671.23,-3834.01,184.00,305.88,False
12756.85,-3910.39,185.00,306.50,False
12842.47,-3986.76,186.00,307.12,False
12928.08,-4047.86,187.00,307.62,False
13013.70,-4032.59,188.00,307.50,False
13099.32,-3956.21,189.00,306.88,False
13184.93,-3834.01,190.00,305.88,False
13270.55,-3696.54,191.00,304.75,False
13356.16,-3604.89,192.00,304.00,False
13441.78,-3543.79,193.00,303.50,False
13527.40,-3452.14,194.00,302.75,False
13613.01,-3329.94,195.00,301.75,False
13698.63,-3238.29,196.00,301.00,False
13784.25,-3207.74,197.00,300.75,False
13869.86,-3238.29,198.00,301.00,False
13955.48,-3314.66,199.00,301.62,False
14041.10,-3391.04,200.00,302.25,False
14126.71,-3436.86,201.00,302.62,False
14212.33,-3482.69,202.00,303.00,False
14297.95,-3543.79,203.00,303.50,False
14383.56,-3604.89,204.00,304.00,False
14469.18,-3665.99,205.00,304.50,False
14554.79,-3727.09,206.00,305.00,False
14640.41,-3788.19,207.00,305.50,False
14726.03,-3864.56,208.00,306.12,False
14811.64,-3971.49,209.00,307.00,False
14897.26,-4063.14,210.00,307.75,False
14982.88,-4124.24,211.00,308.25,False
15068.49,-4200.61,212.00,308.88,False
15154.11,-4276.99,213.00,309.50,False
15239.73,-4338.09,214.00,310.00,False
15325.34,-4414.46,215.00,310.62,False
15410.96,-4490.84,216.00,311.25,False
15496.58,-4551.93,217.00,311.75,False
15582.19,-4628.31,218.00,312.38,False
15667.81,-4704.68,219.00,313.00,False
15753.42,-4765.78,220.00,313.50,False
15839.04,-4826.88,221.00,314.00,False
15924.66,-4872.71,222.00,314.38,False
16010.27,-4918.53,223.00,314.75,False
16095.89,-4994.91,224.00,315.38,False
16181.51,-5086.56,225.00,316.12,False
16267.12,-5178.21,226.00,316.88,False
16352.74,-5254.58,227.00,317.50,False
16438.36,-5315.68,228.00,318.00,False
16523.97,-5407.33,229.00,318.75,False
16609.59,-5529.53,230.00,319.75,False
16695.21,-5636.46,231.00,320.62,False
16780.82,-5728.11,232.00,321.38,False
16866.44,-5804.48,233.00,322.00,False
16952.05,-5865.58,234.00,322.50,False
17037.67,-5941.96,235.00,323.12,False
17123.29,-6048.88,236.00,324.00,False
17208.90,-6140.53,237.00,324.75,False
17294.52,-6201.63,238.00,325.25,False
17380.14,-6278.00,239.00,325.88,False
17465.75,-6354.38,240.00,326.50,False
17551.37,-6430.75,241.00,327.12,False
17636.99,-6522.40,242.00,327.88,False
17722.60,-6598.78,243.00,328.50,False
17808.22,-6659.88,244.00,329.00,False
17893.84,-6751.53,245.00,329.75,False
17979.45,-6889.00,246.00,330.88,False
18065.07,-7011.20,247.00,331.88,False
18150.68,-7102.85,248.00,332.62,False
18236.30,-7194.50,249.00,333.38,False
18321.92,-7286.15,250.00,334.12,False
18407.53,-7377.80,251.00,334.88,False
18493.15,-7454.18,252.00,335.50,False
18578.77,-7515.27,253.00,336.00,False
18664.38,-7576.37,254.00,336.50,False
18750.00,-7637.47,255.00,337.00,False
18835.62,-7683.30,256.00,337.38,False
18921.23,-7713.85,257.00,337.62,False
19006.85,-7744.40,258.00,337.88,False
19092.47,-7759.67,259.00,338.00,False
19178.08,-7774.95,260.00,338.12,False
19263.70,-7836.05,261.00,338.62,False
19349.32,-7942.97,262.00,339.50,False
19434.93,-8049.90,263.00,340.38,False
19520.55,-8141.55,264.00,341.12,False
19606.16,-8217.92,265.00,341.75,False
19691.78,-8294.30,266.00,342.38,False
19777.40,-8416.50,267.00,343.38,False
19863.01,-8538.70,268.00,344.38,False
19948.63,-8630.35,269.00,345.12,False
20034.25,-8722.00,270.00,345.88,False
20119.86,-8798.37,271.00,346.50,False
20205.48,-8859.47,272.00,347.00,False
20291.10,-8920.57,273.00,347.50,False
20376.71,-8981.67,274.00,348.00,False
20462.33,-9042.77,275.00,348.50,False
20547.95,-9103.87,276.00,349.00,False
20633.56,-9180.24,277.00,349.62,False
20719.18,-9256.62,278.00,350.25,False
20804.79,-9317.72,279.00,350.75,False
20890.41,-9394.09,280.00,351.38,False
20976.03,-9470.47,281.00,352.00,False
21061.64,-9531.57,282.00,352.50,False
21147.26,-9592.67,283.00,353.00,False
21232.88,-9653.77,284.00,353.50,False
21318.49,-9714.87,285.00,354.00,False
21404.11,-9775.97,286.00,354.50,False
21489.73,-9837.07,287.00,355.00,False
21575.34,-9913.44,288.00,355.62,False
21660.96,-10005.09,289.00,356.38,False
21746.58,-10081.47,290.00,357.00,False
21832.19,-10142.57,291.00,357.50,False
21917.81,-10218.94,292.00,358.12,False
22003.42,-10310.59,293.00,358.88,False
22089.04,-10386.97,294.00,359.50,False
22174.66,-10463.34,295.00,360.12,False
22260.27,-10539.71,296.00,360.75,False
22345.89,-10600.81,297.00,361.25,False
