rotation,value,x,y
0.00,-525.54,36.00,278.80
85.62,-392.41,37.00,277.71
171.23,-277.50,38.00,276.77
256.85,-180.82,39.00,275.98
342.47,-102.37,40.00,275.34
428.08,-42.16,41.00,274.84
513.70,28.20,42.00,274.27
599.32,51.27,43.00,274.08
684.93,-0.00,44.00,274.50
770.55,-0.00,45.00,274.50
856.16,-0.00,46.00,274.50
941.78,2435.45,47.00,254.57
1027.40,-3100.71,48.00,299.87
1113.01,-4845.54,49.00,314.15
1198.63,-3491.23,50.00,303.07
1284.25,270.04,51.00,272.29
1369.86,8432.77,52.00,205.49
1455.48,16531.13,53.00,139.22
1541.10,19518.89,54.00,114.77
1626.71,15822.57,55.00,145.02
1712.33,11118.88,56.00,183.51
1797.95,5567.06,57.00,228.94
1883.56,-7133.58,58.00,332.88
1969.18,-12263.54,59.00,374.86
2054.79,-14057.94,60.00,389.54
2140.41,-9378.89,61.00,351.25
2226.03,-5328.93,62.00,318.11
2311.64,141.28,63.00,273.34
2397.26,-1257.89,64.00,284.79
2482.88,-7234.84,65.00,333.71
2568.49,-14428.95,66.00,392.58
2654.11,-19387.44,67.00,433.15
2739.73,-21866.75,68.00,453.44
2825.34,-20873.06,69.00,445.31
2910.96,-17729.48,70.00,419.59
2996.58,-11172.73,71.00,365.93
3082.19,-8261.39,72.00,342.11
3167.81,-1167.59,73.00,284.05
3253.42,2717.89,74.00,252.26
3339.04,3747.25,75.00,243.84
3424.66,2776.32,76.00,251.78
3510.27,1820.82,77.00,259.60
3595.89,4782.75,78.00,235.36
3681.51,8235.56,79.00,207.11
3767.12,10117.11,80.00,191.71
3852.74,12275.92,81.00,174.04
3938.36,13982.64,82.00,160.08
4023.97,14726.90,83.00,153.98
4109.59,15916.71,84.00,144.25
4195.21,15538.48,85.00,147.34
4280.82,15411.25,86.00,148.38
4366.44,13766.11,87.00,161.85
4452.05,15985.64,88.00,143.68
4537.67,16831.07,89.00,136.77
4623.29,16889.32,90.00,136.29
4708.90,17309.76,91.00,132.85
4794.52,19508.64,92.00,114.85
4880.14,17632.49,93.00,130.21
4965.75,16660.16,94.00,138.16
5051.37,15505.96,95.00,147.61
5136.99,14819.62,96.00,153.23
5222.60,14419.12,97.00,156.50
5308.22,14468.40,98.00,156.10
5393.84,14961.19,99.00,152.07
5479.45,15870.14,100.00,144.63
5565.07,17279.85,101.00,133.09
5650.68,19185.19,102.00,117.50
5736.30,17666.39,103.00,129.93
5821.92,17551.45,104.00,130.87
5907.53,17519.83,105.00,131.13
5993.15,17384.53,106.00,132.24
6078.77,17749.42,107.00,129.25
6164.38,16950.28,108.00,135.79
6250.00,18310.43,109.00,124.66
6335.62,19302.60,110.00,116.54
6421.23,19349.55,111.00,116.16
6506.85,25231.22,112.00,68.02
6592.47,23782.82,113.00,79.88
6678.08,19809.36,114.00,112.39
6763.70,14040.08,115.00,159.61
6849.32,7108.13,116.00,216.33
6934.93,-160.94,117.00,275.82
7020.55,-7548.47,118.00,336.27
7106.16,-11733.98,119.00,370.52
7191.78,-14681.41,120.00,394.64
7277.40,-14773.95,121.00,395.40
7363.01,-9073.53,122.00,348.75
7448.63,-10823.05,123.00,363.07
7534.25,-10707.99,124.00,362.13
7619.86,-10187.46,125.00,357.87
7705.48,-10306.31,126.00,358.84
7791.10,-10385.54,127.00,359.49
7876.71,-12945.58,128.00,380.44
7962.33,-12530.94,129.00,377.04
8047.95,-9377.10,130.00,351.24
8133.56,-4556.52,131.00,311.79
8219.18,1413.98,132.00,262.93
8304.79,7281.98,133.00,214.91
8390.41,13163.33,134.00,166.78
8476.03,18123.85,135.00,126.19
8561.64,20753.99,136.00,104.66
8647.26,21389.20,137.00,99.47
8732.88,18750.94,138.00,121.05
8818.49,18597.98,139.00,122.31
8904.11,18487.17,140.00,123.21
8989.73,18387.76,141.00,124.03
9075.34,18310.00,142.00,124.66
9160.96,18230.81,143.00,125.31
9246.58,18142.22,144.00,126.04
9332.19,17918.33,145.00,127.87
9417.81,17765.66,146.00,129.12
9503.42,19968.38,147.00,111.09
9589.04,19050.18,148.00,118.61
9674.66,16084.06,149.00,142.88
9760.27,11417.83,150.00,181.06
9845.89,6036.49,151.00,225.10
9931.51,-2140.94,152.00,292.02
10017.12,-4709.10,153.00,313.04
10102.74,-6904.09,154.00,331.00
10188.36,-8059.30,155.00,340.45
10273.97,-7410.47,156.00,335.14
10359.59,-4219.10,157.00,309.03
10445.21,-4667.57,158.00,312.70
10530.82,-5499.49,159.00,319.50
10616.44,-7035.61,160.00,332.07
10702.05,-9310.75,161.00,350.69
10787.67,-12450.40,162.00,376.39
10873.29,-10592.10,163.00,361.18
10958.90,-13293.59,164.00,383.29
11044.52,-12963.39,165.00,380.58
11130.14,-10204.39,166.00,358.01
11215.75,-5630.15,167.00,320.57
11301.37,-514.98,168.00,278.71
11386.99,5267.20,169.00,231.40
11472.60,10815.42,170.00,185.99
11558.22,15225.71,171.00,149.90
11643.84,18057.56,172.00,126.73
11729.45,18422.19,173.00,123.75
11815.07,15972.83,174.00,143.79
11900.68,15799.64,175.00,145.21
11986.30,15693.96,176.00,146.07
12071.92,15582.44,177.00,146.98
12157.53,15478.05,178.00,147.84
12243.15,15391.02,179.00,148.55
12328.77,15298.31,180.00,149.31
12414.38,15176.82,181.00,150.30
12500.00,15062.17,182.00,151.24
12585.62,14862.63,183.00,152.87
12671.23,14669.08,184.00,154.46
12756.85,14497.17,185.00,155.86
12842.47,14272.71,186.00,157.70
12928.08,14101.95,187.00,159.10
13013.70,13979.75,188.00,160.10
13099.32,13788.90,189.00,161.66
13184.93,13676.67,190.00,162.58
13270.55,13580.96,191.00,163.36
13356.16,13547.92,192.00,163.63
13441.78,13452.49,193.00,164.41
13527.40,13458.48,194.00,164.36
13613.01,13421.16,195.00,164.67
13698.63,13341.83,196.00,165.32
13784.25,13204.39,197.00,166.44
13869.86,13081.34,198.00,167.45
13955.48,12854.31,199.00,169.31
14041.10,12690.81,200.00,170.65
14126.71,12471.91,201.00,172.44
14212.33,12359.82,202.00,173.36
14297.95,12269.95,203.00,174.09
14383.56,12168.26,204.00,174.92
14469.18,12088.79,205.00,175.57
14554.79,11943.09,206.00,176.77
14640.41,11754.80,207.00,178.31
14726.03,13604.46,208.00,163.17
14811.64,11069.74,209.00,183.91
14897.26,10915.50,210.00,185.17
14982.88,8939.09,211.00,201.35
15068.49,4098.96,212.00,240.96
15154.11,741.27,213.00,268.43
15239.73,-1106.21,214.00,283.55
15325.34,-1547.86,215.00,287.17
15410.96,-447.54,216.00,278.16
15496.58,2722.72,217.00,252.22
15582.19,7457.17,218.00,213.48
15667.81,10784.14,219.00,186.25
15753.42,12482.02,220.00,172.36
15839.04,12483.11,221.00,172.35
15924.66,9497.53,222.00,196.78
16010.27,6508.05,223.00,221.24
16095.89,6633.77,224.00,220.21
16181.51,3202.54,225.00,248.29
16267.12,1522.46,226.00,262.04
16352.74,1930.36,227.00,258.70
16438.36,3722.81,228.00,244.03
16523.97,7101.49,229.00,216.39
16609.59,7165.20,230.00,215.86
16695.21,10496.77,231.00,188.60
16780.82,12046.72,232.00,175.92
16866.44,12787.23,233.00,169.86
16952.05,15160.30,234.00,150.44
17037.67,13045.73,235.00,167.74
17123.29,12863.43,236.00,169.23
17208.90,12756.47,237.00,170.11
17294.52,14494.32,238.00,155.89
17380.14,14022.33,239.00,159.75
17465.75,9948.44,240.00,193.09
17551.37,6757.20,241.00,219.20
17636.99,4586.76,242.00,236.97
17722.60,3504.05,243.00,245.83
17808.22,3379.19,244.00,246.85
17893.84,4365.72,245.00,238.77
17979.45,6290.15,246.00,223.03
18065.07,9231.10,247.00,198.96
18150.68,13268.34,248.00,165.92
18236.30,13688.49,249.00,162.48
18321.92,11740.99,250.00,178.42
18407.53,11590.02,251.00,179.66
18493.15,11316.57,252.00,181.89
18578.77,11031.58,253.00,184.22
18664.38,10823.49,254.00,185.93
18750.00,10611.85,255.00,187.66
18835.62,10464.30,256.00,188.87
18921.23,10368.02,257.00,189.66
19006.85,10377.14,258.00,189.58
19092.47,10294.39,259.00,190.26
19178.08,10208.65,260.00,190.96
19263.70,10150.83,261.00,191.43
19349.32,11696.41,262.00,178.78
19434.93,11140.10,263.00,183.34
19520.55,9041.58,264.00,200.51
19606.16,4921.31,265.00,234.23
19691.78,451.06,266.00,270.81
19777.40,-2353.32,267.00,293.76
19863.01,-3638.78,268.00,304.28
19948.63,-3503.34,269.00,303.17
20034.25,-1712.55,270.00,288.51
20119.86,1578.06,271.00,261.59
20205.48,6514.75,272.00,221.19
20291.10,8884.25,273.00,201.80
20376.71,9886.35,274.00,193.60
20462.33,9117.68,275.00,199.89
20547.95,8278.10,276.00,206.76
20633.56,8280.52,277.00,206.74
20719.18,8226.54,278.00,207.18
20804.79,8108.33,279.00,208.15
20890.41,8006.64,280.00,208.98
20976.03,8039.82,281.00,208.71
21061.64,8136.53,282.00,207.92
21147.26,8144.22,283.00,207.85
21232.88,8216.14,284.00,207.26
21318.49,8260.58,285.00,206.90
21404.11,9758.73,286.00,194.64
21489.73,9310.38,287.00,198.31
21575.34,5733.70,288.00,227.58
21660.96,3072.65,289.00,249.36
21746.58,2975.52,290.00,250.15
21832.19,2003.05,291.00,258.11
21917.81,-1227.12,292.00,284.54
22003.42,-2794.78,293.00,297.37
22089.04,-2568.61,294.00,295.52
22174.66,-739.46,295.00,280.55
22260.27,2765.58,296.00,251.87
22345.89,3973.48,297.00,241.98
22431.51,3924.77,298.00,242.38
22517.12,6419.75,299.00,221.97
22602.74,9698.35,300.00,195.14
22688.36,9982.20,301.00,192.81
22773.97,8328.09,302.00,206.35
22859.59,8235.80,303.00,207.10
22945.21,8194.21,304.00,207.44
23030.82,8166.86,305.00,207.67
23116.44,8179.40,306.00,207.57
23202.05,8096.51,307.00,208.24
23287.67,7975.45,308.00,209.23
23373.29,7949.24,309.00,209.45
23458.90,7790.86,310.00,210.74
23544.52,7665.25,311.00,211.77
23630.14,8887.81,312.00,201.77
23715.75,8407.42,313.00,205.70
23801.37,6489.68,314.00,221.39
23886.99,2072.98,315.00,257.54
23972.60,312.76,316.00,271.94
24058.22,-1912.61,317.00,290.15
24143.84,-4535.77,318.00,311.62
24229.45,-8223.69,319.00,341.80
24315.07,-9607.20,320.00,353.12
24400.68,-8597.98,321.00,344.86
24486.30,-5262.13,322.00,317.56
24571.92,-3068.38,323.00,299.61
24657.53,-1111.33,324.00,283.59
24743.15,1252.47,325.00,264.25
24828.77,4743.71,326.00,235.68
24914.38,6747.75,327.00,219.28
25000.00,7042.29,328.00,216.87
25085.62,6043.04,329.00,225.05
25171.23,6446.95,330.00,221.74
25256.85,6909.69,331.00,217.96
25342.47,7908.08,332.00,209.79
25428.08,8850.50,333.00,202.07
25513.70,10285.42,334.00,190.33
25599.32,12110.01,335.00,175.40
25684.93,12253.43,336.00,174.23
25770.55,13402.08,337.00,164.83
25856.16,13900.42,338.00,160.75
25941.78,14333.53,339.00,157.20
26027.40,14533.06,340.00,155.57
26113.01,14558.70,341.00,155.36
26198.63,14904.65,342.00,152.53
26284.25,14796.12,343.00,153.42
26369.86,15006.91,344.00,151.69
26455.48,15083.25,345.00,151.07
26541.10,15122.84,346.00,150.74
26626.71,15081.25,347.00,151.09
26712.33,14990.96,348.00,151.82
26797.95,14740.86,349.00,153.87
26883.56,14683.04,350.00,154.34
26969.18,14493.75,351.00,155.89
27054.79,14331.96,352.00,157.22
27140.41,14099.10,353.00,159.12
27226.03,13866.95,354.00,161.02
27311.64,13723.24,355.00,162.20
27397.26,13660.72,356.00,162.71
27482.88,13555.47,357.00,163.57
27568.49,13450.22,358.00,164.43
27654.11,13326.16,359.00,165.45
27739.73,13373.88,360.00,165.06
27825.34,13343.40,361.00,165.31
27910.96,13196.84,362.00,166.51
27996.58,13074.07,363.00,167.51
28082.19,12900.18,364.00,168.93
28167.81,12858.02,365.00,169.28
28253.42,12702.21,366.00,170.55
28339.04,12600.23,367.00,171.39
28424.66,12503.81,368.00,172.18
28510.27,12420.21,369.00,172.86
28595.89,12369.65,370.00,173.28
28681.51,12307.69,371.00,173.78
28767.12,12158.57,372.00,175.00
28852.74,13881.47,373.00,160.90
28938.36,13218.29,374.00,166.33
29023.97,9057.38,375.00,200.38
29109.59,5833.62,376.00,226.76
29195.21,3683.16,377.00,244.36
29280.82,2470.57,378.00,254.28
29366.44,2421.72,379.00,254.68
29452.05,3191.52,380.00,248.38
29537.67,5119.37,381.00,232.61
29623.29,8563.60,382.00,204.42
29708.90,12815.38,383.00,169.63
29794.52,14114.99,384.00,158.99
29880.14,12728.98,385.00,170.33
29965.75,13771.52,386.00,161.80
30051.37,14601.28,387.00,155.01
30136.99,15135.52,388.00,150.64
30222.60,16076.79,389.00,142.94
30308.22,16703.89,390.00,137.81
30393.84,17308.90,391.00,132.86
30479.45,18131.54,392.00,126.12
30565.07,18641.99,393.00,121.95
30650.68,19479.16,394.00,115.10
30736.30,19574.87,395.00,114.31
30821.92,22831.67,396.00,87.66
30907.53,19524.02,397.00,114.73
30993.15,16975.44,398.00,135.58
31078.77,15412.67,399.00,148.37
31164.38,14256.48,400.00,157.83
31250.00,13572.37,401.00,163.43
31335.62,13785.20,402.00,161.69
31421.23,14816.34,403.00,153.25
31506.85,16575.66,404.00,138.86
31592.47,19072.68,405.00,118.42
31678.08,22372.78,406.00,91.42
31763.70,19608.62,407.00,114.04
31849.32,19514.05,408.00,114.81
31934.93,19352.54,409.00,116.13
32020.55,19078.80,410.00,118.37
32106.16,18818.17,411.00,120.50
32191.78,18765.76,412.00,120.93
32277.40,18670.19,413.00,121.72
32363.01,18646.26,414.00,121.91
32448.63,18645.27,415.00,121.92
32534.25,18700.81,416.00,121.47
32619.86,18660.36,417.00,121.80
32705.48,18547.28,418.00,122.72
32791.10,20853.12,419.00,103.85
32876.71,20145.13,420.00,109.65
32962.33,17173.89,421.00,133.96
33047.95,12726.13,422.00,170.36
33133.56,6960.68,423.00,217.54
33219.18,942.13,424.00,266.79
33304.79,-4683.37,425.00,312.83
33390.41,-11511.92,426.00,368.71
33476.03,-13838.27,427.00,387.74
33561.64,-9477.64,428.00,352.06
33647.26,-3246.08,429.00,301.06
33732.88,-641.86,430.00,279.75
33818.49,830.76,431.00,267.70
33904.11,1085.74,432.00,265.61
33989.73,-174.14,433.00,275.93
34075.34,-2734.35,434.00,296.88
34160.96,-8695.73,435.00,345.66
34246.58,-13271.47,436.00,383.10
34332.19,-11276.35,437.00,366.78
34417.81,-5007.10,438.00,315.47
34503.42,2273.28,439.00,255.90
34589.04,6041.25,440.00,225.06
34674.66,8644.70,441.00,203.76
34760.27,10504.95,442.00,188.53
34845.89,9536.47,443.00,196.46
34931.51,5606.62,444.00,228.62
35017.12,-943.26,445.00,282.22
35102.74,-6155.74,446.00,324.87
35188.36,-9134.53,447.00,349.25
35273.97,-9617.87,448.00,353.21
35359.59,-7213.23,449.00,333.53
35445.21,-6291.24,450.00,325.98
35530.82,-4718.01,451.00,313.11
35616.44,-2924.27,452.00,298.43
35702.05,-2799.08,453.00,297.41
35787.67,-3542.39,454.00,303.49
35873.29,-5172.43,455.00,316.83
35958.90,-7860.40,456.00,338.82
36044.52,-9447.09,457.00,351.81
36130.14,-11322.29,458.00,367.15
36215.75,-11321.58,459.00,367.15
36301.37,-8419.50,460.00,343.40
36386.99,-8316.25,461.00,342.55
36472.60,-7446.91,462.00,335.44
36558.22,-6120.04,463.00,324.58
36643.84,-4590.89,464.00,312.07
36729.45,-2035.38,465.00,291.16
36815.07,-878.90,466.00,281.69
36900.68,-2618.89,467.00,295.93
36986.30,-4472.11,468.00,311.10
37071.92,-4614.53,469.00,312.26
37157.53,-3902.41,470.00,306.43
37243.15,-4927.86,471.00,314.83
37328.77,-4358.17,472.00,310.16
37414.38,-3218.78,473.00,300.84
37500.00,-1509.69,474.00,286.85
37585.62,769.09,475.00,268.21
37671.23,1025.45,476.00,266.11
37756.85,-0.00,477.00,274.50
37842.47,-0.00,478.00,274.50
37928.08,-0.00,479.00,274.50
38013.70,-0.00,480.00,274.50
38099.32,-0.00,481.00,274.50
38184.93,-0.00,482.00,274.50
38270.55,-0.00,483.00,274.50
38356.16,-0.00,484.00,274.50
38441.78,-0.00,485.00,274.50
38527.40,-0.00,486.00,274.50
38613.01,-0.00,487.00,274.50
38698.63,-0.00,488.00,274.50
38784.25,-0.00,489.00,274.50
38869.86,-0.00,490.00,274.50
38955.48,-0.00,491.00,274.50
39041.10,-0.00,492.00,274.50
39126.71,-0.00,493.00,274.50
39212.33,-0.00,494.00,274.50
39297.95,-0.00,495.00,274.50
39383.56,-0.00,496.00,274.50
39469.18,-0.00,497.00,274.50
39554.79,-0.00,498.00,274.50
39640.41,-0.00,499.00,274.50
39726.03,-0.00,500.00,274.50
39811.64,-0.00,501.00,274.50
39897.26,-0.00,502.00,274.50
39982.88,-0.00,503.00,274.50
40068.49,-0.00,504.00,274.50
40154.11,-0.00,505.00,274.50
40239.73,-0.00,506.00,274.50
40325.34,-0.00,507.00,274.50
40410.96,-0.00,508.00,274.50
40496.58,-0.00,509.00,274.50
40582.19,-0.00,510.00,274.50
40667.81,-0.00,511.00,274.50
40753.42,-0.00,512.00,274.50
40839.04,-0.00,513.00,274.50
40924.66,-0.00,514.00,274.50
41010.27,-0.00,515.00,274.50
41095.89,-0.00,516.00,274.50
41181.51,-0.00,517.00,274.50
41267.12,-0.00,518.00,274.50
41352.74,-0.00,519.00,274.50
41438.36,-0.00,520.00,274.50
41523.97,-0.00,521.00,274.50
41609.59,-0.00,522.00,274.50
41695.21,-0.00,523.00,274.50
41780.82,-0.00,524.00,274.50
41866.44,-0.00,525.00,274.50
41952.05,-0.00,526.00,274.50
42037.67,-0.00,527.00,274.50
42123.29,-0.00,528.00,274.50
42208.90,-0.00,529.00,274.50
42294.52,-0.00,530.00,274.50
42380.14,-0.00,531.00,274.50
42465.75,-0.00,532.00,274.50
42551.37,-0.00,533.00,274.50
42636.99,-0.00,534.00,274.50
42722.60,-0.00,535.00,274.50
42808.22,-0.00,536.00,274.50
42893.84,-0.00,537.00,274.50
42979.45,-0.00,538.00,274.50
43065.07,-0.00,539.00,274.50
43150.68,-0.00,540.00,274.50
43236.30,-0.00,541.00,274.50
43321.92,-0.00,542.00,274.50
43407.53,-0.00,543.00,274.50
43493.15,-0.00,544.00,274.50
43578.77,-0.00,545.00,274.50
43664.38,-0.00,546.00,274.50
43750.00,-0.00,547.00,274.50
43835.62,-0.00,548.00,274.50
43921.23,-0.00,549.00,274.50
44006.85,-0.00,550.00,274.50
44092.47,-0.00,551.00,274.50
44178.08,-0.00,552.00,274.50
44263.70,-0.00,553.00,274.50
44349.32,-0.00,554.00,274.50
44434.93,-0.00,555.00,274.50
