画像名,台番号,機種,実際の最大値,実際の最終値,抽出最大値,抽出最終値,最終値誤差,最終値絶対誤差,最終値誤差率(%),最終値精度(%),最大値誤差,最大値絶対誤差,最大値誤差率(%),最大値精度(%),頂点検出信頼度,ピーク数,異常値数,データ品質,目視予想,目視誤差
S__78209088,70,P大海物語5 MTE2,3340.0,3125.0,30000.0,-10225.0,-13350.0,13350.0,427.2,55.5,26660.0,26660.0,798.2,11.1,100,24,1,NG,3000.0,125.0
S__78209128,81,P大海物語5 MTE2,11430.0,6771.0,30000.0,-4889.0,-11660.0,11660.0,172.2,61.1,18570.0,18570.0,162.5,38.1,100,19,0,OK,8000.0,-1229.0
S__78209130,100,P大海物語5 MTE2,9060.0,-5997.0,30000.0,-6483.0,-486.0,486.0,8.1,98.4,20940.0,20940.0,231.1,30.2,100,28,0,OK,3000.0,-8997.0
S__78209132,104,P大海物語5 MTE2,36350.0,28935.0,30000.0,-10225.0,-39160.0,39160.0,135.3,0.0,-6350.0,6350.0,17.5,78.8,100,22,1,NG,28000.0,935.0
S__78209136,98,P大海物語5 MTE2,3620.0,-10925.0,30000.0,-6459.0,4466.0,4466.0,40.9,85.1,26380.0,26380.0,728.7,12.1,100,19,4,NG,-15000.0,4075.0
S__78209138,97,P大海物語5 MTE2,20340.0,19669.0,30000.0,-10201.0,-29870.0,29870.0,151.9,0.4,9660.0,9660.0,47.5,67.8,100,26,1,NG,20000.0,-331.0
S__78209156,2239,P大海物語5 MTE2,24560.0,22900.0,30000.0,-4865.0,-27765.0,27765.0,121.2,7.4,5440.0,5440.0,22.1,81.9,100,25,3,NG,22000.0,900.0
S__78209158,1147,e Re：ゼロから始める異世,3540.0,-19100.0,30000.0,-10201.0,8899.0,8899.0,46.6,70.3,26460.0,26460.0,747.5,11.8,100,28,0,OK,-22000.0,2900.0
S__78209160,1105,e Re：ゼロから始める異世,7080.0,3010.0,30000.0,-10201.0,-13211.0,13211.0,438.9,56.0,22920.0,22920.0,323.7,23.6,80,23,0,OK,16000.0,-12990.0
S__78209162,1104,e Re：ゼロから始める異世,12700.0,1700.0,30000.0,-4865.0,-6565.0,6565.0,386.2,78.1,17300.0,17300.0,136.2,42.3,100,22,0,OK,4000.0,-2300.0
S__78209164,1146,e Re：ゼロから始める異世,21020.0,15450.0,24981.0,-7883.0,-23333.0,23333.0,151.0,22.2,3961.0,3961.0,18.8,86.8,100,31,0,OK,18000.0,-2550.0
S__78209166,2239,P大海物語5 MTE2,1360.0,-7813.0,30000.0,-4865.0,2948.0,2948.0,37.7,90.2,28640.0,28640.0,2105.9,4.5,100,23,0,OK,-8000.0,187.0
S__78209168,1146,e Re：ゼロから始める異世,5700.0,-24750.0,30000.0,-4865.0,19885.0,19885.0,80.3,33.7,24300.0,24300.0,426.3,19.0,100,22,0,OK,-30000.0,5250.0
S__78209170,1105,e Re：ゼロから始める異世,390.0,195.0,30000.0,-4865.0,-5060.0,5060.0,2595.0,83.1,29610.0,29610.0,7592.3,1.3,100,21,0,OK,22000.0,-21805.0
S__78209174,1112,e Re：ゼロから始める異世,18860.0,8000.0,30000.0,-4889.0,-12889.0,12889.0,161.1,57.0,11140.0,11140.0,59.1,62.9,100,26,0,OK,12000.0,-4000.0
S__78209176,1104,e Re：ゼロから始める異世,,-19392.0,,,,,,,,,,,0,0,0,OK,3000.0,-22392.0
