画像番号,台番号,機種,実際の最終差玉,抽出した最終差玉,最終差玉誤差,最終差玉精度(%),実際の最大値,抽出した最大値,最大値誤差,最大値精度(%)
78209088,70,P大海,3125,2994,-131,99.6,3340,2994,-346,98.8
78209128,81,P大海,6771,6660,-111,99.6,11430,11181,-249,99.2
78209130,100,P大海,-5997,-6293,-296,99.0,9060,8737,-323,98.9
78209132,104,P大海,28935,29022,87,99.7,36350,30000,-6350,78.8
78209136,98,P大海,-10925,-11059,-134,99.6,3620,3483,-137,99.5
78209138,97,P大海,19669,19857,188,99.4,20340,20224,-116,99.6
78209156,2239,P大海,22900,23035,135,99.6,24560,24379,-181,99.4
78209158,1147,eRe:ゼロ,-19100,-19491,-391,98.7,3540,2994,-546,98.2
78209160,1105,eRe:ゼロ,3010,2994,-16,99.9,7080,6660,-420,98.6
78209162,1104,eRe:ゼロ,1700,1527,-173,99.4,12700,12403,-297,99.0
78209164,1146,eRe:ゼロ,15450,15703,253,99.2,21020,20713,-307,99.0
78209166,2239,P大海,-7813,-7637,176,99.4,1360,916,-444,98.5
78209168,1146,eRe:ゼロ,-24750,-25112,-362,98.8,5700,5316,-384,98.7
78209170,1105,eRe:ゼロ,195,-672,-867,97.1,390,-61,-451,98.5
78209174,1112,eRe:ゼロ,8000,7882,-118,99.6,18860,18758,-102,99.7
78209176,1104,eRe:ゼロ,-19392,,,,,,,
