画像名,機種,実際の最大値,抽出最大値,最大値誤差,最大値誤差絶対値,最大値精度(%),実際の最終値,抽出最終値,最終値誤差,最終値誤差絶対値,最終値精度(%),誤差カテゴリ
S__78209164,e Re：ゼロから始める異世,21020,21290,270,270,98.7,15450,15363,-87,87,99.4,誤差200-500
S__78209128,P大海物語5 MTE2,11430,11171,-259,259,97.7,6771,6563,-208,208,96.9,誤差200-500
S__78209088,P大海物語5 MTE2,3340,3120,-220,220,93.4,3125,2802,-323,323,89.7,誤差200-500
S__78209170,e Re：ゼロから始める異世,390,605,215,215,44.9,195,-1016,-1211,1211,-521.1,誤差200-500
S__78209166,P大海物語5 MTE2,1360,1573,213,213,84.4,-7813,-7390,423,423,94.6,誤差200-500
S__78209130,P大海物語5 MTE2,9060,8872,-188,188,97.9,-5997,-6323,-326,326,94.6,誤差100-200
S__78209158,e Re：ゼロから始める異世,3540,3361,-179,179,94.9,-19100,-19608,-508,508,97.3,誤差100-200
S__78209174,e Re：ゼロから始める異世,18860,19035,175,175,99.1,8000,7782,-218,218,97.3,誤差100-200
S__78209156,P大海物語5 MTE2,24560,24389,-171,171,99.3,22900,22690,-210,210,99.1,誤差100-200
S__78209138,P大海物語5 MTE2,20340,20236,-104,104,99.5,19669,19479,-190,190,99.0,誤差100-200
S__78209136,P大海物語5 MTE2,3620,3722,102,102,97.2,-10925,-11032,-107,107,99.0,誤差100-200
S__78209160,e Re：ゼロから始める異世,7080,7137,57,57,99.2,3010,2581,-429,429,85.7,誤差<100
S__78209168,e Re：ゼロから始める異世,5700,5685,-15,15,99.7,-24750,-24578,172,172,99.3,誤差<100
S__78209162,e Re：ゼロから始める異世,12700,12702,2,2,100.0,1700,1290,-410,410,75.9,誤差<100
