画像名と最大値一覧
========================================
生成日時: 2025年06月23日 15:34:22

S__78209168: +5,018
S__78209160: なし
S__78848020: なし
S__78209166: +856
S__78209174: +19,216
S__78209088: +2,692
S__78716957: なし
S__78209164: なし
S__78209170: +-122
S__78209162: なし
S__78716960: なし
S__78209156: +24,112
S__78209128: +10,771
S__78716972: なし
S__78848016: なし
S__78209158: +2,570
S__78848010: なし
S__78848018: なし
S__78716974: なし
S__78848012: なし
S__78209136: +3,182
S__78848008: なし
S__78716970: なし
S__78848014: なし
S__78209138: +19,951
S__78716962: なし
S__78209130: +8,445
