画像番号,台番号,実際の最終差玉,実際の最大値,従来手法_最終差玉,従来手法_誤差,保守的SP_最終差玉,保守的SP_誤差,高度な手法_最終差玉,高度な手法_誤差,高度な手法_改善値
78209088,432,3125.0,3340.0,2994.0,-131.0,2810.6,-314.4,2871.7,-253.3,61.1
78209128,436,6771.0,11078.0,6660.0,-111.0,6537.7,-233.3,6782.1,11.1,222.2
78209130,437,-5997.0,8698.0,-6293.0,-296.0,-6354.4,-357.4,-6415.5,-418.5,-61.1
78209136,441,-10925.0,3511.0,-11059.0,-134.0,-11181.3,-256.3,-11160.9,-235.9,20.4
78209138,442,19669.0,20638.0,19857.0,188.0,19918.5,249.5,19845.2,176.2,73.3
78209156,456,22900.0,24439.0,23035.0,135.0,22912.4,12.4,22998.0,98.0,-85.6
78209158,458,-19100.0,2878.0,-19491.0,-391.0,-19551.9,-451.9,-19613.0,-513.0,-61.1
78209160,459,3010.0,6631.0,2994.0,-16.0,2932.8,-77.2,2908.3,-101.7,-24.5
78209162,460,1700.0,12103.0,1527.0,-173.0,1527.5,-172.5,1527.5,-172.5,0.0
78209164,462,15450.0,20764.0,15703.0,253.0,15519.4,69.4,15580.5,130.5,-61.1
78209166,464,-7813.0,1020.0,-7637.0,176.0,-7759.7,53.3,-7657.8,155.2,-101.9
78209168,466,-24750.0,5512.0,-25112.0,-362.0,-25173.1,-423.1,-25173.1,-423.1,0.0
78209170,467,195.0,17.0,-672.0,-867.0,-1833.0,-2028.0,-366.6,-561.6,1466.4
78209174,471,8000.0,18510.0,7882.0,-118.0,7881.9,-118.1,7845.2,-154.8,-36.7
