x,y,value,smoothed_value
36,275.2037037037037,-145.02454261490305,16.847557494013603
37,275.3888888888889,-167.33601070950772,1131.587281023736
38,271.0,362.9032258064516,1389.1407925609244
39,237.0,4475.806451612903,4475.806451612903
40,254.0,2419.3548387096776,2419.3548387096776
41,232.0,5080.645161290322,4282.258064516129
42,230.0,5322.580645161291,5322.580645161291
43,240.0,4112.903225806452,4112.903225806452
44,237.0,4475.806451612903,4572.580645161291
45,237.0,4475.806451612903,4403.225806451614
46,237.0,4475.806451612903,4596.774193548387
47,237.0,4475.806451612903,4572.58064516129
48,232.0,5080.645161290322,5080.645161290322
49,238.0,4354.8387096774195,4717.741935483871
50,234.0,4838.709677419355,4669.354838709678
51,234.0,4838.709677419355,4596.774193548387
52,239.0,4233.870967741936,4645.1612903225805
53,235.0,4717.741935483871,4596.774193548387
54,236.0,4596.774193548387,4403.225806451613
55,236.0,4596.774193548387,4451.612903225806
56,242.0,3870.967741935484,3870.967741935484
57,237.0,4475.806451612903,4475.806451612903
58,238.0,4354.8387096774195,3943.548387096774
59,245.0,3508.064516129032,3508.064516129032
60,245.0,3508.064516129032,3750.0
61,240.0,4112.903225806452,4112.903225806452
62,247.0,3266.1290322580644,3580.645161290323
63,247.0,3266.1290322580644,3604.838709677419
64,243.0,3750.0,3508.0645161290317
65,244.0,3629.032258064516,3483.8709677419347
66,244.0,3629.032258064516,3532.258064516129
67,248.0,3145.161290322581,3387.0967741935483
68,245.0,3508.064516129032,3362.9032258064517
69,249.0,3024.1935483870966,3338.7096774193546
70,245.0,3508.064516129032,3266.1290322580644
71,245.0,3508.064516129032,3241.9354838709673
72,251.0,2782.2580645161293,2782.2580645161293
73,246.0,3387.0967741935483,3387.0967741935483
74,247.0,3266.1290322580644,3145.161290322581
75,248.0,3145.161290322581,3072.5806451612907
76,248.0,3145.161290322581,2854.8387096774195
77,254.0,2419.3548387096776,2758.064516129032
78,255.0,2298.3870967741937,2685.483870967742
79,251.0,2782.2580645161293,2588.709677419355
80,251.0,2782.2580645161293,2516.129032258065
81,252.0,2661.2903225806454,2564.516129032258
82,257.0,2056.451612903226,2516.1290322580644
83,253.0,2540.322580645161,2322.5806451612902
84,253.0,2540.322580645161,2129.032258064516
85,259.0,1814.516129032258,2177.4193548387093
86,260.0,1693.5483870967741,1693.5483870967741
87,255.0,2298.3870967741937,2298.3870967741937
88,255.0,2298.3870967741937,1959.6774193548385
89,262.0,1451.6129032258063,1451.6129032258063
90,257.0,2056.451612903226,2056.451612903226
91,258.0,1935.483870967742,1548.3870967741937
92,264.0,1209.6774193548388,1596.774193548387
93,265.0,1088.7096774193549,1088.7096774193549
94,260.0,1693.5483870967741,1693.5483870967741
95,261.0,1572.5806451612905,1475.8064516129034
96,261.0,1572.5806451612905,1524.1935483870968
97,262.0,1451.6129032258063,1306.4516129032259
98,263.0,1330.6451612903227,1233.8709677419356
99,269.0,604.8387096774194,604.8387096774194
100,264.0,1209.6774193548388,1209.6774193548388
101,270.0,483.8709677419355,629.0322580645162
102,270.0,483.8709677419355,701.6129032258065
103,271.0,362.9032258064516,362.9032258064516
104,266.0,967.741935483871,967.741935483871
105,272.0,241.93548387096774,459.67741935483866
106,268.0,725.8064516129032,387.0967741935484
107,274.0,-0.0,169.45200155460552
108,274.0,-0.0,96.96851923824329
109,275.0,-120.48192771084337,-72.28915662650601
110,275.0,-120.48192771084337,-96.38554216867469
111,275.0,-120.48192771084337,-120.48192771084337
112,275.0,-120.48192771084337,-126.96941612604273
113,275.0,-120.48192771084337,-151.0658016682114
114,275.2692307692308,-152.91936978684018,-175.16218721038007
115,276.0,-240.96385542168673,-199.25857275254876
116,276.0,-240.96385542168673,-223.35495829471742
117,276.0,-240.96385542168673,-337.34939759036143
118,276.0,-240.96385542168673,-337.34939759036143
119,280.0,-722.8915662650603,-337.34939759036143
120,276.0,-240.96385542168673,-337.34939759036143
121,276.0,-240.96385542168673,-361.4457831325301
122,276.0,-240.96385542168673,-289.15662650602405
123,277.0,-361.44578313253015,-457.83132530120474
124,277.0,-361.44578313253015,-530.1204819277109
125,283.0,-1084.3373493975903,-746.9879518072289
126,279.0,-602.4096385542168,-939.7590361445784
127,285.0,-1325.3012048192772,-1036.144578313253
128,285.0,-1325.3012048192772,-1012.0481927710844
129,281.0,-843.3734939759036,-1108.433734939759
130,282.0,-963.8554216867469,-1060.2409638554218
131,283.0,-1084.3373493975903,-1180.722891566265
132,283.0,-1084.3373493975903,-1421.686746987952
133,290.0,-1927.7108433734938,-1493.975903614458
134,291.0,-2048.1927710843374,-2048.1927710843374
135,285.0,-1325.3012048192772,-1325.3012048192772
136,285.0,-1325.3012048192772,-1445.7831325301204
137,292.0,-2168.6746987951806,-2168.6746987951806
138,277.0,-361.44578313253015,-812.6432856933801
139,274.7631578947368,-91.94673430564112,-577.301920231533
140,274.96153846153845,-115.84800741427142,-119.37343208540014
141,275.23333333333335,-148.59437751004197,823.8834664765898
142,273.0,120.96774193548387,1834.2082972086857
143,238.0,4354.8387096774195,2389.635963207669
144,233.0,4959.677419354838,4959.677419354838
145,252.0,2661.2903225806454,2661.2903225806454
146,243.0,3750.0,4209.677419354839
147,239.0,4233.870967741936,4306.451612903225
148,229.0,5443.548387096775,4887.096774193548
149,229.0,5443.548387096775,5322.58064516129
150,228.0,5564.5161290322585,5758.064516129032
151,225.0,5927.419354838709,6000.0
152,221.0,6411.290322580645,5903.225806451613
153,219.0,6653.225806451613,6653.225806451613
154,233.0,4959.677419354838,4959.677419354838
155,216.0,7016.129032258064,7016.129032258064
156,226.0,5806.451612903225,5806.451612903225
157,213.0,7379.032258064516,7379.032258064516
158,219.0,6653.225806451613,6653.225806451613
159,218.0,6774.193548387097,7064.516129032258
160,212.0,7500.0,7500.0
161,216.0,7016.129032258064,7040.322580645161
162,216.0,7016.129032258064,7040.322580645161
163,217.0,6895.1612903225805,7016.1290322580635
164,218.0,6774.193548387097,6774.193548387097
165,213.0,7379.032258064516,7379.032258064516
166,219.0,6653.225806451613,6798.387096774194
167,219.0,6653.225806451613,6870.967741935483
168,220.0,6532.258064516129,6532.258064516129
169,215.0,7137.096774193548,7137.096774193548
170,216.0,7016.129032258064,6774.193548387097
171,222.0,6290.322580645162,6290.322580645162
172,217.0,6895.1612903225805,6895.1612903225805
173,218.0,6774.193548387097,6532.25806451613
174,224.0,6048.387096774193,6048.387096774193
175,219.0,6653.225806451613,6653.225806451613
176,225.0,5927.419354838709,6193.548387096774
177,225.0,5927.419354838709,6241.935483870968
178,221.0,6411.290322580645,6169.354838709678
179,222.0,6290.322580645162,6096.774193548387
180,222.0,6290.322580645162,6120.967741935484
181,228.0,5564.5161290322585,6048.387096774194
182,224.0,6048.387096774193,5854.8387096774195
183,224.0,6048.387096774193,5782.258064516129
184,230.0,5322.580645161291,5322.580645161291
185,225.0,5927.419354838709,5927.419354838709
186,226.0,5806.451612903225,5370.967741935484
187,233.0,4959.677419354838,5250.0
188,234.0,4838.709677419355,5129.032258064517
189,235.0,4717.741935483871,4717.741935483871
190,230.0,5322.580645161291,5322.580645161291
191,236.0,4596.774193548387,4838.709677419355
192,237.0,4475.806451612903,4475.806451612903
193,232.0,5080.645161290322,5080.645161290322
194,233.0,4959.677419354838,4717.741935483871
195,239.0,4233.870967741936,4233.870967741936
196,234.0,4838.709677419355,4838.709677419355
197,235.0,4717.741935483871,4475.806451612903
198,236.0,4596.774193548387,4403.225806451613
199,241.0,3991.9354838709673,4306.451612903225
200,242.0,3870.967741935484,4112.903225806452
201,238.0,4354.8387096774195,4040.3225806451615
202,243.0,3750.0,3967.741935483871
203,239.0,4233.870967741936,4016.1290322580644
204,244.0,3629.032258064516,3846.7741935483864
205,240.0,4112.903225806452,3895.1612903225805
206,245.0,3508.064516129032,3725.806451612903
