rotation,balls
0,0.0
4,-34.4
9,-68.9
13,-68.9
18,-137.9
22,-172.4
27,-207.0
31,-207.0
36,-241.6
40,-241.6
45,-241.6
49,-311.0
54,-345.7
58,-415.2
63,-450.0
67,-485.2
72,-560.1
76,-598.0
81,-636.3
85,-714.0
90,-753.3
94,-793.0
99,-873.4
103,-914.2
108,-996.7
112,-996.7
117,-996.7
121,-1038.4
126,-1038.4
130,-1080.6
135,-1123.0
139,-1165.8
144,-1209.0
148,-1252.5
153,-1296.4
157,-1340.6
162,-1340.6
166,-1385.1
171,-1475.3
175,-1566.8
180,-1659.7
184,-1754.1
189,-1849.8
193,-1898.1
198,-1995.9
202,-1995.9
207,-1995.9
211,-1995.9
216,-1995.9
220,-2095.1
224,-2145.2
229,-2195.7
233,-2289.2
238,-2289.2
242,-2334.8
247,-2426.4
251,-2518.7
256,-2611.5
260,-2704.8
265,-2751.8
269,-2846.0
274,-2940.8
278,-2988.4
283,-3036.2
287,-3084.1
292,-3180.3
296,-3180.3
301,-3180.3
305,-3228.6
310,-3132.1
314,-3036.2
319,-2893.3
323,-2846.0
328,-2704.8
332,-2518.7
337,-2426.4
341,-2334.8
346,-2095.1
350,-1849.8
355,-1754.1
359,-1475.3
364,-1209.0
368,-1038.4
373,-955.2
377,-598.0
382,-380.4
386,-311.0
391,-207.0
395,0.0
400,241.6
404,485.2
409,793.0
413,873.4
418,955.2
422,1209.0
427,1520.9
431,1659.7
436,1754.1
440,2095.1
445,2334.8
449,2426.4
453,2611.5
458,2846.0
462,2940.8
467,3084.1
471,3277.1
476,3415.2
480,3503.6
485,3592.0
489,3769.1
494,3857.8
498,3991.1
503,4124.5
507,4213.6
512,4258.2
516,4302.8
521,4392.0
525,4436.7
530,4526.1
534,4839.7
539,5154.5
543,5334.9
548,5832.8
552,6333.6
557,6653.7
561,6883.0
566,7528.3
570,7899.0
575,8038.4
579,8271.3
584,8593.2
588,8713.9
593,8794.1
597,9073.5
602,9271.8
606,9355.9
611,9580.3
615,9849.7
620,9984.6
624,10074.5
629,10389.4
633,10659.6
638,10749.7
642,11020.2
647,11426.5
651,11652.4
656,11833.2
660,12240.6
665,12693.8
669,12830.0
674,13238.6
678,13681.8
682,13846.9
687,13970.5
691,14258.3
696,14549.3
700,14639.6
705,14865.2
709,15271.7
714,15452.6
718,15588.2
723,16086.1
727,16539.2
732,16720.7
736,17129.2
741,17674.5
745,17902.0
750,18038.5
754,18494.0
759,18813.1
763,18950.0
768,19178.2
772,19497.9
777,19635.0
781,19772.2
786,20000.8
790,20275.4
795,20412.8
799,20550.2
804,20779.4
808,20871.1
813,20962.8
817,21100.4
822,21238.1
826,21329.9
831,21467.6
835,21559.5
840,21605.4
844,21697.3
849,21789.2
853,21881.2
858,21973.1
862,22065.1
867,22157.1
871,22249.1
876,22295.1
880,22295.1
885,22249.1
889,22249.1
894,22157.1
898,22065.1
902,22019.1
907,21927.1
911,21927.1
916,21927.1
920,21835.2
925,21835.2
929,21743.3
934,21743.3
938,21697.3
943,21651.4
947,21651.4
952,21651.4
956,21605.4
961,21559.5
965,21513.6
970,21467.6
974,21513.6
979,21513.6
983,21605.4
988,21743.3
992,22111.1
997,22387.2
1001,22571.4
1006,22986.0
1010,23401.2
1015,23539.6
1019,23770.5
1024,24232.7
1028,24510.3
1033,24649.2
1037,24985.3
1042,25370.1
1046,25466.4
1051,25659.1
1055,25996.9
1060,26190.1
1064,26286.8
1069,26480.3
1073,26722.5
1078,26819.5
1082,26867.9
1087,26916.4
1091,26916.4
1096,26916.4
1100,26916.4
1105,26916.4
1109,26916.4
1114,26771.0
1118,26674.0
1122,26577.2
1127,26480.3
1131,26431.9
1136,26335.2
1140,26238.5
1145,26238.5
1149,26238.5
1154,26190.1
1158,26141.8
1163,26045.2
1167,26045.2
1172,25948.6
1176,25948.6
1181,25900.3
1185,25900.3
1190,25852.0
1194,25852.0
1199,25803.8
1203,25707.3
1208,25659.1
1212,25562.7
1217,25562.7
1221,25562.7
1226,25466.4
1230,25466.4
1235,25418.2
1239,25321.9
1244,25273.8
1248,25225.7
1253,25225.7
1257,25225.7
1262,25225.7
1266,25225.7
1271,25225.7
1275,25273.8
1280,25273.8
1284,25321.9
1289,25466.4
1293,25610.9
1298,25707.3
1302,25852.0
1307,26045.2
1311,26141.8
1316,26190.1
1320,26238.5
1325,26238.5
1329,26238.5
1334,26238.5
1338,26238.5
1343,26238.5
1347,26238.5
1351,26238.5
1356,26238.5
1360,26238.5
1365,26141.8
1369,26045.2
1374,25900.3
1378,25852.0
1383,25755.6
1387,25659.1
1392,25562.7
1396,25562.7
1401,25466.4
1405,25418.2
1410,25370.1
1414,25273.8
1419,25273.8
1423,25225.7
1428,25225.7
1432,25177.6
1437,25177.6
1441,25081.4
1446,25081.4
1450,24985.3
1455,24985.3
1459,24937.3
1464,24889.2
1468,24889.2
1473,24889.2
1477,24841.2
1482,24793.2
1486,24745.2
1491,24649.2
1495,24602.9
1500,24556.6
1504,24510.3
1509,24417.8
1513,24325.2
1518,24232.7
1522,24140.2
1527,24047.8
1531,23955.3
1536,23955.3
1540,23862.9
1545,23862.9
1549,23862.9
1554,23770.5
1558,23724.3
1563,23678.2
1567,23632.0
1572,23585.8
1576,23585.8
1580,23539.6
1585,23447.3
1589,23401.2
1594,23355.0
1598,23262.7
1603,23216.6
1607,23170.5
1612,23078.3
1616,23032.2
1621,22986.0
1625,22939.9
1630,22939.9
1634,22939.9
1639,22893.9
1643,22847.8
1648,22847.8
1652,22755.6
1657,22755.6
1661,22663.5
1666,22663.5
1670,22617.4
1675,22617.4
1679,22571.4
1684,22571.4
1688,22479.3
1693,22433.2
1697,22341.2
1702,22295.1
1706,22295.1
1711,22203.1
1715,22111.1
1720,22019.1
1724,21973.1
1729,21835.2
1733,21789.2
1738,21651.4
1742,21651.4
1747,21651.4
1751,21605.4
1756,21559.5
1760,21467.6
1765,21467.6
1769,21375.8
1774,21375.8
1778,21329.9
1783,21329.9
1787,21284.0
1792,21284.0
1796,21238.1
1800,21146.3
1805,21100.4
1809,21008.7
1814,21008.7
1818,21008.7
1823,20916.9
1827,20916.9
1832,20871.1
1836,20779.4
1841,20733.6
1845,20687.7
1850,20641.9
1854,20641.9
1859,20596.1
1863,20504.4
1868,20458.6
1872,20367.0
1877,20367.0
1881,20367.0
1886,20275.4
1890,20229.7
1895,20138.1
1899,20092.4
1904,20000.8
1908,20000.8
1913,19909.4
1917,19863.6
1922,19772.2
1926,19726.4
1931,19726.4
1935,19635.0
1940,19589.3
1944,19543.6
1949,19497.9
1953,19452.2
1958,19360.8
1962,19360.8
1967,19360.8
1971,19269.5
1976,19223.8
1980,19178.2
1985,19086.9
1989,19086.9
1994,19086.9
1998,19041.2
2003,18995.6
2007,18995.6
2012,18904.4
2016,18904.4
2020,18813.1
2025,18813.1
2029,18767.5
2034,18721.9
2038,18721.9
2043,18630.7
2047,18539.5
2052,18494.0
2056,18402.8
2061,18311.7
2065,18266.2
2070,18220.6
2074,18175.1
2079,18084.0
2083,18038.5
2088,17947.5
2092,17947.5
2097,17902.0
2101,17902.0
2106,18038.5
2110,18220.6
2115,18402.8
2119,18494.0
2124,18676.3
2128,18904.4
2133,18950.0
2137,18995.6
2142,19041.2
2146,19041.2
2151,19041.2
2155,19041.2
2160,19041.2
2164,19041.2
2169,19041.2
2173,18995.6
2178,18950.0
2182,18858.7
2187,18813.1
2191,18767.5
2196,18721.9
2200,18721.9
2205,18676.3
2209,18585.1
2214,18585.1
2218,18494.0
2223,18448.4
2227,18402.8
2232,18311.7
2236,18220.6
2241,18129.5
2245,18038.5
2249,17947.5
2254,17856.5
2258,17811.0
2263,17811.0
2267,17765.5
2272,17720.0
2276,17720.0
2281,17629.0
2285,17583.6
2290,17538.1
2294,17492.6
2299,17492.6
2303,17447.2
2308,17447.2
2312,17447.2
2317,17356.3
2321,17310.9
2326,17265.4
2330,17174.6
2335,17174.6
2339,17174.6
2344,17083.7
2348,17038.3
2353,16992.9
2357,16947.5
2362,16902.2
2366,16811.4
2371,16811.4
2375,16766.0
2380,16675.3
2384,16629.9
2389,16539.2
2393,16539.2
2398,16448.6
2402,16403.2
2407,16403.2
2411,16493.9
2416,16584.6
2420,16720.7
2425,17083.7
2429,17492.6
2434,17629.0
2438,17993.0
2443,18402.8
2447,18585.1
2452,18767.5
2456,18995.6
2461,19223.8
2465,19315.2
2470,19452.2
2474,19589.3
2478,19680.7
2483,19772.2
2487,19909.4
2492,20000.8
2496,20046.6
2501,20183.9
2505,20229.7
2510,20321.2
2514,20275.4
2519,20229.7
2523,20229.7
2528,20138.1
2532,20092.4
2537,20092.4
2541,20000.8
2546,20000.8
2550,20000.8
2555,19909.4
2559,19863.6
2564,19909.4
2568,19909.4
2573,19955.1
2577,20092.4
2582,20412.8
2586,20733.6
2591,20916.9
2595,21192.2
2600,21605.4
2604,21743.3
2609,21881.2
2613,22065.1
2618,22249.1
2622,22341.2
2627,22479.3
2631,22571.4
2636,22709.5
2640,22801.7
2645,22986.0
2649,23170.5
2654,23262.7
2658,23447.3
2663,23678.2
2667,23770.5
2672,23816.7
2676,23862.9
2681,23909.1
2685,23909.1
2690,23909.1
2694,23909.1
2698,23909.1
2703,23862.9
2707,23862.9
2712,23770.5
2716,23724.3
2721,23678.2
2725,23585.8
2730,23585.8
2734,23585.8
2739,23493.5
2743,23447.3
2748,23401.2
2752,23355.0
2757,23308.9
2761,23262.7
2766,23216.6
2770,23216.6
2775,23124.4
2779,23078.3
2784,22986.0
2788,22939.9
2793,22893.9
2797,22801.7
2802,22755.6
2806,22709.5
2811,22617.4
2815,22571.4
2820,22525.3
2824,22433.2
2829,22387.2
2833,22341.2
2838,22295.1
2842,22295.1
2847,22249.1
2851,22203.1
2856,22157.1
2860,22065.1
2865,22019.1
2869,21973.1
2874,21927.1
2878,21927.1
2883,21881.2
2887,21789.2
2892,21743.3
2896,21651.4
2901,21651.4
2905,21651.4
2910,21605.4
2914,21559.5
2918,21513.6
2923,21421.7
2927,21375.8
2932,21329.9
2936,21329.9
2941,21284.0
2945,21284.0
2950,21284.0
2954,21238.1
2959,21146.3
2963,21054.6
2968,20962.8
2972,20871.1
2977,20779.4
2981,20733.6
2986,20733.6
2990,20641.9
2995,20641.9
2999,20641.9
3004,20550.2
3008,20458.6
3013,20367.0
3017,20367.0
3022,20275.4
3026,20229.7
3031,20183.9
3035,20138.1
3040,20092.4
3044,20046.6
3049,20046.6
3053,20046.6
3058,20046.6
3062,20046.6
3067,20000.8
